"BZD-intermediate","0.02 (-0.22 to  0.25)","-0.04 (-0.26 to  0.18)",".",".",".",".",".","-1.06 (-1.20 to -0.92)",".",".",".",".",".",".","-0.04 (-0.26 to  0.19)","0.21 (-0.09 to  0.51)"
"-0.20 (-0.37 to -0.03)","BZD-long","0.07 (-0.21 to  0.35)",".",".",".",".",".","-0.48 (-0.71 to -0.26)",".",".",".",".",".",".",".","-0.13 (-1.11 to  0.85)"
"-0.20 (-0.38 to -0.03)","-0.00 (-0.20 to  0.19)","BZD-short",".",".",".",".",".","-0.27 (-0.53 to  0.00)",".",".",".",".",".",".","0.21 (-0.11 to  0.53)","."
"-0.61 (-0.76 to -0.46)","-0.41 (-0.61 to -0.21)","-0.41 (-0.61 to -0.20)","daridorexant",".",".",".",".","-0.23 (-0.33 to -0.13)",".",".",".",".",".",".","0.18 (-0.13 to  0.49)","."
"-0.86 (-1.06 to -0.65)","-0.66 (-0.90 to -0.41)","-0.65 (-0.90 to -0.41)","-0.25 (-0.44 to -0.05)","doxepin",".",".",".","0.02 (-0.15 to  0.19)",".",".",".",".",".",".",".","."
"-0.44 (-0.58 to -0.29)","-0.24 (-0.43 to -0.04)","-0.23 (-0.43 to -0.04)","0.17 ( 0.05 to  0.30)","0.42 ( 0.23 to  0.61)","eszopiclone",".",".","-0.40 (-0.48 to -0.32)",".",".",".",".",".",".",".","."
"-0.44 (-0.58 to -0.29)","-0.24 (-0.44 to -0.04)","-0.23 (-0.43 to -0.03)","0.17 ( 0.04 to  0.31)","0.42 ( 0.23 to  0.61)","-0.00 (-0.12 to  0.12)","lemborexant",".","-0.34 (-0.44 to -0.23)",".",".",".",".",".",".","-0.19 (-0.35 to -0.04)","."
"-0.96 (-1.13 to -0.79)","-0.76 (-0.98 to -0.55)","-0.76 (-0.97 to -0.54)","-0.35 (-0.51 to -0.20)","-0.11 (-0.31 to  0.10)","-0.53 (-0.67 to -0.38)","-0.53 (-0.68 to -0.37)","melatonin","0.13 ( 0.00 to  0.25)",".",".",".",".",".",".",".","."
"-0.84 (-0.96 to -0.72)","-0.64 (-0.81 to -0.46)","-0.63 (-0.81 to -0.46)","-0.23 (-0.32 to -0.13)","0.02 (-0.15 to  0.19)","-0.40 (-0.48 to -0.32)","-0.40 (-0.49 to -0.31)","0.13 ( 0.00 to  0.25)","placebo","-0.44 (-1.55 to  0.66)","0.14 ( 0.08 to  0.20)","0.71 ( 0.43 to  0.98)","0.13 ( 0.02 to  0.25)","0.39 ( 0.14 to  0.64)","0.29 ( 0.20 to  0.39)","0.34 ( 0.28 to  0.40)","0.85 (-0.16 to  1.86)"
"-1.28 (-2.39 to -0.17)","-1.08 (-2.20 to  0.04)","-1.08 (-2.20 to  0.04)","-0.67 (-1.78 to  0.44)","-0.42 (-1.54 to  0.69)","-0.85 (-1.95 to  0.26)","-0.84 (-1.95 to  0.26)","-0.32 (-1.43 to  0.79)","-0.44 (-1.55 to  0.66)","quetiapine",".",".",".",".",".",".","."
"-0.70 (-0.83 to -0.57)","-0.50 (-0.68 to -0.31)","-0.49 (-0.68 to -0.31)","-0.09 (-0.20 to  0.02)","0.16 (-0.02 to  0.34)","-0.26 (-0.36 to -0.16)","-0.26 (-0.37 to -0.15)","0.27 ( 0.13 to  0.40)","0.14 ( 0.08 to  0.20)","0.58 (-0.52 to  1.69)","ramelteon",".",".",".",".",".","."
