Study,Author,Intervention,Code,Intervention_BZD_grouped,Code_BZD_grouped,Year,Imputation.0.not_imputed.1.imputed_from_BL.2.imputed_SD_from_p.value,X0.published.1.unpublished.2.both,Sponsorship,Country,Modality,Dose.mg..,Drugs_excluded,Dose_Licensed1_notL_0,Drug_class,eligible_arms_grouped,Setting,intervention_n_weeks,FU_n_weeks,Age_Mean,Age_SD,age_over_65.1.yes.0.no.2.overlaps.,X.males,Dx_Criteria,Randomised,X1A_Dropouts12w,X1A_Dropouts3m,X1B_QoS_Mean12w,X1B_QoS_SD12w,X1B_QoS_Ncompleted12w,X1B_QoS_Scale_used12w,X1B_QoS_ScaleDirection12w,X1B_QoSMean3m,X1B_QoS_SD3m,X1B_QoS_Ncompleted3m,X1B_QoS_Scaleused3m,X2A_DropoutsAE12w,X2A_DropoutsAE3m,N_patientswithAEs,Sequence_Generation,Allocation_Concealment,Blinding_participants,Blinding_of_outcome_assessors,Incomplete_outcome_data ,Selective_outcome_reporting,Other_sources_of_bias,bias_overall_high1_low2_unclear3,bias_very_low,eligible_arms_individual,NOSP_SOL_Mean12w,NOSP_SOL_SD12w,NOSP_SOL_Unitofmeasure12w,NOSP_SOL_Ncompleted,NOSP_SOL12w_Imputation (0=no;1=yes - from baseline or other study; 2=calculated ,NOSP_NA_Mean12w ,NOSP_NA_SD12w ,NOSP_NA_Unitofmeasure12w,NOSP_NA_Ncompleted12w,NOSP_NA12w_Imputation (0=no;1=yes),NOSP_TST_Mean12w ,NOSP_TST_SD12w ,NOSP_TST_Unitofmeasure12w,NOSP_TST_Ncompleted12w,NOSP_TST12w_Imputation (0=no;1=yes),NOSP_WASO_Mean12w ,NOSP_WASO_SD12w ,NOSP_WASO_Unitofmeasure12w,NOSP_WASO_Ncompleted12w,NOSP_WASO12w_Imputation (0=no;1=yes),NOSP_SOL_Mean3m,NOSP_SOL_SD3m,NOSP_SOL_Unitofmeasure3m,NOSP_SOL_Ncompleted3m,NOSP_SOL3m_Imputation (0=no;1=yes),NOSP_NA_Mean3m,NOSP_NA_SD3m,NOSP_NA_Unitofmeasure3m,NOSP_NA_Ncompleted3m,NOSP_NA3m_Imputation (0=no;1=yes),NOSP_TST_Mean3m,NOSP_TST_SD3m,NOSP_TST_Unitofmeasure3m,NOSP_TST_Ncompleted3m,NOSP_TST3m_Imputation (0=no;1=yes),NOSP_WASO_Mean3m,NOSP_WASO_SD3m,NOSP_WASO_Unitofmeasure3m,NOSP_WASO_Ncompleted3m,NOSP_WASO3m_Imputation (0=no;1=yes),2C_PSG_SOL_Mean12w,2C_PSG_SOL_SD12w,2C_PSG_SOL_Ncompleted12w,2C_PSG_SOL_SD12w_Imputation,2C_PSG_SOL_Mean3m,2C_PSG_SOL_SD3m,2C_PSG_SOL_Ncompleted3m,2C_PSG_SOL_SD3m_imputation,2D_PSG_WASO_Mean12w,2D_PSG_WASO_SD12w,2D_PSG_WASO_Ncompleted12w,2D_PSG_WASO_SD12w_Imputation,2D_PSG_WASO_Mean3m,2D_PSG_WASO_SD3m,2D_PSG_WASO_Ncompleted3m,2D_PSG_WASO_SD3m_Imputation,2E_PSG_TST_Mean12w,2E_PSG_TST_SD12w,2E_PSG_TST_Ncompleted12w,2E_PSG_TST_SD12w_Imputation,2E_PSG_TST_Mean3m,2E_PSG_TST_SD3m,2E_PSG_TST_Ncompleted3m,2E_PSG_TST_SD3m_Imputation,2F_PSG_NA_Mean12w,2F_PSG_NA_SD12w,2F_PSG_NA_Ncompleted12w,2F_PSG_NA_SD12w_Imputation,2F_PSG_NA_Mean3m,2F_PSG_NA_SD3m,2F_PSG_NA_Ncompleted3m,2F_PSG_NA_SD3m_Imputation,age_cat,N_patientswithAEs,N_patientswithSAEs,QOS_mean_baseline,QOS_SD_baseline,n_ana_QOS,imputed_1yes_from another timepoint_0no,X1B_QoS_ScaleDirection12w,,FU_n_weeks,QoS_Rebound_Endpoint_Mean,QoS_Rebound_Endpoint_SD,QoS_Rebound_Endpoint_Ncompleted,QoS_Rebound_Endopoint_Timing,QoS_Rebound_Endpoint_SD_Imputed,PSG_SOL_Rebound_Mean,PSG_SOL_Rebound_SD,PSG_SOL_Rebound_Ncompleted,PSG_SOL_Rebound_Timing,PSG_SOL_Rebound_SD_Imputation,PSG_WASO_Rebound_Mean,PSG_WASO_Rebound_SD,PSG_WASO_Rebound_Ncompleted,PSG_WASO_Rebound_Timing,PSG_WASO_Rebound_SD_Imputation,PSG_TST_Rebound_Mean,PSG_TST_Rebound_SD,PSG_TST_Rebound_Ncompleted,PSG_TST_Rebound_Timing,PSG_TST_Rebound_SD_Imputation,PSG_NA_Rebound_Mean,PSG_NA_Rebound_SD,PSG_NA_Rebound_Ncompleted,PSG_NA_Rebound_Timing,PSG_NA_Rebound_SD_Imputation,NOSP_SOL_Rebound_Mean,NOSP_SOL_Rebound_SD,NOSP_SOL_Rebound_Ncompleted,NOSP_SOL_Rebound_Timing,NOSP_SOL_Rebound_SD_Imputation,NOSP_WASO_Rebound_Mean,NOSP_WASO_Rebound_SD,NOSP_WASO_Rebound_Ncompleted,NOSP_WASO_Rebound_Timing,NOSP_WASO_Rebound_SD_Imputation,NOSP_TST_Rebound_Mean,NOSP_TST_Rebound_SD,NOSP_TST_Rebound_Ncompleted,NOSP_TST_Rebound_Timing,NOSP_TST_Rebound_SD_Imputation,NOSP_NA_Rebound_Mean,NOSP_NA_Rebound_SD,NOSP_NA_Rebound_Ncompleted,NOSP_NA_Rebound_Timing,NOSP_NA_Rebound_SD_Imputation,Epworth_Sleepiness_Scale_(ESS) _mean,Epworth_Sleepiness_Scale_(ESS) _SD,Epworth_Sleepiness_Scale_(ESS) _Ncompleted,Epworth_Sleepiness_Scale_(ESS) _Timing,Epworth_Sleepiness_Scale_(ESS) _Imputed,Abdominal_pain_discomfort_,Diaphragmatic_disorder_,Abnormal_dreams_,Administration_site_reactions_,Agitation_,Allergic_conditions_,Anxiety_,ARRHYTHMIAHEART_RATE_DISORDER_,Blood_pressure_decreased_,Blood_pressure_increased_,Blood_test_abnormality_,Boddy_as_a_whole_Aes_,Bruxism_,Cardiac_disorders_,Chest_pain_,Cognitive_disorders_,Confusional_state_,Constipation_,Coordination_and_balance_distur_,Coronary_artery_stent_insertion_,Death_,Decreased_appetite_,Depression_,Device_occlusion_,Diabetes_mellitus_incl_subtype_,Diarrhoea_,Disturbance_in_attention_,Disturbances_in_thinking_and_pe_,Dizziness_,Drug_ineffective_,Dry_mouth_,Dysgeusia_,Dyspepsia_,Ear_and_labyrinth_disorders_,ECG_abnormal_,Electrolyte_and_fluid_balance_c_,Emotional_and_mood_disturbances_,Energy_increased_,Events_indicative_of_abuse_pote_,Eye_disorders_,Fall_,Fatigueasthenia_,Feeling_abnormal_,Feeling_cold_,Fever_,Gastrointestinal_disorders_,General_disorders_administrati_,HAEMATOLOGY_BLOOD_TEST_ABNORMAL_,Hangover_effects_,Headache_,Hepatobiliary_disorders_,Hot_flush_,Hyperglycemia_,Hyperhidrosis_,Hypnagogichypnopompic_hallucin_,Increased_appetite_,Infection_,Inflammation_,Injury_,Insomnia_,Investigations_,Lipid_profile_alteration_,Liver_function_test_abnormal_,Memory_impairment_,MENSTRUAL_DISORDER_SYSMPTOMS_,Metabolism_and_nutrition_disord_,Movement_disorders_incl_parkin_,Muscular_weakness_,Musculoskeletal_and_connective_,MUSCULOSKELETAL_PAIN_AND_DISCOM_,Nauseavomiting_,Neoplasms_,Nervous_system_disorders_,Oedema_,Ovarian_and_fallopian_tube_diso_,Pain_,Paraesthesias_and_dysaesthesias_,Parasomnias_,Postprocedural_haemorrhage_,Product_administration_errors_,Psychiatric_disorders_,Reproductive_system_and_breast_,Respiratory_disorder_,Respiratory_tract_infections_an_,Respiratory_thoracic_and_media_,SEDATIONSOMNOLENCE_,Sexual_dysfunction_,Skin_and_subcutaneous_tissue_di_,Sleep_disorder_,Sleep_disorders_,Sleep_paralysis_,Special_senses_,Speech_disorders_and_disturbanc_,Suicidal_ideationbehaviour_,Surgical_and_medical_procedures_,Thrist_dry_mouth_,Thyroid_gland_disorders_,Urinary_tract_signs_and_symptom_,Vascular_disorders_,Vertigo_,Visual_impairment_,Weight_decreased_,Weight_increased_,Sponsored_arm_0-no_1-yes_2-unclear,above_median_severity,Maximum_scale
1,Alexander 1984,flurazepam,11,BZD-long,6,1984,0,0,Not reported,UK,Once a day,15,0,1,2,1,General practice,1,,,,0,33,Other,39,8,,,,,"Sleep questionnaire (results reported in nights, not patients)",,,,,,2,,,Unclear,Unclear,Low,Unclear,Low,High,Unclear,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
1,Alexander 1984,triazolam,22,BZD-short,4,1984,0,0,Not reported,UK,Once a day,.25,0,1,2,1,General practice,1,,,,0,33,Other,41,5,,,,,"Sleep questionnaire (results reported in nights, not patients)",,,,,,2,,,Unclear,Unclear,Low,Unclear,Low,High,Unclear,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
2,Allain 2001,zolpidem,25,zolpidem,9,2001,0,0,Not reported,France,Once a day + as needed,10,0,1,3,1,General practice,6,,46,10,0,35,DSM-IV,124,6,,,,,,,,,,,1,,23,Unclear,Unclear,Unclear,Unclear,Low,Low,Unclear,3,0,1,28.90,27.18,min,120,2,1.05,1.30,n/night,120,1,411.00,79.10,min,120,1,43.10,36.70,min,120,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2,Allain 2001,placebo,1,placebo,1,2001,0,0,Not reported,France,Once a day + as needed,,0,0,0,1,General practice,6,,47,12,0,26,DSM-IV,121,8,,,,,,,,,,,0,,18,Unclear,Unclear,Unclear,Unclear,Low,Low,Unclear,3,0,1,39.00,27.18,min,113,2,1.36,1.30,n/night,113,1,400.00,84.00,min,113,1,29.20,53.80,min,113,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,0,,
3,Allen 1987,midazolam,16,BZD-short,4,1987,0,0,Department of clinical development Hoffman - La Roche (One author),USA,Once a day,15,0,0,2,1,General practice,12,2,37,,0,50,Other,85,17,,,,,,,,,,,5,,21,Unclear,Unclear,Unclear,Unclear,Low,Unclear,Unclear,3,0,1,25.90,27.30,min,84,3,1.40,1.08,n/night,85,3,384.00,77.31,min,85,3,,,,,,21.70,,min,16,3,0.70,,n/night,16,3,378.00,,min,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,36.25,28.52,61,4 weeks (4 nights withdrawal),3,,,,,,352.80,67.38,61,4 weeks (4 nights withdrawal),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,1,,
3,Allen 1987,temazepam,21,BZD-intermediate,5,1987,0,0,Department of clinical development Hoffman - La Roche (One author),USA,Once a day,30,0,1,2,1,General practice,12,2,37,,0,50,Other,90,17,,,,,,,,,,,5,,23,Unclear,Unclear,Unclear,Unclear,Low,Unclear,Unclear,3,0,1,30.30,23.73,min,90,3,1.00,1.03,n/night,90,3,396.00,76.67,min,90,3,,,,,,22.20,27.00,min,17,3,0.90,,n/night,17,3,402.00,78.00,min,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,27.71,39.87,68,4 weeks (4 nights withdrawal),3,,,,,,370.20,98.04,68,4 weeks (4 nights withdrawal),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,1,,
4,Altamura 1989,quazepam,19,BZD-long,6,1989,0,0,Essex Italia S.p.A.,Italy,Once a day,15,0,1,2,1,Specialistic,8,1,41,12,0,,Other,32,1,,6.8600,1.7200,31,"0-10 evaluation scale, the more the better",+,,,,,0,, ,Unclear,Unclear,Unclear,Unclear,Low,Low,Unclear,3,0,1,35.80,17.81,min,31,0,0.76,0.72,n/night,31,0,431.70,80.73,min,31,0,18.60,11.13,min,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0, ,,3.57,1,31,0,+,,1,6.93,1.67,31,9 weeks (1 weeks discontinuation),0,,,,,,,,,,,,,,,,,,,,,50.01,37.53,31,9 weeks (1 week discontinuation),0,,,,,,408.50,81.30,31,9 weeks (1 week discontinuation),0,0.63,0.66,31,9 weeks (1 week discontinuation),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,10
4,Altamura 1989,triazolam,22,BZD-short,4,1989,0,0,Essex Italia S.p.A.,Italy,Once a day,.5,0,1,2,1,Specialistic,8,1,41,12,0,,Other,33,3,,7.3700,1.6400,30,"0-10 evaluation scale, the more the better",+,,,,,0,, ,Unclear,Unclear,Unclear,Unclear,Low,Low,Unclear,3,0,1,32.70,19.17,min,30,0,0.69,0.88,n/night,30,0,434.60,71.20,min,30,0,19.50,15.88,min,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0, ,,3.69,1,30,0,+,,1,5.91,1.31,30,9 weeks (1 weeks discontinuation),0,,,,,,,,,,,,,,,,,,,,,52.24,30.78,30,9 weeks (1 week discontinuation),0,,,,,,387.80,84.40,30,9 weeks (1 week discontinuation),0,0.77,0.75,30,9 weeks (1 week discontinuation),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10
5,Ancoli-Israel 1999,zolpidem,25,zolpidem,9,1999,2,0,"Wyeth-Ayerst research, Radnor, Pa. ",USA,Once a day,5,0,1,3,1,Specialistic,2,1,72,5,1,43,DSM-IV,111,1,,-3.5000,1.1100,110,1-7 scale (1= excellent; 7= extremely poor),-,,,,,,,70,Low,Unclear,Unclear,Unclear,Low,Low,Low,2,0,1,43.00,31.09,min,101,3,1.60,1.05,n/night,101,2,360.00,67.88,min,101,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,70,,-4.17,1,110,1,-,,1,,,,,,,,,,,,,,,,,,,,,,,,,,60.00,34.67,101,2 weeks (1 night discontinuation),1,,,,,,300.00,90.70,101,2 weeks (1 night discontinuation),1,2.00,1.05,85,2 weeks (1 night discontinuation),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,0,0,-1
5,Ancoli-Israel 1999,zaleplon,24,zaleplon,8,1999,1,0,"Wyeth-Ayerst research, Radnor, Pa. ",USA,Once a day,5,0,1,3,,Specialistic,2,1,72,5,1,42,DSM-IV,168,6,,-3.7500,1.1100,162,1-7 scale (1= excellent; 7= extremely poor),-,,,,,,,93,Low,Unclear,Unclear,Unclear,Low,Low,Low,2,0,,39.00,36.56,min,148,3,1.90,1.05,n/night,148,1,325.00,62.30,min,148,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,93,,-4.29,1,162,1,-,,1,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,38.43,150,2 weeks (1 night discontinuation),1,,,,,,330.00,137.68,150,2 weeks (1 night discontinuation),1,2.00,1.05,128,2 weeks (1 night discontinuation),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,1,0,-1
