"BZD-intermediate",".",".",".",".","-1.05 (-1.75 to -0.34)",".",".",".",".","-0.03 (-0.34 to  0.28)","."
"-0.37 (-0.69 to -0.05)","daridorexant",".",".",".","-0.08 (-0.22 to  0.06)",".",".",".",".","-0.07 (-0.38 to  0.23)","."
"-0.31 (-0.64 to  0.03)","0.07 (-0.15 to  0.28)","doxepin",".",".","-0.19 (-0.36 to -0.02)",".",".",".",".",".","."
"-0.26 (-0.56 to  0.04)","0.11 (-0.05 to  0.27)","0.04 (-0.14 to  0.23)","eszopiclone",".","-0.23 (-0.31 to -0.15)",".",".",".",".",".","."
"-0.31 (-0.61 to -0.01)","0.06 (-0.10 to  0.22)","-0.00 (-0.20 to  0.19)","-0.05 (-0.17 to  0.07)","lemborexant","-0.17 (-0.27 to -0.07)",".",".",".",".","0.11 (-0.04 to  0.26)","."
"-0.49 (-0.78 to -0.20)","-0.12 (-0.26 to  0.01)","-0.19 (-0.36 to -0.02)","-0.23 (-0.31 to -0.15)","-0.19 (-0.28 to -0.09)","placebo","-0.06 (-0.21 to  0.09)","0.27 ( 0.00 to  0.54)","0.19 ( 0.08 to  0.31)","0.19 (-0.10 to  0.47)","0.37 ( 0.30 to  0.44)","-0.08 (-0.83 to  0.67)"
"-0.55 (-0.88 to -0.23)","-0.18 (-0.38 to  0.02)","-0.25 (-0.47 to -0.02)","-0.29 (-0.46 to -0.13)","-0.25 (-0.42 to -0.07)","-0.06 (-0.21 to  0.09)","ramelteon",".",".",".",".","."
"-0.15 (-0.51 to  0.21)","0.22 (-0.03 to  0.48)","0.16 (-0.12 to  0.43)","0.11 (-0.12 to  0.35)","0.16 (-0.07 to  0.39)","0.35 ( 0.13 to  0.56)","0.41 ( 0.14 to  0.67)","seltorexant",".",".","-0.06 (-0.34 to  0.21)","."
"-0.30 (-0.61 to  0.01)","0.07 (-0.11 to  0.25)","0.01 (-0.20 to  0.21)","-0.04 (-0.18 to  0.10)","0.01 (-0.14 to  0.16)","0.19 ( 0.08 to  0.31)","0.25 ( 0.07 to  0.44)","-0.15 (-0.40 to  0.10)","suvorexant",".",".","."
"-0.25 (-0.63 to  0.13)","0.12 (-0.17 to  0.40)","0.05 (-0.25 to  0.36)","0.01 (-0.26 to  0.27)","0.05 (-0.21 to  0.32)","0.24 (-0.01 to  0.49)","0.30 ( 0.01 to  0.59)","-0.11 (-0.44 to  0.23)","0.05 (-0.23 to  0.32)","trazodone","0.06 (-0.23 to  0.35)","."
"-0.13 (-0.42 to  0.15)","0.24 ( 0.09 to  0.38)","0.17 (-0.01 to  0.35)","0.13 ( 0.02 to  0.23)","0.17 ( 0.07 to  0.28)","0.36 ( 0.29 to  0.43)","0.42 ( 0.26 to  0.58)","0.01 (-0.21 to  0.23)","0.17 ( 0.03 to  0.30)","0.12 (-0.13 to  0.37)","zolpidem","."
"-0.57 (-1.38 to  0.23)","-0.20 (-0.96 to  0.56)","-0.27 (-1.04 to  0.50)","-0.31 (-1.06 to  0.44)","-0.27 (-1.02 to  0.49)","-0.08 (-0.83 to  0.67)","-0.02 (-0.78 to  0.74)","-0.43 (-1.21 to  0.35)","-0.27 (-1.03 to  0.48)","-0.32 (-1.11 to  0.47)","-0.44 (-1.19 to  0.31)","zopiclone"
