"BZD-intermediate","-0.06 (-0.23 to  0.11)","-0.16 (-0.41 to  0.09)",".",".",".",".",".",".","0.79 ( 0.68 to  0.90)",".",".",".",".",".","0.28 (-0.37 to  0.93)",".","-0.01 (-0.29 to  0.27)","."
"0.11 (-0.01 to  0.24)","BZD-long","-0.39 (-0.61 to -0.17)",".",".",".",".",".",".","0.57 ( 0.43 to  0.71)",".",".",".",".",".",".",".",".","0.08 (-0.15 to  0.31)"
"-0.11 (-0.26 to  0.04)","-0.22 (-0.37 to -0.07)","BZD-short",".",".",".",".",".",".","0.85 ( 0.47 to  1.23)",".",".",".",".",".",".",".","-0.04 (-0.33 to  0.24)","0.26 (-0.29 to  0.82)"
"0.46 ( 0.33 to  0.60)","0.35 ( 0.20 to  0.50)","0.57 ( 0.40 to  0.74)","daridorexant",".",".",".",".",".","0.24 ( 0.15 to  0.34)",".",".",".",".",".",".",".","-0.18 (-0.49 to  0.13)","."
"0.44 ( 0.22 to  0.65)","0.32 ( 0.10 to  0.54)","0.54 ( 0.30 to  0.78)","-0.03 (-0.24 to  0.19)","doxepin",".",".",".",".","0.28 ( 0.09 to  0.47)",".",".",".",".",".",".",".",".","."
"0.24 (-0.01 to  0.49)","0.13 (-0.13 to  0.38)","0.35 ( 0.08 to  0.62)","-0.22 (-0.47 to  0.03)","-0.19 (-0.49 to  0.11)","doxylamine",".",".",".","0.60 ( 0.33 to  0.87)",".",".",".",".",".",".",".","-0.10 (-0.36 to  0.16)","."
"0.14 ( 0.02 to  0.26)","0.03 (-0.10 to  0.16)","0.25 ( 0.09 to  0.41)","-0.32 (-0.44 to -0.20)","-0.29 (-0.50 to -0.08)","-0.10 (-0.34 to  0.14)","eszopiclone",".",".","0.57 ( 0.49 to  0.65)",".",".",".",".",".",".",".",".","0.04 (-0.15 to  0.23)"
"0.36 ( 0.22 to  0.49)","0.24 ( 0.10 to  0.39)","0.46 ( 0.29 to  0.64)","-0.11 (-0.24 to  0.03)","-0.08 (-0.29 to  0.14)","0.12 (-0.13 to  0.36)","0.21 ( 0.09 to  0.34)","lemborexant",".","0.33 ( 0.22 to  0.44)",".",".",".",".",".",".",".","-0.03 (-0.18 to  0.13)","."
"0.53 ( 0.39 to  0.68)","0.42 ( 0.26 to  0.57)","0.64 ( 0.46 to  0.82)","0.07 (-0.08 to  0.21)","0.10 (-0.13 to  0.32)","0.29 ( 0.04 to  0.55)","0.39 ( 0.25 to  0.52)","0.17 ( 0.03 to  0.32)","melatonin","0.18 ( 0.07 to  0.29)",".",".",".",".",".",".",".",".","."
"0.72 ( 0.62 to  0.81)","0.60 ( 0.49 to  0.71)","0.82 ( 0.68 to  0.97)","0.25 ( 0.16 to  0.35)","0.28 ( 0.09 to  0.47)","0.47 ( 0.24 to  0.71)","0.57 ( 0.50 to  0.65)","0.36 ( 0.26 to  0.45)","0.18 ( 0.07 to  0.29)","placebo","-0.05 (-1.14 to  1.04)","-0.14 (-0.23 to -0.04)","-0.33 (-0.60 to -0.06)","-0.31 (-0.43 to -0.19)","-0.38 (-0.64 to -0.13)","-0.73 (-1.39 to -0.07)","-0.12 (-0.24 to -0.01)","-0.43 (-0.50 to -0.37)","-0.63 (-0.80 to -0.45)"
"0.67 (-0.43 to  1.76)","0.55 (-0.54 to  1.65)","0.77 (-0.33 to  1.87)","0.20 (-0.89 to  1.30)","0.23 (-0.88 to  1.34)","0.42 (-0.69 to  1.54)","0.52 (-0.57 to  1.61)","0.31 (-0.79 to  1.40)","0.13 (-0.96 to  1.23)","-0.05 (-1.14 to  1.04)","quetiapine",".",".",".",".",".",".",".","."
"0.58 ( 0.45 to  0.71)","0.47 ( 0.32 to  0.61)","0.69 ( 0.51 to  0.86)","0.12 (-0.02 to  0.25)","0.14 (-0.07 to  0.36)","0.34 ( 0.09 to  0.59)","0.44 ( 0.31 to  0.56)","0.22 ( 0.09 to  0.36)","0.05 (-0.10 to  0.19)","-0.14 (-0.23 to -0.04)","-0.09 (-1.18 to  1.01)","ramelteon",".",".",".",".",".",".","."
"0.27 ( 0.04 to  0.51)","0.16 (-0.09 to  0.40)","0.38 ( 0.12 to  0.64)","-0.19 (-0.43 to  0.05)","-0.16 (-0.45 to  0.13)","0.03 (-0.28 to  0.35)","0.13 (-0.10 to  0.36)","-0.09 (-0.32 to  0.15)","-0.26 (-0.50 to -0.02)","-0.44 (-0.66 to -0.23)","-0.39 (-1.51 to  0.72)","-0.31 (-0.55 to -0.07)","seltorexant",".",".",".",".","0.10 (-0.18 to  0.37)","."
"0.40 ( 0.25 to  0.56)","0.29 ( 0.13 to  0.45)","0.51 ( 0.32 to  0.70)","-0.06 (-0.21 to  0.09)","-0.03 (-0.26 to  0.20)","0.16 (-0.10 to  0.42)","0.26 ( 0.12 to  0.40)","0.05 (-0.11 to  0.20)","-0.13 (-0.29 to  0.03)","-0.31 (-0.43 to -0.19)","-0.26 (-1.36 to  0.84)","-0.18 (-0.33 to -0.02)","0.13 (-0.12 to  0.38)","suvorexant",".",".",".",".","."
"0.25 ( 0.01 to  0.50)","0.14 (-0.11 to  0.39)","0.36 ( 0.09 to  0.63)","-0.21 (-0.46 to  0.04)","-0.18 (-0.48 to  0.12)","0.01 (-0.31 to  0.33)","0.11 (-0.13 to  0.35)","-0.10 (-0.35 to  0.14)","-0.28 (-0.53 to -0.02)","-0.46 (-0.69 to -0.23)","-0.41 (-1.53 to  0.70)","-0.33 (-0.57 to -0.08)","-0.02 (-0.33 to  0.30)","-0.15 (-0.41 to  0.11)","trazodone",".",".","0.03 (-0.26 to  0.33)","."
"0.14 (-0.42 to  0.70)","0.02 (-0.54 to  0.59)","0.25 (-0.33 to  0.82)","-0.33 (-0.89 to  0.24)","-0.30 (-0.89 to  0.30)","-0.10 (-0.71 to  0.50)","-0.01 (-0.57 to  0.56)","-0.22 (-0.79 to  0.35)","-0.39 (-0.96 to  0.18)","-0.58 (-1.14 to -0.02)","-0.53 (-1.75 to  0.70)","-0.44 (-1.01 to  0.13)","-0.13 (-0.73 to  0.47)","-0.27 (-0.84 to  0.31)","-0.11 (-0.72 to  0.49)","trimipramine",".",".","."
"0.53 ( 0.40 to  0.66)","0.42 ( 0.28 to  0.56)","0.64 ( 0.47 to  0.81)","0.07 (-0.06 to  0.20)","0.10 (-0.12 to  0.31)","0.29 ( 0.05 to  0.54)","0.39 ( 0.27 to  0.51)","0.18 ( 0.05 to  0.30)","0.00 (-0.14 to  0.14)","-0.18 (-0.28 to -0.09)","-0.13 (-1.23 to  0.96)","-0.05 (-0.18 to  0.09)","0.26 ( 0.03 to  0.49)","0.13 (-0.02 to  0.28)","0.28 ( 0.04 to  0.52)","0.39 (-0.17 to  0.96)","zaleplon","-0.23 (-0.35 to -0.12)","."
"0.25 ( 0.14 to  0.35)","0.13 ( 0.01 to  0.25)","0.36 ( 0.21 to  0.50)","-0.22 (-0.32 to -0.11)","-0.19 (-0.39 to  0.02)","0.01 (-0.22 to  0.24)","0.11 ( 0.01 to  0.20)","-0.11 (-0.21 to -0.01)","-0.28 (-0.41 to -0.16)","-0.47 (-0.52 to -0.41)","-0.42 (-1.51 to  0.68)","-0.33 (-0.44 to -0.22)","-0.02 (-0.24 to  0.20)","-0.15 (-0.29 to -0.02)","-0.00 (-0.23 to  0.23)","0.11 (-0.45 to  0.67)","-0.28 (-0.38 to -0.19)","zolpidem","0.06 (-0.13 to  0.25)"
"0.19 ( 0.06 to  0.32)","0.08 (-0.06 to  0.21)","0.30 ( 0.13 to  0.46)","-0.27 (-0.41 to -0.13)","-0.24 (-0.46 to -0.03)","-0.05 (-0.30 to  0.20)","0.05 (-0.07 to  0.16)","-0.17 (-0.31 to -0.03)","-0.34 (-0.49 to -0.19)","-0.53 (-0.63 to -0.42)","-0.47 (-1.57 to  0.62)","-0.39 (-0.53 to -0.25)","-0.08 (-0.32 to  0.16)","-0.21 (-0.37 to -0.06)","-0.06 (-0.31 to  0.19)","0.05 (-0.52 to  0.62)","-0.34 (-0.48 to -0.21)","-0.06 (-0.17 to  0.05)","zopiclone"
