"BZD-intermediate","-0.04 (-0.29 to  0.21)","-0.16 (-0.63 to  0.31)",".",".",".",".",".",".","0.71 ( 0.53 to  0.88)",".",".",".",".",".","0.28 (-0.48 to  1.04)",".","-0.01 (-0.50 to  0.48)","."
"0.09 (-0.09 to  0.27)","BZD-long","-0.36 (-0.64 to -0.08)",".",".",".",".",".",".","0.58 ( 0.39 to  0.77)",".",".",".",".",".",".",".",".","0.06 (-0.25 to  0.37)"
"-0.16 (-0.39 to  0.07)","-0.25 (-0.46 to -0.04)","BZD-short",".",".",".",".",".",".","0.84 ( 0.40 to  1.27)",".",".",".",".",".",".",".","-0.04 (-0.53 to  0.45)","0.26 (-0.42 to  0.94)"
"0.44 ( 0.15 to  0.72)","0.35 ( 0.06 to  0.64)","0.60 ( 0.27 to  0.92)","daridorexant",".",".",".",".",".","0.21 (-0.05 to  0.47)",".",".",".",".",".",".",".","-0.18 (-0.68 to  0.33)","."
"0.37 (-0.01 to  0.75)","0.28 (-0.10 to  0.66)","0.53 ( 0.13 to  0.93)","-0.07 (-0.49 to  0.36)","doxepin",".",".",".",".","0.30 (-0.05 to  0.64)",".",".",".",".",".",".",".",".","."
"0.20 (-0.25 to  0.64)","0.11 (-0.34 to  0.55)","0.36 (-0.11 to  0.82)","-0.24 (-0.72 to  0.24)","-0.17 (-0.72 to  0.37)","doxylamine",".",".",".","0.60 ( 0.12 to  1.08)",".",".",".",".",".",".",".","-0.10 (-0.58 to  0.38)","."
"0.15 (-0.06 to  0.37)","0.07 (-0.15 to  0.28)","0.32 ( 0.06 to  0.57)","-0.28 (-0.58 to  0.01)","-0.22 (-0.60 to  0.17)","-0.04 (-0.49 to  0.41)","eszopiclone",".",".","0.50 ( 0.33 to  0.68)",".",".",".",".",".",".",".",".","0.04 (-0.30 to  0.38)"
"0.31 ( 0.00 to  0.63)","0.22 (-0.09 to  0.54)","0.47 ( 0.13 to  0.82)","-0.12 (-0.49 to  0.25)","-0.06 (-0.50 to  0.39)","0.12 (-0.38 to  0.62)","0.16 (-0.16 to  0.48)","lemborexant",".","0.34 ( 0.04 to  0.64)",".",".",".",".",".",".",".","-0.03 (-0.45 to  0.40)","."
"0.53 ( 0.24 to  0.83)","0.45 ( 0.15 to  0.74)","0.70 ( 0.37 to  1.02)","0.10 (-0.25 to  0.45)","0.17 (-0.26 to  0.59)","0.34 (-0.15 to  0.83)","0.38 ( 0.08 to  0.68)","0.22 (-0.15 to  0.60)","melatonin","0.13 (-0.11 to  0.38)",".",".",".",".",".",".",".",".","."
"0.67 ( 0.52 to  0.82)","0.58 ( 0.43 to  0.73)","0.83 ( 0.62 to  1.04)","0.23 (-0.01 to  0.48)","0.30 (-0.05 to  0.64)","0.47 ( 0.06 to  0.89)","0.51 ( 0.35 to  0.68)","0.36 ( 0.08 to  0.63)","0.13 (-0.11 to  0.38)","placebo","-0.05 (-1.21 to  1.11)","-0.12 (-0.37 to  0.14)","-0.33 (-0.81 to  0.15)","-0.31 (-0.62 to -0.01)","-0.47 (-0.87 to -0.08)","-0.73 (-1.50 to  0.04)","-0.12 (-0.35 to  0.11)","-0.41 (-0.53 to -0.29)","-0.60 (-0.97 to -0.24)"
"0.62 (-0.55 to  1.79)","0.53 (-0.64 to  1.70)","0.78 (-0.40 to  1.96)","0.18 (-1.01 to  1.37)","0.25 (-0.96 to  1.46)","0.42 (-0.81 to  1.66)","0.46 (-0.71 to  1.64)","0.30 (-0.89 to  1.50)","0.08 (-1.10 to  1.27)","-0.05 (-1.21 to  1.11)","quetiapine",".",".",".",".",".",".",".","."
"0.55 ( 0.25 to  0.85)","0.46 ( 0.17 to  0.76)","0.71 ( 0.38 to  1.04)","0.11 (-0.24 to  0.47)","0.18 (-0.25 to  0.61)","0.36 (-0.13 to  0.84)","0.40 ( 0.09 to  0.70)","0.24 (-0.14 to  0.62)","0.02 (-0.34 to  0.37)","-0.12 (-0.37 to  0.14)","-0.07 (-1.26 to  1.12)","ramelteon",".",".",".",".",".",".","."
"0.23 (-0.21 to  0.67)","0.14 (-0.29 to  0.58)","0.39 (-0.07 to  0.85)","-0.20 (-0.68 to  0.27)","-0.14 (-0.67 to  0.40)","0.04 (-0.55 to  0.62)","0.08 (-0.36 to  0.52)","-0.08 (-0.58 to  0.41)","-0.30 (-0.78 to  0.18)","-0.44 (-0.85 to -0.03)","-0.39 (-1.62 to  0.84)","-0.32 (-0.80 to  0.16)","seltorexant",".",".",".",".","0.10 (-0.39 to  0.58)","."
"0.35 ( 0.01 to  0.70)","0.27 (-0.08 to  0.61)","0.51 ( 0.14 to  0.89)","-0.08 (-0.47 to  0.31)","-0.02 (-0.48 to  0.44)","0.16 (-0.36 to  0.68)","0.20 (-0.15 to  0.55)","0.04 (-0.37 to  0.46)","-0.18 (-0.58 to  0.21)","-0.31 (-0.62 to -0.01)","-0.26 (-1.46 to  0.94)","-0.20 (-0.59 to  0.20)","0.12 (-0.39 to  0.64)","suvorexant",".",".",".",".","."
"0.15 (-0.25 to  0.54)","0.06 (-0.33 to  0.45)","0.31 (-0.11 to  0.72)","-0.29 (-0.73 to  0.15)","-0.22 (-0.72 to  0.27)","-0.05 (-0.60 to  0.50)","-0.01 (-0.41 to  0.39)","-0.17 (-0.62 to  0.29)","-0.39 (-0.83 to  0.05)","-0.52 (-0.89 to -0.16)","-0.47 (-1.69 to  0.74)","-0.41 (-0.85 to  0.04)","-0.09 (-0.63 to  0.46)","-0.21 (-0.68 to  0.27)","trazodone",".",".","0.03 (-0.46 to  0.53)","."
"0.11 (-0.55 to  0.77)","0.03 (-0.65 to  0.70)","0.27 (-0.41 to  0.96)","-0.32 (-1.03 to  0.38)","-0.26 (-1.00 to  0.49)","-0.08 (-0.86 to  0.70)","-0.04 (-0.72 to  0.64)","-0.20 (-0.92 to  0.52)","-0.42 (-1.13 to  0.28)","-0.55 (-1.21 to  0.11)","-0.50 (-1.84 to  0.83)","-0.44 (-1.14 to  0.27)","-0.12 (-0.89 to  0.66)","-0.24 (-0.97 to  0.49)","-0.03 (-0.78 to  0.72)","trimipramine",".",".","."
