Separate indirect from direct evidence (SIDE) using back-calculation method

Fixed effects model: 

                   comparison  k prop   nma direct indir.  Diff     z p-value
      brotizolam:daridorexant  0    0  0.62      .   0.62     .     .       .
    brotizolam:diphenydramine  0    0  0.37      .   0.37     .     .       .
           brotizolam:doxepin  0    0  0.63      .   0.63     .     .       .
        brotizolam:doxylamine  0    0  0.40      .   0.40     .     .       .
         brotizolam:estazolam  1 0.78  0.14   0.16   0.06  0.10  0.36  0.7194
       brotizolam:eszopiclone  0    0  0.30      .   0.30     .     .       .
     brotizolam:flunitrazepam  0    0  0.18      .   0.18     .     .       .
        brotizolam:flurazepam  1 0.12  0.16   0.00   0.18 -0.18 -0.41  0.6849
       brotizolam:lemborexant  0    0  0.49      .   0.49     .     .       .
        brotizolam:loprazolam  0    0  0.38      .   0.38     .     .       .
         brotizolam:lorazepam  0    0  1.06      .   1.06     .     .       .
      brotizolam:lormetazepam  0    0  0.23      .   0.23     .     .       .
         brotizolam:melatonin  0    0  0.72      .   0.72     .     .       .
         brotizolam:midazolam  0    0  0.06      .   0.06     .     .       .
       brotizolam:mirtazapine  0    0  0.73      .   0.73     .     .       .
        brotizolam:nitrazepam  0    0  0.53      .   0.53     .     .       .
           brotizolam:placebo  2 0.25  0.90   0.74   0.95 -0.20 -0.71  0.4776
          brotizolam:quazepam  0    0  0.26      .   0.26     .     .       .
        brotizolam:quetiapine  0    0  0.85      .   0.85     .     .       .
         brotizolam:ramelteon  0    0  0.76      .   0.76     .     .       .
        brotizolam:suvorexant  0    0  0.60      .   0.60     .     .       .
         brotizolam:temazepam  0    0  0.35      .   0.35     .     .       .
         brotizolam:trazodone  0    0  0.42      .   0.42     .     .       .
         brotizolam:triazolam  0    0  0.08      .   0.08     .     .       .
      brotizolam:trimipramine  0    0  0.34      .   0.34     .     .       .
          brotizolam:zaleplon  0    0  0.70      .   0.70     .     .       .
          brotizolam:zolpidem  0    0  0.39      .   0.39     .     .       .
         brotizolam:zopiclone  0    0  0.32      .   0.32     .     .       .
  daridorexant:diphenydramine  0    0 -0.26      .  -0.26     .     .       .
         daridorexant:doxepin  0    0  0.01      .   0.01     .     .       .
      daridorexant:doxylamine  0    0 -0.22      .  -0.22     .     .       .
       daridorexant:estazolam  0    0 -0.49      .  -0.49     .     .       .
     daridorexant:eszopiclone  0    0 -0.32      .  -0.32     .     .       .
   daridorexant:flunitrazepam  0    0 -0.44      .  -0.44     .     .       .
      daridorexant:flurazepam  0    0 -0.47      .  -0.47     .     .       .
     daridorexant:lemborexant  0    0 -0.14      .  -0.14     .     .       .
      daridorexant:loprazolam  0    0 -0.24      .  -0.24     .     .       .
       daridorexant:lorazepam  0    0  0.44      .   0.44     .     .       .
    daridorexant:lormetazepam  0    0 -0.40      .  -0.40     .     .       .
       daridorexant:melatonin  0    0  0.09      .   0.09     .     .       .
       daridorexant:midazolam  0    0 -0.56      .  -0.56     .     .       .
     daridorexant:mirtazapine  0    0  0.11      .   0.11     .     .       .
      daridorexant:nitrazepam  0    0 -0.10      .  -0.10     .     .       .
         daridorexant:placebo  3 0.95  0.27   0.26   0.64 -0.39 -1.67  0.0954
        daridorexant:quazepam  0    0 -0.36      .  -0.36     .     .       .
      daridorexant:quetiapine  0    0  0.22      .   0.22     .     .       .
       daridorexant:ramelteon  0    0  0.14      .   0.14     .     .       .
      daridorexant:suvorexant  0    0 -0.02      .  -0.02     .     .       .
       daridorexant:temazepam  0    0 -0.28      .  -0.28     .     .       .
       daridorexant:trazodone  0    0 -0.20      .  -0.20     .     .       .
       daridorexant:triazolam  0    0 -0.55      .  -0.55     .     .       .
    daridorexant:trimipramine  0    0 -0.28      .  -0.28     .     .       .
        daridorexant:zaleplon  0    0  0.07      .   0.07     .     .       .
        daridorexant:zolpidem  1 0.13 -0.24  -0.03  -0.27  0.24  1.39  0.1637
       daridorexant:zopiclone  0    0 -0.30      .  -0.30     .     .       .
       diphenydramine:doxepin  0    0  0.26      .   0.26     .     .       .
    diphenydramine:doxylamine  0    0  0.03      .   0.03     .     .       .
     diphenydramine:estazolam  0    0 -0.23      .  -0.23     .     .       .
   diphenydramine:eszopiclone  0    0 -0.07      .  -0.07     .     .       .
 diphenydramine:flunitrazepam  0    0 -0.18      .  -0.18     .     .       .
    diphenydramine:flurazepam  0    0 -0.21      .  -0.21     .     .       .
   diphenydramine:lemborexant  0    0  0.12      .   0.12     .     .       .
    diphenydramine:loprazolam  0    0  0.01      .   0.01     .     .       .
     diphenydramine:lorazepam  0    0  0.69      .   0.69     .     .       .
  diphenydramine:lormetazepam  0    0 -0.14      .  -0.14     .     .       .
     diphenydramine:melatonin  0    0  0.35      .   0.35     .     .       .
     diphenydramine:midazolam  0    0 -0.31      .  -0.31     .     .       .
   diphenydramine:mirtazapine  0    0  0.37      .   0.37     .     .       .
    diphenydramine:nitrazepam  0    0  0.16      .   0.16     .     .       .
       diphenydramine:placebo  1 1.00  0.53   0.53      .     .     .       .
      diphenydramine:quazepam  0    0 -0.10      .  -0.10     .     .       .
    diphenydramine:quetiapine  0    0  0.48      .   0.48     .     .       .
     diphenydramine:ramelteon  0    0  0.39      .   0.39     .     .       .
    diphenydramine:suvorexant  0    0  0.24      .   0.24     .     .       .
     diphenydramine:temazepam  0    0 -0.02      .  -0.02     .     .       .
     diphenydramine:trazodone  0    0  0.05      .   0.05     .     .       .
     diphenydramine:triazolam  0    0 -0.29      .  -0.29     .     .       .
  diphenydramine:trimipramine  0    0 -0.02      .  -0.02     .     .       .
      diphenydramine:zaleplon  0    0  0.33      .   0.33     .     .       .
      diphenydramine:zolpidem  0    0  0.02      .   0.02     .     .       .
     diphenydramine:zopiclone  0    0 -0.04      .  -0.04     .     .       .
           doxepin:doxylamine  0    0 -0.23      .  -0.23     .     .       .
            doxepin:estazolam  0    0 -0.49      .  -0.49     .     .       .
          doxepin:eszopiclone  0    0 -0.33      .  -0.33     .     .       .
        doxepin:flunitrazepam  0    0 -0.45      .  -0.45     .     .       .
           doxepin:flurazepam  0    0 -0.47      .  -0.47     .     .       .
          doxepin:lemborexant  0    0 -0.14      .  -0.14     .     .       .
           doxepin:loprazolam  0    0 -0.25      .  -0.25     .     .       .
            doxepin:lorazepam  0    0  0.43      .   0.43     .     .       .
         doxepin:lormetazepam  0    0 -0.40      .  -0.40     .     .       .
            doxepin:melatonin  0    0  0.09      .   0.09     .     .       .
            doxepin:midazolam  0    0 -0.57      .  -0.57     .     .       .
          doxepin:mirtazapine  0    0  0.10      .   0.10     .     .       .
           doxepin:nitrazepam  0    0 -0.10      .  -0.10     .     .       .
              doxepin:placebo  2 1.00  0.27   0.27      .     .     .       .
             doxepin:quazepam  0    0 -0.37      .  -0.37     .     .       .
           doxepin:quetiapine  0    0  0.22      .   0.22     .     .       .
            doxepin:ramelteon  0    0  0.13      .   0.13     .     .       .
           doxepin:suvorexant  0    0 -0.03      .  -0.03     .     .       .
            doxepin:temazepam  0    0 -0.28      .  -0.28     .     .       .
            doxepin:trazodone  0    0 -0.21      .  -0.21     .     .       .
            doxepin:triazolam  0    0 -0.55      .  -0.55     .     .       .
         doxepin:trimipramine  0    0 -0.29      .  -0.29     .     .       .
             doxepin:zaleplon  0    0  0.07      .   0.07     .     .       .
             doxepin:zolpidem  0    0 -0.24      .  -0.24     .     .       .
            doxepin:zopiclone  0    0 -0.31      .  -0.31     .     .       .
         doxylamine:estazolam  0    0 -0.26      .  -0.26     .     .       .
       doxylamine:eszopiclone  0    0 -0.10      .  -0.10     .     .       .
     doxylamine:flunitrazepam  0    0 -0.22      .  -0.22     .     .       .
        doxylamine:flurazepam  0    0 -0.24      .  -0.24     .     .       .
       doxylamine:lemborexant  0    0  0.09      .   0.09     .     .       .
 [ reached getOption("max.print") -- omitted 295 rows ]

Random effects model: 

                   comparison  k prop   nma direct indir.  Diff     z p-value
      brotizolam:daridorexant  0    0  0.56      .   0.56     .     .       .
