"brotizolam",".",".",".","0.16 (-0.30 to  0.62)",".",".","0.00 (-0.89 to  0.89)",".",".",".",".",".",".","0.71 ( 0.15 to  1.27)",".",".",".",".",".",".",".",".",".",".",".","."
"0.64 ( 0.20 to  1.08)","daridorexant",".",".",".",".",".",".",".",".",".",".",".",".","0.21 (-0.04 to  0.46)",".",".",".",".",".",".",".",".",".",".","-0.18 (-0.67 to  0.32)","."
"0.57 ( 0.07 to  1.07)","-0.07 (-0.48 to  0.35)","doxepin",".",".",".",".",".",".",".",".",".",".",".","0.30 (-0.04 to  0.63)",".",".",".",".",".",".",".",".",".",".",".","."
"0.40 (-0.15 to  0.96)","-0.24 (-0.71 to  0.24)","-0.17 (-0.70 to  0.36)","doxylamine",".",".",".",".",".",".",".",".",".",".","0.60 ( 0.13 to  1.07)",".",".",".",".",".",".",".",".",".",".","-0.10 (-0.57 to  0.37)","."
"0.10 (-0.26 to  0.46)","-0.54 (-0.86 to -0.21)","-0.47 (-0.87 to -0.07)","-0.30 (-0.77 to  0.16)","estazolam",".",".","-0.23 (-0.59 to  0.13)",".",".",".",".",".",".","0.84 ( 0.60 to  1.07)",".",".",".",".",".",".",".",".",".",".",".","."
"0.36 (-0.04 to  0.77)","-0.28 (-0.56 to  0.01)","-0.21 (-0.58 to  0.16)","-0.04 (-0.48 to  0.40)","0.26 (-0.01 to  0.53)","eszopiclone",".",".",".",".",".",".",".",".","0.51 ( 0.33 to  0.68)",".",".",".",".",".",".",".",".",".",".",".","0.04 (-0.29 to  0.37)"
"0.30 (-0.33 to  0.92)","-0.34 (-0.90 to  0.21)","-0.28 (-0.88 to  0.33)","-0.11 (-0.76 to  0.54)","0.19 (-0.35 to  0.74)","-0.07 (-0.58 to  0.44)","flunitrazepam",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0.11 (-0.35 to  0.57)"
"0.16 (-0.24 to  0.57)","-0.48 (-0.81 to -0.15)","-0.41 (-0.82 to -0.01)","-0.24 (-0.71 to  0.22)","0.06 (-0.21 to  0.33)","-0.20 (-0.48 to  0.07)","-0.14 (-0.69 to  0.42)","flurazepam",".",".",".",".",".",".","0.69 ( 0.43 to  0.96)","0.05 (-1.04 to  1.13)",".",".",".",".","0.10 (-0.58 to  0.77)",".","-0.40 (-0.87 to  0.06)",".",".",".","."
"0.52 ( 0.06 to  0.98)","-0.12 (-0.48 to  0.24)","-0.05 (-0.49 to  0.38)","0.11 (-0.37 to  0.60)","0.42 ( 0.07 to  0.77)","0.15 (-0.16 to  0.47)","0.22 (-0.35 to  0.79)","0.36 ( 0.01 to  0.71)","lemborexant",".",".",".",".",".","0.34 ( 0.04 to  0.63)",".",".",".",".",".",".",".",".",".",".","-0.03 (-0.44 to  0.39)","."
"0.41 (-0.14 to  0.95)","-0.23 (-0.70 to  0.23)","-0.17 (-0.69 to  0.35)","0.00 (-0.57 to  0.57)","0.30 (-0.15 to  0.75)","0.04 (-0.38 to  0.46)","0.11 (-0.52 to  0.74)","0.24 (-0.21 to  0.70)","-0.11 (-0.59 to  0.37)","loprazolam",".",".",".","0.17 (-0.38 to  0.72)","0.34 (-0.08 to  0.76)",".",".",".",".",".",".",".",".",".",".",".","."
