"BZD-intermediate","1.02 (0.55 to  1.90)","0.94 (0.56 to  1.56)",".",".",".",".",".",".","0.84 (0.60 to  1.17)",".",".",".",".",".","1.24 (0.34 to  4.56)",".","0.69 (0.37 to  1.28)","0.99 (0.28 to  3.51)"
"1.03 (0.74 to  1.43)","BZD-long","0.78 (0.59 to  1.04)",".",".",".",".",".",".","0.75 (0.55 to  1.01)",".",".",".",".",".",".",".",".","0.83 (0.56 to  1.22)"
"0.80 (0.60 to  1.08)","0.78 (0.61 to  1.00)","BZD-short",".",".",".",".",".",".","1.03 (0.79 to  1.34)",".",".",".",".",".",".","0.22 (0.01 to  4.29)","1.89 (0.96 to  3.72)","1.10 (0.76 to  1.58)"
"0.86 (0.55 to  1.35)","0.83 (0.54 to  1.30)","1.07 (0.70 to  1.64)","daridorexant",".",".",".",".",".","0.99 (0.68 to  1.43)",".",".",".",".",".",".",".","0.24 (0.02 to  2.72)","."
"0.93 (0.55 to  1.56)","0.90 (0.54 to  1.50)","1.15 (0.70 to  1.89)","1.08 (0.61 to  1.92)","doxepin",".",".",".",".","0.86 (0.54 to  1.37)",".","1.22 (0.51 to  2.95)",".",".",".",".",".",".","."
"1.36 (0.54 to  3.42)","1.33 (0.53 to  3.31)","1.70 (0.69 to  4.20)","1.59 (0.61 to  4.13)","1.47 (0.55 to  3.95)","doxylamine",".",".",".","0.54 (0.21 to  1.44)",".",".",".",".",".",".",".","0.65 (0.24 to  1.75)","."
"1.01 (0.70 to  1.46)","0.98 (0.69 to  1.39)","1.25 (0.91 to  1.74)","1.17 (0.75 to  1.84)","1.09 (0.65 to  1.82)","0.74 (0.29 to  1.85)","eszopiclone",".",".","0.81 (0.60 to  1.10)",".",".",".",".",".",".",".",".","0.84 (0.53 to  1.34)"
"0.97 (0.61 to  1.53)","0.94 (0.60 to  1.47)","1.21 (0.79 to  1.85)","1.13 (0.67 to  1.90)","1.05 (0.59 to  1.86)","0.71 (0.27 to  1.84)","0.96 (0.61 to  1.51)","lemborexant",".","0.96 (0.65 to  1.44)",".",".",".",".",".",".",".","0.47 (0.24 to  0.95)","."
"0.83 (0.55 to  1.26)","0.81 (0.54 to  1.21)","1.03 (0.70 to  1.52)","0.97 (0.59 to  1.57)","0.90 (0.52 to  1.55)","0.61 (0.24 to  1.56)","0.82 (0.54 to  1.25)","0.86 (0.52 to  1.40)","melatonin","1.00 (0.73 to  1.38)",".",".",".",".",".",".",".",".","."
"0.83 (0.64 to  1.09)","0.81 (0.63 to  1.04)","1.04 (0.84 to  1.29)","0.97 (0.67 to  1.40)","0.90 (0.58 to  1.40)","0.61 (0.25 to  1.48)","0.83 (0.64 to  1.08)","0.86 (0.59 to  1.25)","1.00 (0.73 to  1.38)","placebo","2.33 (0.17 to 32.58)","0.85 (0.71 to  1.02)","2.27 (0.76 to  6.78)","1.10 (0.78 to  1.56)","0.65 (0.24 to  1.78)","1.07 (0.28 to  4.04)","0.97 (0.69 to  1.35)","0.89 (0.72 to  1.11)","1.04 (0.71 to  1.54)"
"1.95 (0.14 to 27.56)","1.89 (0.13 to 26.73)","2.42 (0.17 to 34.14)","2.27 (0.16 to 32.45)","2.10 (0.14 to 30.45)","1.43 (0.09 to 23.02)","1.93 (0.14 to 27.33)","2.01 (0.14 to 28.81)","2.34 (0.16 to 33.37)","2.33 (0.17 to 32.58)","quetiapine",".",".",".",".",".",".",".","."
"0.72 (0.52 to  0.99)","0.70 (0.51 to  0.95)","0.89 (0.67 to  1.19)","0.84 (0.56 to  1.26)","0.78 (0.49 to  1.24)","0.53 (0.21 to  1.30)","0.71 (0.52 to  0.98)","0.74 (0.49 to  1.12)","0.86 (0.60 to  1.25)","0.86 (0.72 to  1.03)","0.37 (0.03 to  5.19)","ramelteon",".",".",".",".",".",".","."
"1.57 (0.58 to  4.23)","1.53 (0.57 to  4.10)","1.95 (0.73 to  5.21)","1.83 (0.66 to  5.09)","1.69 (0.59 to  4.87)","1.15 (0.31 to  4.21)","1.56 (0.58 to  4.20)","1.62 (0.58 to  4.52)","1.89 (0.69 to  5.19)","1.88 (0.72 to  4.90)","0.81 (0.05 to 13.33)","2.19 (0.82 to  5.79)","seltorexant",".",".",".",".","0.66 (0.19 to  2.26)","."
"0.92 (0.60 to  1.42)","0.89 (0.58 to  1.37)","1.15 (0.76 to  1.72)","1.07 (0.65 to  1.77)","0.99 (0.57 to  1.74)","0.67 (0.26 to  1.74)","0.91 (0.59 to  1.41)","0.95 (0.57 to  1.58)","1.11 (0.69 to  1.77)","1.10 (0.78 to  1.56)","0.47 (0.03 to  6.75)","1.28 (0.87 to  1.89)","0.59 (0.21 to  1.62)","suvorexant",".",".",".",".","."
"0.71 (0.30 to  1.68)","0.69 (0.29 to  1.63)","0.89 (0.38 to  2.07)","0.83 (0.34 to  2.04)","0.77 (0.30 to  1.96)","0.52 (0.16 to  1.73)","0.71 (0.30 to  1.67)","0.74 (0.30 to  1.81)","0.86 (0.36 to  2.07)","0.86 (0.38 to  1.94)","0.37 (0.02 to  5.80)","0.99 (0.43 to  2.30)","0.45 (0.13 to  1.59)","0.78 (0.32 to  1.89)","trazodone",".",".","0.92 (0.37 to  2.27)","."
"1.06 (0.34 to  3.35)","1.03 (0.32 to  3.33)","1.32 (0.41 to  4.24)","1.24 (0.37 to  4.13)","1.15 (0.33 to  3.93)","0.78 (0.18 to  3.32)","1.05 (0.32 to  3.43)","1.10 (0.33 to  3.67)","1.28 (0.39 to  4.22)","1.27 (0.40 to  4.02)","0.55 (0.03 to  9.68)","1.48 (0.46 to  4.74)","0.68 (0.15 to  3.02)","1.15 (0.35 to  3.84)","1.49 (0.36 to  6.11)","trimipramine",".",".","."
"0.76 (0.52 to  1.12)","0.74 (0.51 to  1.08)","0.95 (0.67 to  1.35)","0.89 (0.56 to  1.41)","0.82 (0.49 to  1.39)","0.56 (0.22 to  1.40)","0.76 (0.52 to  1.11)","0.79 (0.50 to  1.25)","0.92 (0.60 to  1.41)","0.91 (0.69 to  1.21)","0.39 (0.03 to  5.56)","1.06 (0.76 to  1.49)","0.49 (0.18 to  1.31)","0.83 (0.53 to  1.29)","1.07 (0.45 to  2.52)","0.72 (0.22 to  2.35)","zaleplon","1.16 (0.79 to  1.70)","."
"0.79 (0.58 to  1.07)","0.77 (0.57 to  1.03)","0.98 (0.75 to  1.28)","0.92 (0.61 to  1.38)","0.85 (0.53 to  1.38)","0.58 (0.24 to  1.40)","0.78 (0.57 to  1.07)","0.81 (0.55 to  1.21)","0.95 (0.65 to  1.37)","0.94 (0.78 to  1.14)","0.40 (0.03 to  5.69)","1.10 (0.85 to  1.42)","0.50 (0.19 to  1.31)","0.86 (0.58 to  1.27)","1.10 (0.49 to  2.50)","0.74 (0.23 to  2.37)","1.03 (0.77 to  1.38)","zolpidem","0.73 (0.44 to  1.19)"
"0.82 (0.59 to  1.14)","0.79 (0.60 to  1.05)","1.02 (0.78 to  1.31)","0.95 (0.61 to  1.47)","0.88 (0.53 to  1.45)","0.60 (0.24 to  1.48)","0.81 (0.60 to  1.09)","0.84 (0.54 to  1.30)","0.98 (0.66 to  1.46)","0.98 (0.77 to  1.24)","0.42 (0.03 to  5.91)","1.13 (0.84 to  1.53)","0.52 (0.19 to  1.39)","0.89 (0.58 to  1.35)","1.14 (0.49 to  2.67)","0.77 (0.24 to  2.48)","1.07 (0.75 to  1.53)","1.04 (0.79 to  1.36)","zopiclone"
