"BZD-intermediate","1.01 (0.54 to  1.91)","0.61 (0.46 to  0.81)",".",".",".",".",".",".",".","0.88 (0.63 to  1.21)",".",".",".",".","1.45 (0.27 to  7.86)","1.24 (0.34 to  4.62)",".","0.71 (0.38 to  1.31)","0.99 (0.28 to  3.55)"
"0.90 (0.67 to  1.21)","BZD-long","0.79 (0.58 to  1.06)",".",".",".",".",".",".",".","0.74 (0.54 to  1.02)",".",".",".",".",".",".",".",".","0.83 (0.55 to  1.26)"
"0.67 (0.53 to  0.84)","0.74 (0.58 to  0.96)","BZD-short",".",".",".",".",".",".",".","1.03 (0.78 to  1.36)",".",".",".",".",".",".","0.22 (0.01 to  4.32)","1.89 (0.95 to  3.75)","1.11 (0.75 to  1.64)"
"0.59 (0.34 to  1.00)","0.65 (0.38 to  1.13)","0.88 (0.52 to  1.48)","daridorexant",".",".",".",".",".",".","1.32 (0.81 to  2.15)",".",".",".",".",".",".",".","0.49 (0.07 to  3.58)","."
"0.48 (0.16 to  1.39)","0.53 (0.18 to  1.56)","0.71 (0.25 to  2.07)","0.81 (0.26 to  2.57)","diphenydramine",".",".",".",".",".","1.55 (0.54 to  4.40)",".",".",".",".",".",".",".",".","."
"0.82 (0.49 to  1.37)","0.91 (0.54 to  1.54)","1.23 (0.75 to  2.03)","1.40 (0.72 to  2.71)","1.72 (0.55 to  5.38)","doxepin",".",".",".",".","0.86 (0.53 to  1.38)",".","1.22 (0.50 to  3.01)",".",".",".",".",".",".","."
"1.32 (0.52 to  3.31)","1.46 (0.58 to  3.71)","1.97 (0.79 to  4.93)","2.24 (0.81 to  6.20)","2.76 (0.70 to 10.93)","1.60 (0.59 to  4.37)","doxylamine",".",".",".","0.54 (0.20 to  1.46)",".",".",".",".",".",".",".","0.65 (0.24 to  1.78)","."
"0.89 (0.62 to  1.28)","0.99 (0.69 to  1.43)","1.34 (0.95 to  1.87)","1.52 (0.87 to  2.66)","1.87 (0.63 to  5.52)","1.09 (0.64 to  1.85)","0.68 (0.27 to  1.74)","eszopiclone",".",".","0.82 (0.59 to  1.13)",".",".",".",".",".",".",".",".","0.86 (0.52 to  1.42)"
"1.02 (0.65 to  1.61)","1.14 (0.71 to  1.82)","1.53 (0.98 to  2.39)","1.74 (0.94 to  3.24)","2.14 (0.70 to  6.54)","1.24 (0.68 to  2.27)","0.78 (0.29 to  2.06)","1.14 (0.70 to  1.86)","lemborexant",".","0.83 (0.54 to  1.27)",".",".",".",".",".",".",".","0.47 (0.23 to  0.97)","."
"0.80 (0.46 to  1.40)","0.89 (0.51 to  1.57)","1.20 (0.70 to  2.07)","1.37 (0.68 to  2.74)","1.68 (0.53 to  5.36)","0.98 (0.50 to  1.92)","0.61 (0.22 to  1.71)","0.90 (0.51 to  1.60)","0.79 (0.42 to  1.49)","melatonin","0.92 (0.56 to  1.52)",".",".",".",".",".",".",".",".","."
"0.74 (0.58 to  0.93)","0.82 (0.63 to  1.06)","1.11 (0.89 to  1.37)","1.26 (0.78 to  2.04)","1.55 (0.54 to  4.40)","0.90 (0.57 to  1.41)","0.56 (0.23 to  1.38)","0.83 (0.62 to  1.10)","0.72 (0.49 to  1.07)","0.92 (0.56 to  1.52)","placebo","2.33 (0.17 to 32.80)","0.85 (0.70 to  1.03)","2.60 (0.83 to  8.11)","1.18 (0.73 to  1.90)","0.65 (0.23 to  1.81)","1.07 (0.28 to  4.10)","1.06 (0.73 to  1.53)","1.12 (0.91 to  1.36)","1.05 (0.69 to  1.59)"
"1.72 (0.12 to 24.46)","1.92 (0.13 to 27.28)","2.58 (0.18 to 36.55)","2.94 (0.20 to 43.13)","3.61 (0.21 to 61.92)","2.10 (0.14 to 30.61)","1.31 (0.08 to 21.35)","1.93 (0.14 to 27.53)","1.69 (0.12 to 24.43)","2.14 (0.15 to 31.59)","2.33 (0.17 to 32.80)","quetiapine",".",".",".",".",".",".",".","."
"0.64 (0.47 to  0.87)","0.71 (0.51 to  0.98)","0.96 (0.72 to  1.27)","1.09 (0.65 to  1.83)","1.34 (0.46 to  3.87)","0.78 (0.48 to  1.25)","0.49 (0.19 to  1.22)","0.72 (0.51 to  1.01)","0.63 (0.40 to  0.97)","0.79 (0.46 to  1.36)","0.87 (0.71 to  1.05)","0.37 (0.03 to  5.25)","ramelteon",".",".",".",".",".",".","."
"1.71 (0.61 to  4.78)","1.90 (0.67 to  5.35)","2.55 (0.92 to  7.12)","2.91 (0.96 to  8.87)","3.58 (0.84 to 15.25)","2.08 (0.69 to  6.26)","1.30 (0.34 to  4.97)","1.91 (0.67 to  5.43)","1.67 (0.57 to  4.91)","2.12 (0.69 to  6.53)","2.31 (0.85 to  6.32)","0.99 (0.06 to 16.75)","2.67 (0.96 to  7.44)","seltorexant",".",".",".",".","0.58 (0.16 to  2.06)","."
"0.87 (0.51 to  1.48)","0.97 (0.56 to  1.67)","1.30 (0.78 to  2.19)","1.49 (0.76 to  2.92)","1.83 (0.58 to  5.75)","1.06 (0.55 to  2.04)","0.66 (0.24 to  1.83)","0.98 (0.56 to  1.70)","0.85 (0.46 to  1.58)","1.08 (0.54 to  2.16)","1.18 (0.73 to  1.90)","0.51 (0.03 to  7.42)","1.36 (0.82 to  2.28)","0.51 (0.17 to  1.55)","suvorexant",".",".",".",".","."
"0.81 (0.37 to  1.74)","0.90 (0.41 to  1.98)","1.21 (0.56 to  2.62)","1.38 (0.57 to  3.36)","1.69 (0.47 to  6.13)","0.98 (0.41 to  2.36)","0.61 (0.19 to  1.97)","0.90 (0.41 to  2.02)","0.79 (0.34 to  1.84)","1.01 (0.41 to  2.48)","1.09 (0.52 to  2.32)","0.47 (0.03 to  7.32)","1.27 (0.58 to  2.75)","0.47 (0.14 to  1.65)","0.93 (0.38 to  2.26)","trazodone",".",".","0.92 (0.37 to  2.31)","."
"1.00 (0.31 to  3.19)","1.11 (0.34 to  3.63)","1.50 (0.47 to  4.83)","1.71 (0.49 to  6.00)","2.10 (0.44 to 10.00)","1.22 (0.35 to  4.23)","0.76 (0.18 to  3.30)","1.12 (0.34 to  3.70)","0.98 (0.29 to  3.34)","1.25 (0.35 to  4.41)","1.36 (0.43 to  4.33)","0.58 (0.03 to 10.43)","1.57 (0.48 to  5.09)","0.59 (0.13 to  2.72)","1.15 (0.33 to  4.03)","1.24 (0.31 to  4.91)","trimipramine",".",".","."
"0.79 (0.54 to  1.17)","0.88 (0.59 to  1.32)","1.19 (0.82 to  1.72)","1.36 (0.77 to  2.40)","1.67 (0.56 to  4.95)","0.97 (0.56 to  1.67)","0.60 (0.24 to  1.55)","0.89 (0.59 to  1.35)","0.78 (0.47 to  1.28)","0.99 (0.55 to  1.78)","1.08 (0.79 to  1.47)","0.46 (0.03 to  6.60)","1.24 (0.86 to  1.79)","0.47 (0.16 to  1.33)","0.91 (0.52 to  1.61)","0.98 (0.44 to  2.20)","0.79 (0.24 to  2.63)","zaleplon","1.08 (0.70 to  1.67)","."
"0.83 (0.63 to  1.09)","0.93 (0.69 to  1.25)","1.25 (0.97 to  1.61)","1.42 (0.85 to  2.36)","1.75 (0.61 to  5.04)","1.01 (0.62 to  1.65)","0.63 (0.26 to  1.55)","0.93 (0.67 to  1.29)","0.82 (0.54 to  1.24)","1.04 (0.61 to  1.76)","1.13 (0.95 to  1.35)","0.48 (0.03 to  6.84)","1.30 (1.00 to  1.70)","0.49 (0.18 to  1.34)","0.96 (0.58 to  1.59)","1.03 (0.49 to  2.18)","0.83 (0.26 to  2.68)","1.05 (0.76 to  1.45)","zolpidem","0.73 (0.43 to  1.23)"
"0.74 (0.54 to  1.01)","0.82 (0.61 to  1.11)","1.11 (0.85 to  1.45)","1.26 (0.73 to  2.17)","1.55 (0.53 to  4.54)","0.90 (0.54 to  1.51)","0.56 (0.22 to  1.42)","0.83 (0.60 to  1.15)","0.72 (0.46 to  1.15)","0.92 (0.53 to  1.61)","1.00 (0.78 to  1.29)","0.43 (0.03 to  6.11)","1.16 (0.84 to  1.59)","0.43 (0.15 to  1.22)","0.85 (0.50 to  1.45)","0.92 (0.42 to  2.01)","0.74 (0.23 to  2.41)","0.93 (0.63 to  1.38)","0.89 (0.67 to  1.17)","zopiclone"
