"brotizolam",".",".",".","0.61 (0.20 to  1.93)",".",".",".",".",".",".",".",".",".","0.97 (0.22 to  4.23)",".",".",".",".",".",".",".",".",".",".",".","."
"0.71 (0.26 to  1.96)","daridorexant",".",".",".",".",".",".",".",".",".",".",".",".","0.99 (0.68 to  1.43)",".",".",".",".",".",".",".",".",".",".","0.24 (0.02 to  2.72)","."
"0.76 (0.27 to  2.18)","1.08 (0.61 to  1.92)","doxepin",".",".",".",".",".",".",".",".",".",".",".","0.86 (0.54 to  1.37)",".",".","1.22 (0.51 to  2.95)",".",".",".",".",".",".",".",".","."
"1.12 (0.31 to  4.10)","1.58 (0.61 to  4.12)","1.47 (0.55 to  3.94)","doxylamine",".",".",".",".",".",".",".",".",".",".","0.54 (0.21 to  1.44)",".",".",".",".",".",".",".",".",".",".","0.65 (0.24 to  1.75)","."
"0.75 (0.30 to  1.90)","1.07 (0.59 to  1.94)","0.99 (0.52 to  1.89)","0.67 (0.25 to  1.83)","estazolam",".",".","1.14 (0.47 to  2.75)",".",".",".",".",".",".","0.80 (0.48 to  1.34)",".",".",".",".",".",".",".",".",".",".",".","2.03 (0.18 to 22.82)"
"0.83 (0.31 to  2.22)","1.17 (0.74 to  1.84)","1.08 (0.65 to  1.82)","0.74 (0.29 to  1.85)","1.10 (0.64 to  1.88)","eszopiclone",".",".",".",".",".",".",".",".","0.81 (0.60 to  1.10)",".",".",".",".",".",".",".",".",".",".",".","0.84 (0.53 to  1.34)"
"0.85 (0.31 to  2.30)","1.20 (0.74 to  1.93)","1.11 (0.65 to  1.90)","0.76 (0.30 to  1.92)","1.12 (0.64 to  1.96)","1.02 (0.69 to  1.51)","flunitrazepam",".",".",".",".",".",".",".","0.84 (0.58 to  1.22)",".",".",".",".",".",".",".","0.72 (0.52 to  0.99)",".",".",".","0.84 (0.56 to  1.28)"
"0.64 (0.22 to  1.82)","0.90 (0.48 to  1.69)","0.83 (0.42 to  1.64)","0.57 (0.20 to  1.57)","0.84 (0.45 to  1.57)","0.77 (0.43 to  1.36)","0.75 (0.42 to  1.34)","flurazepam",".",".",".",".","1.28 (0.23 to  7.05)",".","0.96 (0.45 to  2.04)","0.32 (0.01 to  7.85)",".",".",".",".",".",".","1.22 (0.58 to  2.57)",".",".",".","."
"0.80 (0.29 to  2.21)","1.13 (0.67 to  1.90)","1.04 (0.59 to  1.86)","0.71 (0.27 to  1.85)","1.06 (0.58 to  1.92)","0.96 (0.61 to  1.52)","0.94 (0.58 to  1.52)","1.25 (0.66 to  2.37)","lemborexant",".",".",".",".",".","0.96 (0.65 to  1.44)",".",".",".",".",".",".",".",".",".",".","0.47 (0.24 to  0.95)","."
"0.86 (0.28 to  2.68)","1.22 (0.59 to  2.50)","1.13 (0.52 to  2.42)","0.77 (0.26 to  2.26)","1.14 (0.52 to  2.49)","1.04 (0.53 to  2.04)","1.02 (0.51 to  2.03)","1.35 (0.60 to  3.04)","1.08 (0.52 to  2.23)","loprazolam",".",".",".","1.43 (0.55 to  3.73)","0.71 (0.38 to  1.34)",".",".",".",".",".",".",".",".",".",".",".","."
"1.18 (0.29 to  4.86)","1.67 (0.55 to  5.06)","1.55 (0.50 to  4.82)","1.06 (0.27 to  4.15)","1.57 (0.50 to  4.93)","1.43 (0.49 to  4.20)","1.40 (0.47 to  4.15)","1.87 (0.58 to  5.97)","1.49 (0.49 to  4.50)","1.38 (0.41 to  4.57)","lormetazepam",".",".","0.11 (0.01 to  0.89)","1.14 (0.35 to  3.71)",".",".",".",".",".",".",".",".","1.24 (0.34 to  4.56)",".",".","."
"0.68 (0.25 to  1.87)","0.97 (0.59 to  1.57)","0.90 (0.52 to  1.55)","0.61 (0.24 to  1.56)","0.91 (0.51 to  1.60)","0.83 (0.55 to  1.25)","0.81 (0.52 to  1.26)","1.08 (0.59 to  1.98)","0.86 (0.53 to  1.40)","0.80 (0.39 to  1.60)","0.58 (0.19 to  1.72)","melatonin",".",".","1.00 (0.73 to  1.38)",".",".",".",".",".",".",".",".",".",".",".","."
"0.50 (0.16 to  1.54)","0.71 (0.35 to  1.43)","0.66 (0.31 to  1.39)","0.45 (0.16 to  1.30)","0.67 (0.31 to  1.42)","0.61 (0.32 to  1.15)","0.59 (0.31 to  1.14)","0.79 (0.37 to  1.68)","0.63 (0.31 to  1.27)","0.58 (0.25 to  1.38)","0.42 (0.13 to  1.41)","0.74 (0.37 to  1.45)","midazolam",".","1.00 (0.13 to  7.67)",".",".",".",".",".","1.07 (0.51 to  2.27)",".",".",".",".",".","2.54 (1.05 to  6.13)"
"1.09 (0.35 to  3.38)","1.55 (0.76 to  3.13)","1.43 (0.68 to  3.03)","0.98 (0.34 to  2.84)","1.45 (0.67 to  3.11)","1.32 (0.69 to  2.54)","1.29 (0.66 to  2.52)","1.72 (0.78 to  3.79)","1.37 (0.68 to  2.79)","1.27 (0.59 to  2.76)","0.92 (0.30 to  2.86)","1.60 (0.81 to  3.17)","2.17 (0.94 to  5.04)","nitrazepam","0.39 (0.18 to  0.84)",".",".",".",".",".",".",".","1.00 (0.06 to 16.76)",".",".",".","0.76 (0.27 to  2.15)"
"0.69 (0.27 to  1.78)","0.97 (0.67 to  1.40)","0.90 (0.58 to  1.40)","0.61 (0.25 to  1.48)","0.91 (0.57 to  1.46)","0.83 (0.64 to  1.08)","0.81 (0.60 to  1.11)","1.08 (0.65 to  1.81)","0.86 (0.59 to  1.25)","0.80 (0.43 to  1.49)","0.58 (0.20 to  1.65)","1.00 (0.73 to  1.38)","1.37 (0.75 to  2.49)","0.63 (0.34 to  1.15)","placebo","1.00 (0.13 to  7.60)","2.33 (0.17 to 32.58)","0.85 (0.71 to  1.02)","2.27 (0.76 to  6.78)","1.10 (0.78 to  1.56)","1.01 (0.52 to  1.96)","0.65 (0.24 to  1.78)","0.97 (0.74 to  1.27)","1.07 (0.28 to  4.04)","0.97 (0.69 to  1.35)","0.89 (0.72 to  1.11)","1.04 (0.71 to  1.54)"
"0.80 (0.15 to  4.29)","1.13 (0.27 to  4.75)","1.05 (0.25 to  4.50)","0.72 (0.14 to  3.70)","1.06 (0.25 to  4.55)","0.97 (0.24 to  3.96)","0.95 (0.23 to  3.88)","1.26 (0.30 to  5.32)","1.01 (0.24 to  4.22)","0.93 (0.20 to  4.25)","0.68 (0.12 to  3.83)","1.17 (0.28 to  4.86)","1.60 (0.36 to  7.16)","0.73 (0.16 to  3.32)","1.17 (0.29 to  4.66)","quazepam",".",".",".",".",".",".","0.32 (0.03 to  3.28)",".",".",".","."
"1.60 (0.10 to 26.44)","2.27 (0.16 to 32.46)","2.10 (0.14 to 30.45)","1.43 (0.09 to 23.08)","2.12 (0.15 to 30.92)","1.94 (0.14 to 27.43)","1.90 (0.13 to 26.95)","2.52 (0.17 to 37.06)","2.01 (0.14 to 28.85)","1.86 (0.12 to 27.99)","1.35 (0.08 to 23.06)","2.34 (0.16 to 33.37)","3.19 (0.21 to 47.61)","1.47 (0.10 to 21.92)","2.33 (0.17 to 32.58)","2.00 (0.10 to 39.25)","quetiapine",".",".",".",".",".",".",".",".",".","."
"0.59 (0.22 to  1.56)","0.84 (0.56 to  1.26)","0.78 (0.49 to  1.24)","0.53 (0.21 to  1.30)","0.78 (0.47 to  1.30)","0.72 (0.52 to  0.99)","0.70 (0.49 to  1.00)","0.93 (0.54 to  1.61)","0.74 (0.49 to  1.12)","0.69 (0.36 to  1.32)","0.50 (0.17 to  1.44)","0.86 (0.60 to  1.25)","1.18 (0.63 to  2.20)","0.54 (0.29 to  1.02)","0.86 (0.72 to  1.03)","0.74 (0.18 to  2.98)","0.37 (0.03 to  5.19)","ramelteon",".",".",".",".",".",".",".",".","."
"1.29 (0.33 to  4.98)","1.82 (0.65 to  5.08)","1.69 (0.59 to  4.86)","1.15 (0.31 to  4.22)","1.71 (0.59 to  4.97)","1.56 (0.58 to  4.21)","1.53 (0.56 to  4.17)","2.03 (0.69 to  6.02)","1.62 (0.58 to  4.51)","1.50 (0.48 to  4.70)","1.09 (0.26 to  4.49)","1.89 (0.69 to  5.18)","2.57 (0.83 to  7.91)","1.18 (0.38 to  3.66)","1.88 (0.72 to  4.89)","1.61 (0.30 to  8.65)","0.80 (0.05 to 13.30)","2.18 (0.82 to  5.78)","seltorexant",".",".",".",".",".",".","0.66 (0.19 to  2.26)","."
