"brotizolam",".",".",".",".","0.61 (0.19 to  1.96)",".",".",".",".",".",".",".",".",".","0.97 (0.22 to  4.28)",".",".",".",".",".",".",".",".",".",".",".","."
"0.54 (0.19 to  1.59)","daridorexant",".",".",".",".",".",".",".",".",".",".",".",".",".","1.32 (0.81 to  2.15)",".",".",".",".",".",".",".",".",".",".","0.49 (0.07 to  3.57)","."
"0.44 (0.11 to  1.83)","0.81 (0.26 to  2.56)","diphenydramine",".",".",".",".",".",".",".",".",".",".",".",".","1.55 (0.55 to  4.39)",".",".",".",".",".",".",".",".",".",".",".","."
"0.76 (0.26 to  2.21)","1.40 (0.73 to  2.71)","1.72 (0.55 to  5.37)","doxepin",".",".",".",".",".",".",".",".",".",".",".","0.86 (0.53 to  1.38)",".",".","1.22 (0.50 to  3.00)",".",".",".",".",".",".",".",".","."
"1.22 (0.33 to  4.54)","2.24 (0.81 to  6.18)","2.75 (0.70 to 10.88)","1.60 (0.59 to  4.36)","doxylamine",".",".",".",".",".",".",".",".",".",".","0.54 (0.20 to  1.46)",".",".",".",".",".",".",".",".",".",".","0.65 (0.24 to  1.78)","."
"0.76 (0.30 to  1.92)","1.39 (0.71 to  2.72)","1.71 (0.54 to  5.36)","0.99 (0.51 to  1.91)","0.62 (0.23 to  1.70)","estazolam",".",".","1.14 (0.46 to  2.80)",".",".",".",".",".",".","0.80 (0.47 to  1.35)",".",".",".",".",".",".",".",".",".",".","0.90 (0.05 to 15.58)","2.03 (0.18 to 22.96)"
"0.83 (0.31 to  2.26)","1.52 (0.88 to  2.66)","1.87 (0.64 to  5.51)","1.09 (0.64 to  1.85)","0.68 (0.27 to  1.74)","1.10 (0.63 to  1.90)","eszopiclone",".",".",".",".",".",".",".",".","0.82 (0.59 to  1.12)",".",".",".",".",".",".",".",".",".",".",".","0.86 (0.52 to  1.42)"
"0.84 (0.31 to  2.31)","1.54 (0.87 to  2.74)","1.89 (0.64 to  5.63)","1.10 (0.63 to  1.91)","0.69 (0.27 to  1.77)","1.11 (0.63 to  1.95)","1.01 (0.67 to  1.52)","flunitrazepam",".",".",".",".",".",".",".","0.84 (0.57 to  1.25)",".",".",".",".",".",".",".","0.72 (0.51 to  1.00)",".",".",".","0.85 (0.54 to  1.32)"
"0.63 (0.22 to  1.82)","1.15 (0.57 to  2.34)","1.41 (0.44 to  4.54)","0.82 (0.41 to  1.64)","0.51 (0.18 to  1.45)","0.83 (0.44 to  1.56)","0.76 (0.42 to  1.36)","0.75 (0.42 to  1.35)","flurazepam",".",".",".",".","1.28 (0.23 to  7.11)",".","0.96 (0.44 to  2.06)","0.32 (0.01 to  7.89)",".",".",".",".",".",".","1.22 (0.57 to  2.59)",".",".",".","."
"0.95 (0.34 to  2.68)","1.74 (0.94 to  3.23)","2.14 (0.70 to  6.51)","1.24 (0.68 to  2.26)","0.78 (0.29 to  2.06)","1.25 (0.68 to  2.32)","1.14 (0.70 to  1.85)","1.13 (0.68 to  1.87)","1.51 (0.79 to  2.90)","lemborexant",".",".",".",".",".","0.83 (0.54 to  1.27)",".",".",".",".",".",".",".",".",".",".","0.47 (0.23 to  0.97)","."
"1.10 (0.40 to  3.03)","2.01 (1.12 to  3.62)","2.47 (0.83 to  7.40)","1.44 (0.82 to  2.53)","0.90 (0.35 to  2.34)","1.45 (0.82 to  2.58)","1.32 (0.86 to  2.03)","1.31 (0.86 to  1.98)","1.75 (0.97 to  3.16)","1.16 (0.69 to  1.94)","loprazolam",".",".",".","1.43 (0.54 to  3.79)","0.82 (0.45 to  1.48)",".",".",".",".",".","1.29 (0.33 to  5.09)",".","0.50 (0.36 to  0.71)",".",".",".","."
"0.95 (0.25 to  3.59)","1.75 (0.62 to  4.91)","2.14 (0.53 to  8.60)","1.24 (0.45 to  3.46)","0.78 (0.22 to  2.80)","1.26 (0.45 to  3.53)","1.14 (0.44 to  2.98)","1.13 (0.43 to  2.99)","1.52 (0.53 to  4.35)","1.00 (0.37 to  2.72)","0.87 (0.33 to  2.29)","lormetazepam",".",".","0.11 (0.01 to  0.90)","1.14 (0.34 to  3.74)",".",".",".",".",".",".","1.45 (0.27 to  7.85)",".","1.24 (0.34 to  4.61)",".",".","."
"0.75 (0.25 to  2.21)","1.37 (0.69 to  2.74)","1.68 (0.53 to  5.35)","0.98 (0.50 to  1.92)","0.61 (0.22 to  1.71)","0.99 (0.50 to  1.97)","0.90 (0.51 to  1.59)","0.89 (0.49 to  1.61)","1.19 (0.58 to  2.45)","0.79 (0.42 to  1.49)","0.68 (0.37 to  1.24)","0.79 (0.28 to  2.23)","melatonin",".",".","0.92 (0.56 to  1.51)",".",".",".",".",".",".",".",".",".",".",".","."
"0.53 (0.17 to  1.63)","0.97 (0.45 to  2.09)","1.19 (0.36 to  3.97)","0.69 (0.32 to  1.47)","0.43 (0.15 to  1.27)","0.70 (0.33 to  1.49)","0.63 (0.33 to  1.22)","0.63 (0.32 to  1.22)","0.84 (0.39 to  1.79)","0.56 (0.27 to  1.14)","0.48 (0.24 to  0.94)","0.55 (0.18 to  1.66)","0.70 (0.32 to  1.55)","midazolam",".","1.00 (0.13 to  7.72)",".",".",".",".",".","1.07 (0.50 to  2.32)",".",".",".",".",".","2.54 (1.03 to  6.23)"
"1.13 (0.36 to  3.50)","2.07 (0.96 to  4.46)","2.54 (0.76 to  8.47)","1.47 (0.69 to  3.13)","0.92 (0.31 to  2.71)","1.49 (0.69 to  3.20)","1.36 (0.70 to  2.61)","1.34 (0.69 to  2.61)","1.79 (0.82 to  3.95)","1.19 (0.58 to  2.44)","1.03 (0.54 to  1.97)","1.18 (0.42 to  3.33)","1.51 (0.69 to  3.30)","2.14 (0.92 to  4.96)","nitrazepam","0.39 (0.18 to  0.85)",".",".",".",".",".",".",".","1.00 (0.06 to 16.85)",".",".",".","0.76 (0.27 to  2.17)"
"0.69 (0.26 to  1.79)","1.26 (0.78 to  2.03)","1.55 (0.55 to  4.39)","0.90 (0.57 to  1.41)","0.56 (0.23 to  1.38)","0.91 (0.57 to  1.46)","0.83 (0.62 to  1.09)","0.82 (0.59 to  1.13)","1.09 (0.65 to  1.84)","0.72 (0.49 to  1.07)","0.63 (0.45 to  0.88)","0.72 (0.29 to  1.81)","0.92 (0.56 to  1.51)","1.30 (0.71 to  2.39)","0.61 (0.33 to  1.12)","placebo","1.00 (0.13 to  7.66)","2.33 (0.17 to 32.77)","0.85 (0.70 to  1.03)","2.60 (0.83 to  8.10)","1.18 (0.74 to  1.89)","0.94 (0.50 to  1.75)","0.65 (0.23 to  1.81)","0.97 (0.73 to  1.28)","1.07 (0.28 to  4.09)","1.06 (0.73 to  1.53)","1.12 (0.92 to  1.37)","1.05 (0.69 to  1.58)"
"0.79 (0.15 to  4.26)","1.45 (0.33 to  6.30)","1.78 (0.31 to 10.11)","1.03 (0.24 to  4.45)","0.65 (0.12 to  3.38)","1.05 (0.24 to  4.50)","0.95 (0.23 to  3.92)","0.94 (0.23 to  3.88)","1.26 (0.30 to  5.33)","0.83 (0.20 to  3.53)","0.72 (0.17 to  2.97)","0.83 (0.16 to  4.38)","1.06 (0.24 to  4.63)","1.50 (0.33 to  6.78)","0.70 (0.16 to  3.18)","1.15 (0.29 to  4.61)","quazepam",".",".",".",".",".",".","0.32 (0.03 to  3.30)",".",".",".","."
"1.60 (0.10 to 26.65)","2.94 (0.20 to 43.11)","3.61 (0.21 to 61.84)","2.10 (0.14 to 30.59)","1.31 (0.08 to 21.36)","2.12 (0.14 to 31.03)","1.93 (0.14 to 27.49)","1.91 (0.13 to 27.35)","2.55 (0.17 to 37.73)","1.69 (0.12 to 24.45)","1.46 (0.10 to 20.96)","1.68 (0.10 to 27.61)","2.14 (0.15 to 31.56)","3.04 (0.20 to 45.79)","1.42 (0.09 to 21.39)","2.33 (0.17 to 32.77)","2.03 (0.10 to 40.09)","quetiapine",".",".",".",".",".",".",".",".",".","."
"0.59 (0.22 to  1.58)","1.09 (0.65 to  1.83)","1.34 (0.46 to  3.86)","0.78 (0.48 to  1.25)","0.49 (0.19 to  1.22)","0.79 (0.47 to  1.31)","0.71 (0.51 to  1.00)","0.71 (0.49 to  1.03)","0.95 (0.54 to  1.65)","0.63 (0.40 to  0.97)","0.54 (0.37 to  0.80)","0.62 (0.24 to  1.59)","0.79 (0.47 to  1.36)","1.13 (0.60 to  2.13)","0.53 (0.28 to  0.99)","0.87 (0.71 to  1.05)","0.75 (0.19 to  3.05)","0.37 (0.03 to  5.24)","ramelteon",".",".",".",".",".",".",".",".","."
"1.59 (0.40 to  6.36)","2.91 (0.96 to  8.84)","3.57 (0.84 to 15.19)","2.07 (0.69 to  6.24)","1.30 (0.34 to  4.96)","2.10 (0.69 to  6.36)","1.91 (0.67 to  5.41)","1.89 (0.66 to  5.41)","2.52 (0.81 to  7.82)","1.67 (0.57 to  4.90)","1.44 (0.50 to  4.16)","1.67 (0.43 to  6.48)","2.12 (0.69 to  6.51)","3.01 (0.93 to  9.70)","1.41 (0.44 to  4.54)","2.31 (0.85 to  6.30)","2.00 (0.36 to 11.12)","0.99 (0.06 to 16.71)","2.67 (0.96 to  7.42)","seltorexant",".",".",".",".",".",".","0.58 (0.16 to  2.06)","."
"0.81 (0.28 to  2.36)","1.49 (0.76 to  2.91)","1.83 (0.58 to  5.74)","1.06 (0.55 to  2.04)","0.66 (0.24 to  1.83)","1.07 (0.55 to  2.09)","0.98 (0.56 to  1.69)","0.97 (0.55 to  1.71)","1.29 (0.64 to  2.61)","0.85 (0.46 to  1.58)","0.74 (0.41 to  1.32)","0.85 (0.30 to  2.39)","1.08 (0.55 to  2.16)","1.54 (0.71 to  3.32)","0.72 (0.33 to  1.55)","1.18 (0.74 to  1.89)","1.02 (0.24 to  4.44)","0.51 (0.03 to  7.41)","1.36 (0.82 to  2.27)","0.51 (0.17 to  1.55)","suvorexant",".",".",".",".",".",".","."
