Separate indirect from direct design evidence (SIDDE)

Fixed effects model: 

                 comparison  k  nma direct indir.  RoR     z p-value
       daridorexant:doxepin  0 0.44      .   0.44    .     .       .
    daridorexant:doxylamine  0 0.86      .   0.86    .     .       .
     daridorexant:estazolam  0 0.60      .   0.60    .     .       .
   daridorexant:eszopiclone  0 0.54      .   0.54    .     .       .
 daridorexant:flunitrazepam  0 0.55      .   0.55    .     .       .
    daridorexant:flurazepam  0 0.33      .   0.33    .     .       .
   daridorexant:lemborexant  0 0.87      .   0.87    .     .       .
    daridorexant:loprazolam  0 0.61      .   0.61    .     .       .
     daridorexant:melatonin  0 0.82      .   0.82    .     .       .
     daridorexant:midazolam  0 0.26      .   0.26    .     .       .
    daridorexant:nitrazepam  0 0.63      .   0.63    .     .       .
       daridorexant:placebo  2 0.59   0.59      .    .     .       .
      daridorexant:quazepam  0 0.28      .   0.28    .     .       .
     daridorexant:ramelteon  0 0.50      .   0.50    .     .       .
   daridorexant:seltorexant  0 0.52      .   0.52    .     .       .
    daridorexant:suvorexant  0 0.91      .   0.91    .     .       .
     daridorexant:temazepam  0 0.39      .   0.39    .     .       .
     daridorexant:trazodone  0 0.29      .   0.29    .     .       .
     daridorexant:triazolam  0 0.40      .   0.40    .     .       .
      daridorexant:zaleplon  0 0.49      .   0.49    .     .       .
      daridorexant:zolpidem  0 0.33      .   0.33    .     .       .
     daridorexant:zopiclone  0 0.30      .   0.30    .     .       .
         doxepin:doxylamine  0 1.98      .   1.98    .     .       .
          doxepin:estazolam  0 1.38      .   1.38    .     .       .
        doxepin:eszopiclone  0 1.24      .   1.24    .     .       .
      doxepin:flunitrazepam  0 1.26      .   1.26    .     .       .
         doxepin:flurazepam  0 0.76      .   0.76    .     .       .
        doxepin:lemborexant  0 2.00      .   2.00    .     .       .
         doxepin:loprazolam  0 1.40      .   1.40    .     .       .
          doxepin:melatonin  0 1.89      .   1.89    .     .       .
          doxepin:midazolam  0 0.59      .   0.59    .     .       .
         doxepin:nitrazepam  0 1.45      .   1.45    .     .       .
            doxepin:placebo  4 1.35   1.42      .    .     .       .
           doxepin:quazepam  0 0.65      .   0.65    .     .       .
          doxepin:ramelteon  1 1.14   1.00   1.17 0.85 -0.15  0.8781
        doxepin:seltorexant  0 1.20      .   1.20    .     .       .
         doxepin:suvorexant  0 2.09      .   2.09    .     .       .
          doxepin:temazepam  0 0.89      .   0.89    .     .       .
          doxepin:trazodone  0 0.67      .   0.67    .     .       .
          doxepin:triazolam  0 0.92      .   0.92    .     .       .
           doxepin:zaleplon  0 1.13      .   1.13    .     .       .
