"BZD-intermediate","0.69 (0.46 to  1.02)","0.97 (0.66 to  1.42)",".",".",".",".",".","1.36 (1.06 to  1.76)",".",".",".",".",".","0.17 (0.05 to  0.64)",".","1.15 (0.61 to  2.19)","1.35 (0.29 to  6.25)"
"0.74 (0.57 to  0.96)","BZD-long","1.08 (0.80 to  1.47)",".",".",".",".",".","1.62 (1.26 to  2.08)",".",".",".",".",".",".",".","1.13 (0.49 to  2.61)","1.24 (0.94 to  1.65)"
"0.85 (0.66 to  1.09)","1.15 (0.90 to  1.46)","BZD-short",".",".",".",".",".","1.22 (0.94 to  1.58)",".",".",".",".",".",".","1.91 (0.81 to  4.53)","1.26 (0.78 to  2.04)","1.15 (0.88 to  1.52)"
"1.11 (0.63 to  1.97)","1.50 (0.85 to  2.65)","1.31 (0.74 to  2.31)","daridorexant",".",".",".",".","1.33 (0.69 to  2.59)",".",".",".",".",".",".",".","0.86 (0.45 to  1.62)","."
"1.44 (1.02 to  2.05)","1.95 (1.38 to  2.76)","1.70 (1.21 to  2.39)","1.30 (0.71 to  2.37)","doxepin",".",".",".","0.92 (0.69 to  1.23)",".","0.79 (0.46 to  1.37)",".",".",".",".",".",".","."
"0.85 (0.65 to  1.12)","1.15 (0.89 to  1.50)","1.01 (0.78 to  1.30)","0.77 (0.44 to  1.34)","0.59 (0.43 to  0.82)","eszopiclone",".",".","1.61 (1.35 to  1.93)",".",".",".",".",".",".",".",".","0.88 (0.57 to  1.35)"
"1.33 (1.00 to  1.77)","1.80 (1.36 to  2.38)","1.57 (1.20 to  2.06)","1.20 (0.68 to  2.10)","0.92 (0.66 to  1.29)","1.56 (1.21 to  2.00)","lemborexant",".","1.04 (0.84 to  1.28)",".",".",".",".",".",".",".","0.75 (0.55 to  1.03)","."
"1.37 (0.95 to  1.96)","1.85 (1.29 to  2.64)","1.61 (1.14 to  2.29)","1.23 (0.67 to  2.25)","0.95 (0.63 to  1.41)","1.60 (1.15 to  2.23)","1.03 (0.73 to  1.45)","melatonin","0.98 (0.73 to  1.31)",".",".",".",".",".",".",".",".","."
"1.34 (1.08 to  1.66)","1.81 (1.47 to  2.23)","1.58 (1.29 to  1.92)","1.20 (0.71 to  2.05)","0.93 (0.70 to  1.22)","1.57 (1.33 to  1.85)","1.00 (0.83 to  1.21)","0.98 (0.73 to  1.31)","placebo",".","0.93 (0.83 to  1.04)","1.92 (1.13 to  3.27)","1.00 (0.80 to  1.26)","0.63 (0.34 to  1.15)","0.93 (0.26 to  3.34)","1.25 (1.01 to  1.55)","0.72 (0.64 to  0.82)","0.90 (0.72 to  1.14)"
"0.82 (0.40 to  1.71)","1.11 (0.54 to  2.28)","0.97 (0.47 to  1.99)","0.74 (0.31 to  1.79)","0.57 (0.27 to  1.22)","0.96 (0.47 to  1.98)","0.62 (0.30 to  1.28)","0.60 (0.28 to  1.29)","0.61 (0.30 to  1.24)","propiomazine",".",".",".",".",".",".",".","1.09 (0.55 to  2.17)"
"1.24 (0.97 to  1.58)","1.67 (1.32 to  2.12)","1.46 (1.16 to  1.83)","1.11 (0.65 to  1.92)","0.86 (0.64 to  1.15)","1.45 (1.19 to  1.77)","0.93 (0.75 to  1.16)","0.91 (0.66 to  1.23)","0.93 (0.83 to  1.04)","1.51 (0.74 to  3.08)","ramelteon",".",".",".",".",".",".","0.69 (0.38 to  1.26)"
"1.99 (1.23 to  3.21)","2.68 (1.66 to  4.33)","2.34 (1.46 to  3.76)","1.79 (0.90 to  3.53)","1.38 (0.82 to  2.30)","2.33 (1.46 to  3.70)","1.49 (0.93 to  2.38)","1.45 (0.86 to  2.44)","1.48 (0.96 to  2.29)","2.42 (1.06 to  5.53)","1.60 (1.03 to  2.51)","seltorexant",".",".",".",".","0.69 (0.40 to  1.18)","."
"1.35 (0.98 to  1.84)","1.82 (1.34 to  2.47)","1.59 (1.17 to  2.14)","1.21 (0.68 to  2.16)","0.93 (0.65 to  1.33)","1.57 (1.19 to  2.09)","1.01 (0.75 to  1.36)","0.98 (0.68 to  1.42)","1.00 (0.80 to  1.26)","1.64 (0.78 to  3.44)","1.09 (0.84 to  1.40)","0.68 (0.42 to  1.10)","suvorexant",".",".",".",".","."
"0.96 (0.53 to  1.72)","1.29 (0.72 to  2.32)","1.13 (0.63 to  2.02)","0.86 (0.40 to  1.84)","0.66 (0.36 to  1.22)","1.12 (0.63 to  1.98)","0.72 (0.40 to  1.28)","0.70 (0.38 to  1.30)","0.72 (0.41 to  1.24)","1.17 (0.48 to  2.84)","0.77 (0.44 to  1.35)","0.48 (0.24 to  0.96)","0.71 (0.39 to  1.29)","trazodone",".",".","0.92 (0.48 to  1.76)","."
