Separate indirect from direct evidence (SIDE) using back-calculation method

Fixed effects model: 

                    comparison  k prop  nma direct indir.  RoR     z p-value
     BZD-intermediate:BZD-long  5 0.42 0.74   0.69   0.78 0.88 -0.46  0.6449
    BZD-intermediate:BZD-short  3 0.42 0.85   0.97   0.77 1.26  0.89  0.3739
 BZD-intermediate:daridorexant  0    0 1.11      .   1.11    .     .       .
      BZD-intermediate:doxepin  0    0 1.44      .   1.44    .     .       .
  BZD-intermediate:eszopiclone  0    0 0.85      .   0.85    .     .       .
  BZD-intermediate:lemborexant  0    0 1.33      .   1.33    .     .       .
    BZD-intermediate:melatonin  0    0 1.37      .   1.37    .     .       .
      BZD-intermediate:placebo 11 0.71 1.34   1.36   1.28 1.07  0.27  0.7908
 BZD-intermediate:propiomazine  0    0 0.82      .   0.82    .     .       .
    BZD-intermediate:ramelteon  0    0 1.24      .   1.24    .     .       .
  BZD-intermediate:seltorexant  0    0 1.99      .   1.99    .     .       .
   BZD-intermediate:suvorexant  0    0 1.35      .   1.35    .     .       .
    BZD-intermediate:trazodone  0    0 0.96      .   0.96    .     .       .
 BZD-intermediate:trimipramine  1 0.74 0.48   0.17   8.36 0.02 -2.99  0.0028
     BZD-intermediate:zaleplon  0    0 1.54      .   1.54    .     .       .
     BZD-intermediate:zolpidem  1 0.14 1.04   1.15   1.02 1.13  0.34  0.7337
    BZD-intermediate:zopiclone  1 0.03 0.90   1.35   0.89 1.53  0.53  0.5936
            BZD-long:BZD-short  4 0.61 1.15   1.08   1.25 0.87 -0.58  0.5653
         BZD-long:daridorexant  0    0 1.50      .   1.50    .     .       .
              BZD-long:doxepin  0    0 1.95      .   1.95    .     .       .
          BZD-long:eszopiclone  0    0 1.15      .   1.15    .     .       .
          BZD-long:lemborexant  0    0 1.80      .   1.80    .     .       .
            BZD-long:melatonin  0    0 1.85      .   1.85    .     .       .
              BZD-long:placebo 10 0.69 1.81   1.62   2.30 0.70 -1.52  0.1274
         BZD-long:propiomazine  0    0 1.11      .   1.11    .     .       .
            BZD-long:ramelteon  0    0 1.67      .   1.67    .     .       .
          BZD-long:seltorexant  0    0 2.68      .   2.68    .     .       .
           BZD-long:suvorexant  0    0 1.82      .   1.82    .     .       .
            BZD-long:trazodone  0    0 1.29      .   1.29    .     .       .
         BZD-long:trimipramine  0    0 0.65      .   0.65    .     .       .
             BZD-long:zaleplon  0    0 2.08      .   2.08    .     .       .
             BZD-long:zolpidem  1 0.07 1.41   1.13   1.43 0.79 -0.53  0.5979
            BZD-long:zopiclone  3 0.61 1.21   1.24   1.16 1.07  0.31  0.7577
        BZD-short:daridorexant  0    0 1.31      .   1.31    .     .       .
             BZD-short:doxepin  0    0 1.70      .   1.70    .     .       .
         BZD-short:eszopiclone  0    0 1.01      .   1.01    .     .       .
         BZD-short:lemborexant  0    0 1.57      .   1.57    .     .       .
           BZD-short:melatonin  0    0 1.61      .   1.61    .     .       .
             BZD-short:placebo  7 0.59 1.58   1.22   2.28 0.54 -3.03  0.0024
        BZD-short:propiomazine  0    0 0.97      .   0.97    .     .       .
           BZD-short:ramelteon  0    0 1.46      .   1.46    .     .       .
         BZD-short:seltorexant  0    0 2.34      .   2.34    .     .       .
          BZD-short:suvorexant  0    0 1.59      .   1.59    .     .       .
           BZD-short:trazodone  0    0 1.13      .   1.13    .     .       .
        BZD-short:trimipramine  0    0 0.57      .   0.57    .     .       .
            BZD-short:zaleplon  1 0.09 1.82   1.91   1.81 1.06  0.12  0.9019
            BZD-short:zolpidem  2 0.20 1.23   1.26   1.22 1.04  0.14  0.8895
           BZD-short:zopiclone  2 0.60 1.06   1.15   0.93 1.24  0.99  0.3235
          daridorexant:doxepin  0    0 1.30      .   1.30    .     .       .
      daridorexant:eszopiclone  0    0 0.77      .   0.77    .     .       .
      daridorexant:lemborexant  0    0 1.20      .   1.20    .     .       .
        daridorexant:melatonin  0    0 1.23      .   1.23    .     .       .
          daridorexant:placebo  1 0.64 1.20   1.33   1.01 1.33  0.50  0.6183
     daridorexant:propiomazine  0    0 0.74      .   0.74    .     .       .
        daridorexant:ramelteon  0    0 1.11      .   1.11    .     .       .
      daridorexant:seltorexant  0    0 1.79      .   1.79    .     .       .
       daridorexant:suvorexant  0    0 1.21      .   1.21    .     .       .
        daridorexant:trazodone  0    0 0.86      .   0.86    .     .       .
     daridorexant:trimipramine  0    0 0.43      .   0.43    .     .       .
         daridorexant:zaleplon  0    0 1.39      .   1.39    .     .       .
         daridorexant:zolpidem  1 0.70 0.94   0.86   1.15 0.74 -0.50  0.6183
        daridorexant:zopiclone  0    0 0.81      .   0.81    .     .       .
           doxepin:eszopiclone  0    0 0.59      .   0.59    .     .       .
           doxepin:lemborexant  0    0 0.92      .   0.92    .     .       .
             doxepin:melatonin  0    0 0.95      .   0.95    .     .       .
               doxepin:placebo  4 0.93 0.93   0.92   0.97 0.95 -0.09  0.9246
          doxepin:propiomazine  0    0 0.57      .   0.57    .     .       .
             doxepin:ramelteon  1 0.29 0.86   0.79   0.89 0.90 -0.33  0.7388
           doxepin:seltorexant  0    0 1.38      .   1.38    .     .       .
            doxepin:suvorexant  0    0 0.93      .   0.93    .     .       .
             doxepin:trazodone  0    0 0.66      .   0.66    .     .       .
          doxepin:trimipramine  0    0 0.33      .   0.33    .     .       .
              doxepin:zaleplon  0    0 1.07      .   1.07    .     .       .
              doxepin:zolpidem  0    0 0.72      .   0.72    .     .       .
             doxepin:zopiclone  0    0 0.62      .   0.62    .     .       .
       eszopiclone:lemborexant  0    0 1.56      .   1.56    .     .       .
         eszopiclone:melatonin  0    0 1.60      .   1.60    .     .       .
           eszopiclone:placebo  5 0.87 1.57   1.61   1.28 1.26  0.92  0.3597
      eszopiclone:propiomazine  0    0 0.96      .   0.96    .     .       .
         eszopiclone:ramelteon  0    0 1.45      .   1.45    .     .       .
       eszopiclone:seltorexant  0    0 2.33      .   2.33    .     .       .
        eszopiclone:suvorexant  0    0 1.57      .   1.57    .     .       .
         eszopiclone:trazodone  0    0 1.12      .   1.12    .     .       .
      eszopiclone:trimipramine  0    0 0.57      .   0.57    .     .       .
          eszopiclone:zaleplon  0    0 1.80      .   1.80    .     .       .
          eszopiclone:zolpidem  0    0 1.22      .   1.22    .     .       .
         eszopiclone:zopiclone  2 0.25 1.05   0.88   1.11 0.79 -0.92  0.3597
         lemborexant:melatonin  0    0 1.03      .   1.03    .     .       .
           lemborexant:placebo  3 0.82 1.00   1.04   0.88 1.18  0.66  0.5075
      lemborexant:propiomazine  0    0 0.62      .   0.62    .     .       .
         lemborexant:ramelteon  0    0 0.93      .   0.93    .     .       .
       lemborexant:seltorexant  0    0 1.49      .   1.49    .     .       .
        lemborexant:suvorexant  0    0 1.01      .   1.01    .     .       .
         lemborexant:trazodone  0    0 0.72      .   0.72    .     .       .
      lemborexant:trimipramine  0    0 0.36      .   0.36    .     .       .
          lemborexant:zaleplon  0    0 1.16      .   1.16    .     .       .
          lemborexant:zolpidem  1 0.42 0.78   0.75   0.80 0.94 -0.30  0.7628
         lemborexant:zopiclone  0    0 0.67      .   0.67    .     .       .
             melatonin:placebo  4 1.00 0.98   0.98      .    .     .       .
        melatonin:propiomazine  0    0 0.60      .   0.60    .     .       .
           melatonin:ramelteon  0    0 0.91      .   0.91    .     .       .
         melatonin:seltorexant  0    0 1.45      .   1.45    .     .       .
          melatonin:suvorexant  0    0 0.98      .   0.98    .     .       .
           melatonin:trazodone  0    0 0.70      .   0.70    .     .       .
        melatonin:trimipramine  0    0 0.35      .   0.35    .     .       .
            melatonin:zaleplon  0    0 1.13      .   1.13    .     .       .
            melatonin:zolpidem  0    0 0.76      .   0.76    .     .       .
           melatonin:zopiclone  0    0 0.65      .   0.65    .     .       .
          propiomazine:placebo  0    0 1.63      .   1.63    .     .       .
             ramelteon:placebo 12 0.98 1.08   1.08   1.19 0.91 -0.23  0.8196
