"BZD-intermediate","0.70 (0.45 to  1.09)","0.97 (0.62 to  1.49)",".",".",".",".",".","1.36 (1.02 to  1.83)",".",".",".",".",".","0.17 (0.05 to  0.67)",".","1.15 (0.55 to  2.41)","1.35 (0.28 to  6.52)"
"0.73 (0.54 to  0.98)","BZD-long","1.09 (0.72 to  1.64)",".",".",".",".",".","1.84 (1.35 to  2.50)",".",".",".",".",".",".",".","1.13 (0.45 to  2.82)","1.21 (0.79 to  1.85)"
"0.84 (0.63 to  1.13)","1.16 (0.86 to  1.56)","BZD-short",".",".",".",".",".","1.33 (0.96 to  1.85)",".",".",".",".",".",".","1.91 (0.75 to  4.88)","1.28 (0.74 to  2.20)","1.11 (0.73 to  1.69)"
"1.13 (0.58 to  2.20)","1.56 (0.80 to  3.04)","1.34 (0.69 to  2.61)","daridorexant",".",".",".",".","1.33 (0.62 to  2.85)",".",".",".",".",".",".",".","0.86 (0.41 to  1.78)","."
"1.47 (0.97 to  2.21)","2.02 (1.33 to  3.05)","1.74 (1.16 to  2.62)","1.29 (0.64 to  2.61)","doxepin",".",".",".","0.92 (0.66 to  1.30)",".","0.79 (0.41 to  1.53)",".",".",".",".",".",".","."
"0.90 (0.65 to  1.25)","1.23 (0.89 to  1.72)","1.07 (0.77 to  1.47)","0.79 (0.41 to  1.53)","0.61 (0.41 to  0.91)","eszopiclone",".",".","1.54 (1.20 to  1.97)",".",".",".",".",".",".",".",".","0.87 (0.53 to  1.45)"
"1.30 (0.89 to  1.90)","1.79 (1.22 to  2.61)","1.54 (1.06 to  2.24)","1.15 (0.58 to  2.26)","0.89 (0.57 to  1.37)","1.45 (1.00 to  2.09)","lemborexant",".","1.09 (0.80 to  1.50)",".",".",".",".",".",".",".","0.75 (0.47 to  1.22)","."
"1.37 (0.88 to  2.12)","1.88 (1.21 to  2.93)","1.62 (1.05 to  2.51)","1.21 (0.59 to  2.48)","0.93 (0.57 to  1.52)","1.52 (0.99 to  2.34)","1.05 (0.66 to  1.68)","melatonin","0.99 (0.69 to  1.43)",".",".",".",".",".",".",".",".","."
"1.36 (1.06 to  1.74)","1.87 (1.45 to  2.40)","1.61 (1.26 to  2.06)","1.20 (0.64 to  2.23)","0.93 (0.67 to  1.29)","1.51 (1.21 to  1.89)","1.05 (0.78 to  1.40)","0.99 (0.69 to  1.43)","placebo",".","0.92 (0.78 to  1.08)","1.92 (1.01 to  3.66)","1.00 (0.71 to  1.42)","0.63 (0.31 to  1.28)","0.93 (0.25 to  3.52)","1.29 (0.98 to  1.69)","0.74 (0.63 to  0.88)","0.81 (0.58 to  1.12)"
"0.78 (0.34 to  1.80)","1.07 (0.47 to  2.45)","0.92 (0.40 to  2.11)","0.69 (0.25 to  1.90)","0.53 (0.22 to  1.27)","0.87 (0.38 to  1.98)","0.60 (0.25 to  1.41)","0.57 (0.23 to  1.38)","0.57 (0.25 to  1.29)","propiomazine",".",".",".",".",".",".",".","1.09 (0.50 to  2.37)"
