"BZD-intermediate","0.69 (0.46 to  1.02)","0.97 (0.66 to  1.42)",".",".",".","5.22 (1.57 to 17.43)",".",".","1.23 (0.47 to  3.25)","1.24 (0.99 to  1.57)",".",".",".",".","0.67 (0.24 to  1.89)","0.17 (0.05 to  0.64)",".","1.15 (0.61 to  2.19)","1.35 (0.29 to  6.25)"
"0.72 (0.56 to  0.93)","BZD-long","1.08 (0.80 to  1.47)",".",".",".",".",".",".",".","1.62 (1.26 to  2.08)",".",".",".",".",".",".",".","1.13 (0.49 to  2.61)","1.24 (0.94 to  1.65)"
"0.83 (0.65 to  1.05)","1.14 (0.90 to  1.45)","BZD-short",".",".",".",".",".",".",".","1.22 (0.94 to  1.58)",".",".",".",".",".",".","1.91 (0.81 to  4.53)","1.26 (0.78 to  2.04)","1.15 (0.88 to  1.52)"
"1.06 (0.80 to  1.40)","1.47 (1.10 to  1.95)","1.28 (0.97 to  1.70)","daridorexant",".",".",".",".",".",".","1.25 (1.02 to  1.54)",".",".",".",".",".",".",".","0.86 (0.45 to  1.62)","."
"0.70 (0.35 to  1.40)","0.96 (0.48 to  1.94)","0.84 (0.42 to  1.70)","0.66 (0.33 to  1.32)","diphenydramine",".",".",".",".",".","1.89 (0.97 to  3.70)",".",".",".",".",".",".",".",".","."
"1.46 (1.04 to  2.06)","2.03 (1.43 to  2.87)","1.77 (1.26 to  2.50)","1.38 (0.98 to  1.95)","2.10 (1.02 to  4.35)","doxepin",".",".",".",".","0.89 (0.67 to  1.20)",".","0.79 (0.46 to  1.37)",".",".",".",".",".",".","."
"0.87 (0.68 to  1.12)","1.20 (0.93 to  1.56)","1.05 (0.82 to  1.35)","0.82 (0.63 to  1.06)","1.25 (0.63 to  2.49)","0.59 (0.43 to  0.82)","eszopiclone",".",".",".","1.61 (1.35 to  1.92)",".",".",".",".",".",".",".",".","0.87 (0.55 to  1.37)"
"0.85 (0.64 to  1.12)","1.17 (0.88 to  1.56)","1.03 (0.78 to  1.35)","0.80 (0.60 to  1.06)","1.22 (0.60 to  2.45)","0.58 (0.41 to  0.82)","0.98 (0.75 to  1.26)","lemborexant",".",".","1.79 (1.43 to  2.23)",".",".",".",".",".",".",".","0.75 (0.55 to  1.03)","."
"1.20 (0.88 to  1.63)","1.65 (1.20 to  2.27)","1.45 (1.06 to  1.97)","1.13 (0.83 to  1.54)","1.72 (0.84 to  3.50)","0.82 (0.56 to  1.18)","1.38 (1.03 to  1.84)","1.41 (1.03 to  1.92)","melatonin",".","1.10 (0.87 to  1.40)",".",".",".",".",".",".",".",".","."
"1.23 (0.47 to  3.25)","1.70 (0.62 to  4.64)","1.49 (0.55 to  4.06)","1.16 (0.42 to  3.19)","1.77 (0.53 to  5.85)","0.84 (0.30 to  2.36)","1.42 (0.52 to  3.87)","1.45 (0.53 to  3.99)","1.03 (0.37 to  2.85)","mirtazapine",".",".",".",".",".",".",".",".",".","."
"1.32 (1.08 to  1.60)","1.82 (1.48 to  2.24)","1.60 (1.31 to  1.94)","1.24 (1.02 to  1.52)","1.89 (0.97 to  3.70)","0.90 (0.68 to  1.19)","1.52 (1.29 to  1.79)","1.55 (1.28 to  1.89)","1.10 (0.87 to  1.40)","1.07 (0.40 to  2.88)","placebo",".","0.93 (0.83 to  1.04)","1.88 (1.03 to  3.45)","1.00 (0.80 to  1.26)","0.63 (0.34 to  1.15)","0.93 (0.26 to  3.34)","1.25 (1.01 to  1.55)","0.71 (0.63 to  0.81)","0.89 (0.70 to  1.12)"
"0.79 (0.38 to  1.64)","1.10 (0.53 to  2.26)","0.96 (0.47 to  1.97)","0.75 (0.36 to  1.56)","1.14 (0.43 to  3.02)","0.54 (0.25 to  1.16)","0.91 (0.44 to  1.88)","0.94 (0.45 to  1.95)","0.66 (0.31 to  1.40)","0.64 (0.19 to  2.17)","0.60 (0.30 to  1.22)","propiomazine",".",".",".",".",".",".",".","1.09 (0.55 to  2.17)"
"1.22 (0.98 to  1.53)","1.69 (1.34 to  2.14)","1.48 (1.18 to  1.86)","1.15 (0.92 to  1.45)","1.76 (0.89 to  3.46)","0.84 (0.62 to  1.12)","1.41 (1.15 to  1.72)","1.44 (1.15 to  1.81)","1.02 (0.78 to  1.33)","0.99 (0.37 to  2.69)","0.93 (0.83 to  1.04)","1.54 (0.75 to  3.15)","ramelteon",".",".",".",".",".",".","0.60 (0.33 to  1.11)"
"2.10 (1.23 to  3.59)","2.91 (1.70 to  4.98)","2.55 (1.49 to  4.34)","1.98 (1.16 to  3.39)","3.02 (1.31 to  6.96)","1.44 (0.81 to  2.55)","2.42 (1.43 to  4.09)","2.48 (1.46 to  4.23)","1.76 (1.01 to  3.06)","1.71 (0.56 to  5.18)","1.60 (0.97 to  2.63)","2.65 (1.12 to  6.29)","1.72 (1.03 to  2.87)","seltorexant",".",".",".",".","0.55 (0.30 to  1.01)","."
"1.32 (0.98 to  1.79)","1.83 (1.35 to  2.49)","1.60 (1.19 to  2.16)","1.25 (0.92 to  1.69)","1.90 (0.94 to  3.86)","0.90 (0.63 to  1.30)","1.52 (1.15 to  2.02)","1.56 (1.16 to  2.11)","1.11 (0.80 to  1.54)","1.07 (0.39 to  2.97)","1.00 (0.80 to  1.26)","1.67 (0.79 to  3.51)","1.08 (0.84 to  1.39)","0.63 (0.36 to  1.09)","suvorexant",".",".",".",".","."
"0.86 (0.52 to  1.42)","1.19 (0.70 to  2.00)","1.04 (0.62 to  1.74)","0.81 (0.48 to  1.37)","1.23 (0.54 to  2.82)","0.59 (0.33 to  1.03)","0.99 (0.59 to  1.65)","1.01 (0.60 to  1.71)","0.72 (0.42 to  1.23)","0.70 (0.23 to  2.08)","0.65 (0.40 to  1.06)","1.08 (0.46 to  2.55)","0.70 (0.43 to  1.16)","0.41 (0.20 to  0.82)","0.65 (0.38 to  1.11)","trazodone",".",".","0.92 (0.48 to  1.76)","."
"0.48 (0.16 to  1.46)","0.66 (0.21 to  2.05)","0.58 (0.19 to  1.79)","0.45 (0.15 to  1.40)","0.69 (0.19 to  2.52)","0.33 (0.10 to  1.03)","0.55 (0.18 to  1.70)","0.57 (0.18 to  1.75)","0.40 (0.13 to  1.25)","0.39 (0.09 to  1.71)","0.36 (0.12 to  1.11)","0.60 (0.16 to  2.26)","0.39 (0.13 to  1.20)","0.23 (0.07 to  0.77)","0.36 (0.12 to  1.13)","0.56 (0.17 to  1.87)","trimipramine",".",".","."
"1.48 (1.14 to  1.92)","2.05 (1.56 to  2.68)","1.79 (1.39 to  2.32)","1.40 (1.07 to  1.82)","2.12 (1.06 to  4.25)","1.01 (0.72 to  1.41)","1.70 (1.34 to  2.17)","1.75 (1.35 to  2.26)","1.24 (0.92 to  1.67)","1.20 (0.44 to  3.29)","1.12 (0.94 to  1.34)","1.87 (0.90 to  3.86)","1.21 (0.98 to  1.49)","0.70 (0.42 to  1.19)","1.12 (0.84 to  1.49)","1.72 (1.03 to  2.88)","3.09 (1.00 to  9.53)","zaleplon","0.78 (0.61 to  0.99)","."
"0.97 (0.78 to  1.20)","1.34 (1.07 to  1.68)","1.17 (0.94 to  1.45)","0.91 (0.73 to  1.14)","1.39 (0.70 to  2.74)","0.66 (0.49 to  0.89)","1.11 (0.91 to  1.36)","1.14 (0.92 to  1.41)","0.81 (0.62 to  1.05)","0.78 (0.29 to  2.12)","0.73 (0.65 to  0.82)","1.22 (0.60 to  2.48)","0.79 (0.67 to  0.93)","0.46 (0.28 to  0.76)","0.73 (0.57 to  0.94)","1.12 (0.69 to  1.83)","2.01 (0.66 to  6.16)","0.65 (0.54 to  0.78)","zolpidem","0.57 (0.39 to  0.84)"
