"brotizolam",".",".","1.35 (0.69 to  2.65)",".",".",".",".",".",".",".",".",".","2.19 (0.83 to  5.83)",".",".",".",".",".",".",".",".",".",".",".","."
"1.66 (0.75 to  3.68)","daridorexant",".",".",".",".",".",".",".",".",".",".",".","1.33 (0.69 to  2.59)",".",".",".",".",".",".",".",".",".",".","0.86 (0.45 to  1.62)","."
"2.15 (1.12 to  4.13)","1.30 (0.71 to  2.36)","doxepin",".",".",".",".",".",".",".",".",".",".","0.92 (0.69 to  1.23)",".",".","0.79 (0.46 to  1.37)",".",".",".",".",".",".",".",".","."
"1.41 (0.81 to  2.48)","0.85 (0.46 to  1.56)","0.66 (0.44 to  0.99)","estazolam",".",".","0.58 (0.36 to  0.94)",".",".",".",".",".",".","1.43 (1.04 to  1.97)",".",".",".",".",".",".",".",".",".",".",".","1.35 (0.29 to  6.25)"
"1.28 (0.69 to  2.36)","0.77 (0.44 to  1.35)","0.60 (0.43 to  0.82)","0.91 (0.65 to  1.27)","eszopiclone",".",".",".",".",".",".",".",".","1.61 (1.35 to  1.93)",".",".",".",".",".",".",".",".",".",".",".","0.88 (0.57 to  1.35)"
"1.31 (0.68 to  2.53)","0.79 (0.43 to  1.44)","0.61 (0.41 to  0.91)","0.93 (0.61 to  1.40)","1.02 (0.74 to  1.42)","flunitrazepam",".",".",".",".",".",".",".","1.04 (0.73 to  1.47)",".",".",".",".",".",".",".","1.07 (0.76 to  1.51)",".",".",".","1.23 (0.92 to  1.64)"
"0.83 (0.42 to  1.62)","0.50 (0.26 to  0.96)","0.38 (0.24 to  0.62)","0.58 (0.39 to  0.88)","0.64 (0.42 to  0.99)","0.63 (0.39 to  1.03)","flurazepam",".",".",".",".","0.82 (0.28 to  2.39)",".","3.17 (2.00 to  5.03)",".",".",".",".",".","2.04 (0.51 to  8.12)",".","0.64 (0.14 to  2.94)",".",".",".","."
"1.99 (1.07 to  3.70)","1.20 (0.68 to  2.10)","0.92 (0.66 to  1.29)","1.41 (0.99 to  2.00)","1.55 (1.21 to  2.00)","1.52 (1.08 to  2.15)","2.41 (1.56 to  3.73)","lemborexant",".",".",".",".",".","1.04 (0.84 to  1.28)",".",".",".",".",".",".",".",".",".",".","0.75 (0.55 to  1.03)","."
"0.99 (0.37 to  2.64)","0.60 (0.23 to  1.54)","0.46 (0.20 to  1.06)","0.70 (0.30 to  1.62)","0.77 (0.35 to  1.72)","0.76 (0.33 to  1.74)","1.20 (0.50 to  2.88)","0.50 (0.22 to  1.11)","loprazolam",".",".",".","1.45 (0.53 to  3.97)","1.86 (0.77 to  4.51)",".",".",".",".",".",".",".",".",".",".",".","."
"2.08 (0.74 to  5.84)","1.25 (0.46 to  3.40)","0.96 (0.39 to  2.36)","1.47 (0.60 to  3.61)","1.62 (0.68 to  3.85)","1.58 (0.65 to  3.88)","2.51 (0.98 to  6.41)","1.04 (0.44 to  2.49)","2.10 (0.68 to  6.44)","lormetazepam",".",".","1.00 (0.24 to  4.24)","0.72 (0.26 to  2.00)",".",".",".",".",".",".",".",".","0.17 (0.05 to  0.64)",".",".","."
"2.04 (1.06 to  3.93)","1.23 (0.67 to  2.25)","0.95 (0.63 to  1.41)","1.44 (0.95 to  2.18)","1.59 (1.14 to  2.22)","1.56 (1.03 to  2.35)","2.47 (1.51 to  4.03)","1.02 (0.73 to  1.45)","2.06 (0.89 to  4.75)","0.98 (0.40 to  2.41)","melatonin",".",".","0.98 (0.73 to  1.31)",".",".",".",".",".",".",".",".",".",".",".","."
"1.32 (0.60 to  2.90)","0.79 (0.37 to  1.69)","0.61 (0.33 to  1.12)","0.93 (0.51 to  1.69)","1.03 (0.59 to  1.80)","1.00 (0.55 to  1.82)","1.59 (0.88 to  2.90)","0.66 (0.37 to  1.17)","1.33 (0.51 to  3.44)","0.63 (0.23 to  1.73)","0.65 (0.35 to  1.19)","midazolam",".",".",".",".",".",".",".","0.96 (0.48 to  1.89)",".",".",".",".",".","0.83 (0.35 to  2.00)"
"1.17 (0.53 to  2.57)","0.70 (0.34 to  1.48)","0.54 (0.30 to  0.98)","0.83 (0.45 to  1.51)","0.91 (0.53 to  1.58)","0.89 (0.50 to  1.61)","1.42 (0.74 to  2.72)","0.59 (0.34 to  1.02)","1.18 (0.53 to  2.65)","0.56 (0.23 to  1.39)","0.57 (0.32 to  1.04)","0.89 (0.42 to  1.87)","nitrazepam","1.71 (0.53 to  5.54)",".",".",".",".",".",".",".","2.19 (0.72 to  6.70)",".",".","1.13 (0.49 to  2.61)","1.77 (0.31 to 10.11)"
