"brotizolam",".",".","1.35 (0.62 to  2.93)",".",".",".",".",".",".",".",".",".","2.19 (0.77 to  6.26)",".",".",".",".",".",".",".",".",".",".",".","."
"1.71 (0.68 to  4.27)","daridorexant",".",".",".",".",".",".",".",".",".",".",".","1.33 (0.62 to  2.87)",".",".",".",".",".",".",".",".",".",".","0.86 (0.41 to  1.80)","."
"2.20 (1.05 to  4.63)","1.29 (0.63 to  2.63)","doxepin",".",".",".",".",".",".",".",".",".",".","0.92 (0.65 to  1.30)",".",".","0.79 (0.41 to  1.54)",".",".",".",".",".",".",".",".","."
"1.41 (0.74 to  2.66)","0.82 (0.40 to  1.70)","0.64 (0.39 to  1.04)","estazolam",".",".","0.58 (0.34 to  1.01)",".",".",".",".",".",".","1.47 (0.99 to  2.18)",".",".",".",".",".",".",".",".",".",".",".","1.35 (0.28 to  6.55)"
"1.36 (0.67 to  2.75)","0.80 (0.41 to  1.56)","0.62 (0.41 to  0.93)","0.97 (0.63 to  1.48)","eszopiclone",".",".",".",".",".",".",".",".","1.54 (1.19 to  1.98)",".",".",".",".",".",".",".",".",".",".",".","0.87 (0.52 to  1.46)"
"1.37 (0.63 to  3.01)","0.80 (0.38 to  1.71)","0.62 (0.36 to  1.07)","0.98 (0.56 to  1.69)","1.01 (0.63 to  1.61)","flunitrazepam",".",".",".",".",".",".",".","1.04 (0.62 to  1.74)",".",".",".",".",".",".",".","1.07 (0.64 to  1.79)",".",".",".","1.18 (0.75 to  1.85)"
"0.84 (0.40 to  1.80)","0.49 (0.23 to  1.07)","0.38 (0.22 to  0.67)","0.60 (0.38 to  0.96)","0.62 (0.38 to  1.02)","0.62 (0.34 to  1.12)","flurazepam",".",".",".",".","0.82 (0.26 to  2.55)",".","3.15 (1.88 to  5.29)",".",".",".",".",".","2.04 (0.49 to  8.55)",".","0.64 (0.13 to  3.08)",".",".",".","."
"1.95 (0.94 to  4.04)","1.14 (0.57 to  2.28)","0.89 (0.57 to  1.38)","1.39 (0.87 to  2.21)","1.43 (0.98 to  2.08)","1.42 (0.85 to  2.37)","2.31 (1.35 to  3.93)","lemborexant",".",".",".",".",".","1.10 (0.80 to  1.52)",".",".",".",".",".",".",".",".",".",".","0.75 (0.46 to  1.23)","."
"1.02 (0.35 to  2.94)","0.59 (0.21 to  1.68)","0.46 (0.19 to  1.13)","0.72 (0.29 to  1.78)","0.75 (0.32 to  1.76)","0.74 (0.29 to  1.87)","1.20 (0.47 to  3.08)","0.52 (0.22 to  1.26)","loprazolam",".",".",".","1.45 (0.50 to  4.26)","1.85 (0.73 to  4.67)",".",".",".",".",".",".",".",".",".",".",".","."
"2.08 (0.69 to  6.28)","1.22 (0.41 to  3.59)","0.94 (0.37 to  2.43)","1.48 (0.57 to  3.83)","1.53 (0.61 to  3.80)","1.52 (0.57 to  4.01)","2.46 (0.92 to  6.60)","1.07 (0.42 to  2.70)","2.04 (0.63 to  6.62)","lormetazepam",".",".","1.00 (0.22 to  4.46)","0.74 (0.26 to  2.13)",".",".",".",".",".",".",".",".","0.17 (0.05 to  0.68)",".",".","."
"2.05 (0.96 to  4.39)","1.20 (0.58 to  2.49)","0.93 (0.57 to  1.53)","1.46 (0.87 to  2.44)","1.51 (0.97 to  2.33)","1.50 (0.85 to  2.62)","2.43 (1.36 to  4.33)","1.05 (0.66 to  1.69)","2.02 (0.81 to  5.00)","0.99 (0.38 to  2.57)","melatonin",".",".","0.99 (0.69 to  1.44)",".",".",".",".",".",".",".",".",".",".",".","."
