"BZD-intermediate","1.77 ( 0.44 to  3.10)","0.30 (-0.30 to  0.91)",".",".",".",".",".","-0.79 (-1.29 to -0.29)",".",".",".","0.08 (-0.56 to  0.73)",".",".","."
"-0.00 (-0.46 to  0.46)","BZD-long","-0.33 (-0.76 to  0.09)",".",".",".",".",".","0.06 (-0.33 to  0.44)",".",".",".",".",".",".","0.29 (-0.96 to  1.54)"
"-0.30 (-0.69 to  0.10)","-0.30 (-0.63 to  0.03)","BZD-short",".",".",".",".",".","0.31 ( 0.02 to  0.60)",".",".",".",".","0.61 ( 0.18 to  1.05)","0.23 (-0.27 to  0.72)","."
"0.11 (-0.29 to  0.50)","0.11 (-0.22 to  0.44)","0.41 ( 0.14 to  0.67)","daridorexant",".",".",".",".","-0.26 (-0.36 to -0.16)",".",".",".",".",".","0.22 (-0.09 to  0.53)","."
"-0.03 (-0.46 to  0.41)","-0.03 (-0.40 to  0.35)","0.27 (-0.05 to  0.59)","-0.14 (-0.36 to  0.09)","doxepin",".",".",".","-0.10 (-0.31 to  0.10)",".",".",".",".",".",".","."
"0.34 (-0.08 to  0.76)","0.34 (-0.01 to  0.70)","0.64 ( 0.34 to  0.94)","0.23 ( 0.03 to  0.43)","0.37 ( 0.10 to  0.63)","eszopiclone",".",".","-0.46 (-0.64 to -0.29)",".",".",".",".",".",".","-0.34 (-0.62 to -0.06)"
"0.49 ( 0.09 to  0.90)","0.49 ( 0.15 to  0.83)","0.79 ( 0.52 to  1.06)","0.38 ( 0.22 to  0.54)","0.52 ( 0.28 to  0.76)","0.15 (-0.06 to  0.37)","lemborexant",".","-0.52 (-0.67 to -0.37)",".",".",".",".",".","-0.50 (-0.65 to -0.35)","."
"0.71 (-0.04 to  1.47)","0.72 ( 0.00 to  1.44)","1.01 ( 0.32 to  1.70)","0.61 (-0.05 to  1.26)","0.74 ( 0.06 to  1.42)","0.37 (-0.30 to  1.04)","0.22 (-0.44 to  0.88)","melatonin","-0.84 (-1.49 to -0.20)",".",".",".",".",".",".","."
"-0.13 (-0.51 to  0.26)","-0.13 (-0.44 to  0.19)","0.17 (-0.08 to  0.41)","-0.24 (-0.33 to -0.14)","-0.10 (-0.31 to  0.10)","-0.47 (-0.64 to -0.30)","-0.62 (-0.75 to -0.49)","-0.84 (-1.49 to -0.20)","placebo","0.32 ( 0.19 to  0.45)","0.29 ( 0.02 to  0.56)","0.26 ( 0.12 to  0.39)","0.30 (-0.35 to  0.95)","0.18 (-0.04 to  0.40)","0.19 ( 0.10 to  0.29)","."
"0.19 (-0.21 to  0.60)","0.19 (-0.15 to  0.53)","0.49 ( 0.21 to  0.77)","0.08 (-0.08 to  0.24)","0.22 (-0.03 to  0.46)","-0.15 (-0.37 to  0.07)","-0.30 (-0.49 to -0.12)","-0.52 (-1.18 to  0.14)","0.32 ( 0.19 to  0.45)","ramelteon",".",".",".",".",".","."
"0.20 (-0.24 to  0.65)","0.21 (-0.18 to  0.59)","0.50 ( 0.17 to  0.83)","0.10 (-0.14 to  0.33)","0.23 (-0.07 to  0.53)","-0.14 (-0.42 to  0.14)","-0.29 (-0.53 to -0.04)","-0.51 (-1.19 to  0.17)","0.33 ( 0.11 to  0.55)","0.01 (-0.24 to  0.27)","seltorexant",".",".",".","-0.17 (-0.44 to  0.10)","."
