Separate indirect from direct evidence (SIDE) using back-calculation method

Fixed effects model: 

                      comparison  k prop   nma direct indir.  Diff     z  p-value
       BZD-intermediate:BZD-long  1 0.12  0.04   1.77  -0.19  1.96  2.70   0.0069
      BZD-intermediate:BZD-short  2 0.43 -0.19   0.45  -0.67  1.13  2.74   0.0062
   BZD-intermediate:daridorexant  0    0  0.10      .   0.10     .     .        .
 BZD-intermediate:diphenydramine  0    0  0.33      .   0.33     .     .        .
        BZD-intermediate:doxepin  0    0 -0.02      .  -0.02     .     .        .
    BZD-intermediate:eszopiclone  0    0  0.35      .   0.35     .     .        .
    BZD-intermediate:lemborexant  0    0  0.47      .   0.47     .     .        .
      BZD-intermediate:melatonin  0    0  0.73      .   0.73     .     .        .
        BZD-intermediate:placebo  2 0.59 -0.12  -0.79   0.87 -1.65 -4.14 < 0.0001
      BZD-intermediate:ramelteon  0    0  0.23      .   0.23     .     .        .
    BZD-intermediate:seltorexant  0    0  0.28      .   0.28     .     .        .
     BZD-intermediate:suvorexant  0    0  0.12      .   0.12     .     .        .
   BZD-intermediate:trimipramine  1 0.83  0.13   0.08   0.38 -0.30 -0.37   0.7137
       BZD-intermediate:zaleplon  0    0  0.17      .   0.17     .     .        .
       BZD-intermediate:zolpidem  0    0  0.10      .   0.10     .     .        .
      BZD-intermediate:zopiclone  0    0  0.03      .   0.03     .     .        .
              BZD-long:BZD-short  3 0.60 -0.23  -0.33  -0.09 -0.24 -0.68   0.4996
           BZD-long:daridorexant  0    0  0.05      .   0.05     .     .        .
         BZD-long:diphenydramine  0    0  0.29      .   0.29     .     .        .
                BZD-long:doxepin  0    0 -0.06      .  -0.06     .     .        .
            BZD-long:eszopiclone  0    0  0.30      .   0.30     .     .        .
            BZD-long:lemborexant  0    0  0.43      .   0.43     .     .        .
              BZD-long:melatonin  0    0  0.68      .   0.68     .     .        .
                BZD-long:placebo  2 0.68 -0.16   0.06  -0.62  0.68  1.95   0.0508
              BZD-long:ramelteon  0    0  0.18      .   0.18     .     .        .
            BZD-long:seltorexant  0    0  0.23      .   0.23     .     .        .
             BZD-long:suvorexant  0    0  0.08      .   0.08     .     .        .
           BZD-long:trimipramine  0    0  0.09      .   0.09     .     .        .
               BZD-long:zaleplon  0    0  0.12      .   0.12     .     .        .
               BZD-long:zolpidem  0    0  0.06      .   0.06     .     .        .
              BZD-long:zopiclone  1 0.12 -0.02   0.29  -0.06  0.35  0.52   0.6041
          BZD-short:daridorexant  0    0  0.29      .   0.29     .     .        .
        BZD-short:diphenydramine  0    0  0.52      .   0.52     .     .        .
               BZD-short:doxepin  0    0  0.17      .   0.17     .     .        .
           BZD-short:eszopiclone  0    0  0.54      .   0.54     .     .        .
           BZD-short:lemborexant  0    0  0.66      .   0.66     .     .        .
             BZD-short:melatonin  0    0  0.92      .   0.92     .     .        .
               BZD-short:placebo  3 0.70  0.07   0.15  -0.11  0.26  0.93   0.3531
             BZD-short:ramelteon  0    0  0.42      .   0.42     .     .        .
           BZD-short:seltorexant  0    0  0.47      .   0.47     .     .        .
            BZD-short:suvorexant  0    0  0.31      .   0.31     .     .        .
          BZD-short:trimipramine  0    0  0.32      .   0.32     .     .        .
              BZD-short:zaleplon  1 0.44  0.36   0.61   0.16  0.46  1.55   0.1218
              BZD-short:zolpidem  1 0.27  0.29   0.19   0.33 -0.14 -0.48   0.6289
             BZD-short:zopiclone  0    0  0.22      .   0.22     .     .        .
     daridorexant:diphenydramine  0    0  0.24      .   0.24     .     .        .
            daridorexant:doxepin  0    0 -0.11      .  -0.11     .     .        .
        daridorexant:eszopiclone  0    0  0.25      .   0.25     .     .        .
        daridorexant:lemborexant  0    0  0.37      .   0.37     .     .        .
          daridorexant:melatonin  0    0  0.63      .   0.63     .     .        .
            daridorexant:placebo  3 0.93 -0.21  -0.24   0.18 -0.42 -2.16   0.0307
          daridorexant:ramelteon  0    0  0.13      .   0.13     .     .        .
        daridorexant:seltorexant  0    0  0.18      .   0.18     .     .        .
         daridorexant:suvorexant  0    0  0.03      .   0.03     .     .        .
       daridorexant:trimipramine  0    0  0.04      .   0.04     .     .        .
           daridorexant:zaleplon  0    0  0.07      .   0.07     .     .        .
           daridorexant:zolpidem  1 0.19  0.01   0.30  -0.06  0.36  2.26   0.0239
          daridorexant:zopiclone  0    0 -0.07      .  -0.07     .     .        .
          diphenydramine:doxepin  0    0 -0.35      .  -0.35     .     .        .
      diphenydramine:eszopiclone  0    0  0.01      .   0.01     .     .        .
      diphenydramine:lemborexant  0    0  0.14      .   0.14     .     .        .
        diphenydramine:melatonin  0    0  0.39      .   0.39     .     .        .
          diphenydramine:placebo  1 1.00 -0.45  -0.45      .     .     .        .
        diphenydramine:ramelteon  0    0 -0.11      .  -0.11     .     .        .
      diphenydramine:seltorexant  0    0 -0.06      .  -0.06     .     .        .
       diphenydramine:suvorexant  0    0 -0.21      .  -0.21     .     .        .
     diphenydramine:trimipramine  0    0 -0.20      .  -0.20     .     .        .
         diphenydramine:zaleplon  0    0 -0.16      .  -0.16     .     .        .
         diphenydramine:zolpidem  0    0 -0.23      .  -0.23     .     .        .
        diphenydramine:zopiclone  0    0 -0.31      .  -0.31     .     .        .
             doxepin:eszopiclone  0    0  0.36      .   0.36     .     .        .
             doxepin:lemborexant  0    0  0.49      .   0.49     .     .        .
               doxepin:melatonin  0    0  0.74      .   0.74     .     .        .
                 doxepin:placebo  2 1.00 -0.10  -0.10      .     .     .        .
               doxepin:ramelteon  0    0  0.24      .   0.24     .     .        .
             doxepin:seltorexant  0    0  0.29      .   0.29     .     .        .
              doxepin:suvorexant  0    0  0.14      .   0.14     .     .        .
            doxepin:trimipramine  0    0  0.15      .   0.15     .     .        .
                doxepin:zaleplon  0    0  0.18      .   0.18     .     .        .
                doxepin:zolpidem  0    0  0.12      .   0.12     .     .        .
               doxepin:zopiclone  0    0  0.04      .   0.04     .     .        .
         eszopiclone:lemborexant  0    0  0.12      .   0.12     .     .        .
           eszopiclone:melatonin  0    0  0.38      .   0.38     .     .        .
             eszopiclone:placebo  3 0.98 -0.46  -0.46  -0.81  0.35  0.52   0.6041
           eszopiclone:ramelteon  0    0 -0.12      .  -0.12     .     .        .
         eszopiclone:seltorexant  0    0 -0.07      .  -0.07     .     .        .
          eszopiclone:suvorexant  0    0 -0.23      .  -0.23     .     .        .
        eszopiclone:trimipramine  0    0 -0.21      .  -0.21     .     .        .
            eszopiclone:zaleplon  0    0 -0.18      .  -0.18     .     .        .
            eszopiclone:zolpidem  0    0 -0.25      .  -0.25     .     .        .
           eszopiclone:zopiclone  1 0.96 -0.32  -0.34   0.02 -0.35 -0.52   0.6041
           lemborexant:melatonin  0    0  0.25      .   0.25     .     .        .
             lemborexant:placebo  2 0.74 -0.59  -0.46  -0.95  0.49  3.26   0.0011
           lemborexant:ramelteon  0    0 -0.24      .  -0.24     .     .        .
         lemborexant:seltorexant  0    0 -0.19      .  -0.19     .     .        .
          lemborexant:suvorexant  0    0 -0.35      .  -0.35     .     .        .
        lemborexant:trimipramine  0    0 -0.34      .  -0.34     .     .        .
            lemborexant:zaleplon  0    0 -0.30      .  -0.30     .     .        .
            lemborexant:zolpidem  1 0.72 -0.37  -0.50  -0.04 -0.46 -3.12   0.0018
           lemborexant:zopiclone  0    0 -0.44      .  -0.44     .     .        .
               melatonin:placebo  1 1.00 -0.84  -0.84      .     .     .        .
             melatonin:ramelteon  0    0 -0.50      .  -0.50     .     .        .
           melatonin:seltorexant  0    0 -0.45      .  -0.45     .     .        .
            melatonin:suvorexant  0    0 -0.60      .  -0.60     .     .        .
          melatonin:trimipramine  0    0 -0.59      .  -0.59     .     .        .
              melatonin:zaleplon  0    0 -0.56      .  -0.56     .     .        .
              melatonin:zolpidem  0    0 -0.62      .  -0.62     .     .        .
             melatonin:zopiclone  0    0 -0.70      .  -0.70     .     .        .
