"BZD-intermediate","1.77 ( 0.37 to  3.17)","0.33 (-0.35 to  1.01)",".",".",".",".",".","-0.82 (-1.39 to -0.24)",".",".",".","0.08 (-0.68 to  0.85)",".",".","."
"0.09 (-0.44 to  0.63)","BZD-long","-0.41 (-0.93 to  0.12)",".",".",".",".",".","0.07 (-0.41 to  0.56)",".",".",".",".",".",".","0.29 (-1.02 to  1.60)"
"-0.25 (-0.70 to  0.21)","-0.34 (-0.75 to  0.07)","BZD-short",".",".",".",".",".","0.30 (-0.07 to  0.68)",".",".",".",".","0.61 ( 0.02 to  1.21)","0.23 (-0.41 to  0.87)","."
"0.11 (-0.40 to  0.62)","0.02 (-0.45 to  0.48)","0.36 (-0.04 to  0.75)","daridorexant",".",".",".",".","-0.26 (-0.52 to  0.01)",".",".",".",".",".","0.22 (-0.29 to  0.74)","."
"-0.02 (-0.58 to  0.55)","-0.11 (-0.64 to  0.42)","0.23 (-0.24 to  0.70)","-0.13 (-0.56 to  0.31)","doxepin",".",".",".","-0.09 (-0.45 to  0.26)",".",".",".",".",".",".","."
"0.39 (-0.15 to  0.92)","0.29 (-0.19 to  0.78)","0.63 ( 0.19 to  1.07)","0.28 (-0.13 to  0.68)","0.40 (-0.07 to  0.88)","eszopiclone",".",".","-0.48 (-0.80 to -0.16)",".",".",".",".",".",".","-0.34 (-0.83 to  0.16)"
"0.57 ( 0.03 to  1.11)","0.48 (-0.02 to  0.98)","0.82 ( 0.38 to  1.26)","0.46 ( 0.06 to  0.86)","0.59 ( 0.12 to  1.07)","0.19 (-0.26 to  0.63)","lemborexant",".","-0.60 (-0.95 to -0.26)",".",".",".",".",".","-0.50 (-0.93 to -0.06)","."
"0.73 (-0.15 to  1.61)","0.64 (-0.22 to  1.50)","0.98 ( 0.15 to  1.80)","0.62 (-0.18 to  1.43)","0.75 (-0.10 to  1.59)","0.35 (-0.48 to  1.17)","0.16 (-0.67 to  0.99)","melatonin","-0.84 (-1.61 to -0.08)",".",".",".",".",".",".","."
"-0.11 (-0.55 to  0.33)","-0.20 (-0.60 to  0.19)","0.13 (-0.18 to  0.45)","-0.22 (-0.47 to  0.03)","-0.09 (-0.45 to  0.26)","-0.50 (-0.81 to -0.18)","-0.69 (-1.00 to -0.37)","-0.84 (-1.61 to -0.08)","placebo","0.33 ( 0.05 to  0.60)","0.29 (-0.20 to  0.78)","0.25 (-0.07 to  0.57)","0.30 (-0.47 to  1.06)","0.18 (-0.12 to  0.48)","0.26 ( 0.10 to  0.43)","."
"0.22 (-0.30 to  0.74)","0.13 (-0.35 to  0.60)","0.46 ( 0.05 to  0.88)","0.11 (-0.26 to  0.48)","0.23 (-0.21 to  0.68)","-0.17 (-0.58 to  0.25)","-0.36 (-0.77 to  0.06)","-0.51 (-1.33 to  0.30)","0.33 ( 0.05 to  0.60)","ramelteon",".",".",".",".",".","."
