"BZD-intermediate","0.20 (-0.94 to  1.33)","0.67 (-0.49 to  1.84)",".",".",".",".",".","-0.69 (-1.40 to  0.01)",".",".",".",".",".","."
"-0.08 (-0.67 to  0.52)","BZD-long","0.02 (-0.40 to  0.43)",".",".",".",".",".","0.05 (-0.44 to  0.53)",".",".",".",".",".","0.08 (-1.16 to  1.32)"
"0.14 (-0.44 to  0.72)","0.21 (-0.15 to  0.58)","BZD-short",".",".",".",".",".","-0.39 (-0.76 to -0.02)",".",".",".",".","-0.55 (-1.05 to -0.05)","."
"0.06 (-0.49 to  0.62)","0.14 (-0.25 to  0.53)","-0.08 (-0.41 to  0.26)","daridorexant",".",".",".",".","-0.44 (-0.54 to -0.34)",".",".",".",".","-0.23 (-0.51 to  0.06)","."
"0.03 (-0.56 to  0.61)","0.10 (-0.33 to  0.53)","-0.11 (-0.50 to  0.27)","-0.04 (-0.26 to  0.19)","doxepin",".",".",".","-0.42 (-0.63 to -0.21)",".",".",".",".",".","."
"-0.09 (-0.66 to  0.49)","-0.01 (-0.42 to  0.40)","-0.23 (-0.59 to  0.14)","-0.15 (-0.34 to  0.04)","-0.11 (-0.38 to  0.15)","eszopiclone",".",".","-0.31 (-0.48 to -0.14)",".",".",".",".",".","."
"0.16 (-0.40 to  0.72)","0.24 (-0.16 to  0.64)","0.02 (-0.32 to  0.37)","0.10 (-0.06 to  0.26)","0.14 (-0.11 to  0.38)","0.25 ( 0.04 to  0.46)","lemborexant",".","-0.58 (-0.73 to -0.42)",".",".",".",".","-0.24 (-0.39 to -0.08)","."
"-0.65 (-1.48 to  0.17)","-0.58 (-1.31 to  0.15)","-0.79 (-1.49 to -0.09)","-0.72 (-1.35 to -0.09)","-0.68 (-1.34 to -0.02)","-0.57 (-1.21 to  0.08)","-0.82 (-1.45 to -0.18)","melatonin","0.26 (-0.36 to  0.88)",".",".",".",".",".","."
"-0.39 (-0.94 to  0.15)","-0.32 (-0.69 to  0.06)","-0.53 (-0.86 to -0.21)","-0.46 (-0.55 to -0.36)","-0.42 (-0.63 to -0.21)","-0.31 (-0.48 to -0.14)","-0.56 (-0.69 to -0.43)","0.26 (-0.36 to  0.88)","placebo","-0.10 (-0.34 to  0.14)","0.33 ( 0.06 to  0.61)","0.42 ( 0.28 to  0.57)","0.13 (-0.27 to  0.53)","0.32 ( 0.23 to  0.42)","0.58 (-0.21 to  1.37)"
"-0.49 (-1.09 to  0.11)","-0.42 (-0.86 to  0.03)","-0.63 (-1.03 to -0.23)","-0.55 (-0.81 to -0.30)","-0.52 (-0.83 to -0.20)","-0.40 (-0.70 to -0.11)","-0.65 (-0.93 to -0.38)","0.16 (-0.50 to  0.83)","-0.10 (-0.34 to  0.14)","ramelteon",".",".",".",".","."
"-0.04 (-0.63 to  0.55)","0.04 (-0.40 to  0.47)","-0.18 (-0.57 to  0.21)","-0.10 (-0.34 to  0.14)","-0.06 (-0.37 to  0.24)","0.05 (-0.23 to  0.33)","-0.20 (-0.45 to  0.05)","0.62 (-0.04 to  1.28)","0.36 ( 0.13 to  0.58)","0.45 ( 0.13 to  0.78)","seltorexant",".",".","-0.06 (-0.33 to  0.21)","."
"0.03 (-0.53 to  0.60)","0.11 (-0.30 to  0.51)","-0.11 (-0.46 to  0.25)","-0.03 (-0.20 to  0.14)","0.01 (-0.24 to  0.26)","0.12 (-0.10 to  0.34)","-0.13 (-0.32 to  0.06)","0.68 ( 0.05 to  1.32)","0.42 ( 0.28 to  0.57)","0.52 ( 0.25 to  0.80)","0.07 (-0.19 to  0.33)","suvorexant",".",".","."
"-0.26 (-0.94 to  0.42)","-0.19 (-0.74 to  0.36)","-0.40 (-0.92 to  0.11)","-0.32 (-0.74 to  0.09)","-0.29 (-0.74 to  0.16)","-0.18 (-0.61 to  0.26)","-0.43 (-0.85 to -0.01)","0.39 (-0.35 to  1.13)","0.13 (-0.27 to  0.53)","0.23 (-0.24 to  0.70)","-0.22 (-0.68 to  0.23)","-0.29 (-0.72 to  0.13)","zaleplon",".","."
"-0.08 (-0.63 to  0.48)","-0.00 (-0.39 to  0.38)","-0.22 (-0.55 to  0.11)","-0.14 (-0.27 to -0.01)","-0.10 (-0.33 to  0.12)","0.01 (-0.18 to  0.20)","-0.24 (-0.37 to -0.11)","0.58 (-0.05 to  1.20)","0.32 ( 0.22 to  0.41)","0.41 ( 0.16 to  0.67)","-0.04 (-0.26 to  0.18)","-0.11 (-0.28 to  0.06)","0.18 (-0.23 to  0.60)","zolpidem","."
"0.13 (-0.72 to  0.99)","0.21 (-0.51 to  0.93)","-0.01 (-0.73 to  0.72)","0.07 (-0.61 to  0.75)","0.11 (-0.60 to  0.81)","0.22 (-0.47 to  0.91)","-0.03 (-0.72 to  0.65)","0.79 (-0.13 to  1.70)","0.53 (-0.15 to  1.20)","0.62 (-0.09 to  1.34)","0.17 (-0.54 to  0.88)","0.10 (-0.59 to  0.79)","0.40 (-0.39 to  1.18)","0.21 (-0.47 to  0.89)","zopiclone"
