"BZD-intermediate","0.07 (-1.11 to  1.26)","0.67 (-0.54 to  1.89)",".",".",".",".",".","-0.69 (-1.48 to  0.09)",".",".",".",".",".","."
"-0.03 (-0.68 to  0.63)","BZD-long","-0.12 (-0.61 to  0.36)",".",".",".",".",".","-0.05 (-0.64 to  0.55)",".",".",".",".",".","0.08 (-1.21 to  1.37)"
"0.04 (-0.59 to  0.68)","0.07 (-0.36 to  0.50)","BZD-short",".",".",".",".",".","-0.19 (-0.64 to  0.25)",".",".",".",".","-0.55 (-1.15 to  0.06)","."
"0.04 (-0.60 to  0.68)","0.07 (-0.43 to  0.57)","-0.00 (-0.45 to  0.44)","daridorexant",".",".",".",".","-0.39 (-0.62 to -0.16)",".",".",".",".","-0.28 (-0.75 to  0.18)","."
"0.03 (-0.65 to  0.71)","0.06 (-0.49 to  0.61)","-0.01 (-0.51 to  0.49)","-0.00 (-0.40 to  0.39)","doxepin",".",".",".","-0.42 (-0.74 to -0.10)",".",".",".",".",".","."
"-0.08 (-0.75 to  0.58)","-0.05 (-0.59 to  0.48)","-0.12 (-0.61 to  0.36)","-0.12 (-0.48 to  0.25)","-0.11 (-0.55 to  0.32)","eszopiclone",".",".","-0.31 (-0.59 to -0.02)",".",".",".",".",".","."
"0.00 (-0.66 to  0.66)","0.03 (-0.50 to  0.56)","-0.04 (-0.51 to  0.43)","-0.04 (-0.39 to  0.32)","-0.03 (-0.46 to  0.40)","0.08 (-0.32 to  0.49)","lemborexant",".","-0.38 (-0.68 to -0.07)",".",".",".",".","-0.24 (-0.62 to  0.14)","."
"-0.65 (-1.58 to  0.29)","-0.62 (-1.46 to  0.22)","-0.69 (-1.50 to  0.12)","-0.68 (-1.43 to  0.06)","-0.68 (-1.46 to  0.10)","-0.57 (-1.33 to  0.20)","-0.65 (-1.41 to  0.12)","melatonin","0.26 (-0.45 to  0.97)",".",".",".",".",".","."
"-0.39 (-0.99 to  0.21)","-0.36 (-0.81 to  0.09)","-0.43 (-0.81 to -0.04)","-0.42 (-0.65 to -0.20)","-0.42 (-0.74 to -0.10)","-0.31 (-0.59 to -0.02)","-0.39 (-0.67 to -0.11)","0.26 (-0.45 to  0.97)","placebo","-0.10 (-0.52 to  0.32)","0.19 (-0.25 to  0.63)","0.45 ( 0.17 to  0.74)","0.13 (-0.40 to  0.66)","0.32 ( 0.16 to  0.48)","0.58 (-0.28 to  1.44)"
"-0.48 (-1.22 to  0.25)","-0.46 (-1.07 to  0.16)","-0.53 (-1.10 to  0.04)","-0.52 (-1.00 to -0.04)","-0.52 (-1.05 to  0.01)","-0.40 (-0.91 to  0.11)","-0.49 (-0.99 to  0.02)","0.16 (-0.67 to  0.99)","-0.10 (-0.52 to  0.32)","ramelteon",".",".",".",".","."
"-0.08 (-0.78 to  0.63)","-0.05 (-0.63 to  0.54)","-0.12 (-0.65 to  0.41)","-0.11 (-0.55 to  0.32)","-0.11 (-0.61 to  0.39)","0.00 (-0.47 to  0.48)","-0.08 (-0.54 to  0.38)","0.57 (-0.24 to  1.38)","0.31 (-0.07 to  0.69)","0.41 (-0.16 to  0.98)","seltorexant",".",".","-0.15 (-0.59 to  0.30)","."
"0.06 (-0.60 to  0.73)","0.09 (-0.44 to  0.62)","0.02 (-0.46 to  0.50)","0.03 (-0.33 to  0.39)","0.03 (-0.40 to  0.46)","0.15 (-0.26 to  0.55)","0.06 (-0.34 to  0.46)","0.71 (-0.06 to  1.48)","0.45 ( 0.17 to  0.74)","0.55 ( 0.04 to  1.06)","0.14 (-0.33 to  0.62)","suvorexant",".",".","."
"-0.26 (-1.06 to  0.55)","-0.23 (-0.92 to  0.47)","-0.30 (-0.95 to  0.36)","-0.29 (-0.87 to  0.28)","-0.29 (-0.91 to  0.33)","-0.17 (-0.78 to  0.43)","-0.26 (-0.86 to  0.34)","0.39 (-0.50 to  1.28)","0.13 (-0.40 to  0.66)","0.23 (-0.45 to  0.91)","-0.18 (-0.83 to  0.47)","-0.32 (-0.92 to  0.28)","zaleplon",".","."
"-0.10 (-0.72 to  0.51)","-0.08 (-0.54 to  0.39)","-0.15 (-0.55 to  0.25)","-0.14 (-0.40 to  0.11)","-0.14 (-0.50 to  0.22)","-0.02 (-0.35 to  0.30)","-0.11 (-0.40 to  0.19)","0.54 (-0.19 to  1.27)","0.28 ( 0.13 to  0.44)","0.38 (-0.07 to  0.83)","-0.03 (-0.41 to  0.35)","-0.17 (-0.49 to  0.15)","0.15 (-0.40 to  0.70)","zolpidem","."
"0.15 (-0.77 to  1.07)","0.18 (-0.60 to  0.96)","0.11 (-0.69 to  0.90)","0.11 (-0.65 to  0.87)","0.12 (-0.68 to  0.91)","0.23 (-0.55 to  1.01)","0.15 (-0.63 to  0.93)","0.80 (-0.22 to  1.82)","0.54 (-0.19 to  1.26)","0.63 (-0.21 to  1.48)","0.23 (-0.60 to  1.05)","0.08 (-0.70 to  0.87)","0.40 (-0.50 to  1.31)","0.25 (-0.49 to  1.00)","zopiclone"
