"BZD-intermediate","-0.57 (-1.73 to  0.58)","-0.43 (-1.03 to  0.18)",".",".",".",".",".","0.66 ( 0.27 to  1.06)",".",".","0.03 (-0.61 to  0.68)",".",".","."
"-0.19 (-0.64 to  0.25)","BZD-long","0.37 (-0.05 to  0.79)",".",".",".",".",".","0.44 (-0.04 to  0.93)",".",".",".",".",".","-0.62 (-1.89 to  0.65)"
"-0.01 (-0.37 to  0.35)","0.18 (-0.17 to  0.53)","BZD-short",".",".",".",".",".","0.35 ( 0.07 to  0.63)",".",".",".","0.25 (-0.17 to  0.68)","0.18 (-0.26 to  0.62)","."
"-0.03 (-0.37 to  0.31)","0.16 (-0.21 to  0.53)","-0.02 (-0.28 to  0.24)","daridorexant",".",".",".",".","0.47 ( 0.37 to  0.57)",".",".",".",".","0.08 (-0.23 to  0.39)","."
"0.04 (-0.35 to  0.43)","0.23 (-0.18 to  0.65)","0.05 (-0.26 to  0.37)","0.07 (-0.16 to  0.30)","doxepin",".",".",".","0.40 ( 0.19 to  0.61)",".",".",".",".",".","."
"-0.09 (-0.46 to  0.28)","0.10 (-0.29 to  0.49)","-0.08 (-0.37 to  0.21)","-0.06 (-0.26 to  0.13)","-0.13 (-0.40 to  0.14)","eszopiclone",".",".","0.53 ( 0.36 to  0.70)",".",".",".",".",".","0.17 (-0.10 to  0.45)"
"-0.51 (-0.86 to -0.15)","-0.31 (-0.69 to  0.07)","-0.49 (-0.77 to -0.22)","-0.47 (-0.64 to -0.31)","-0.54 (-0.79 to -0.30)","-0.41 (-0.63 to -0.20)","lemborexant",".","0.98 ( 0.82 to  1.14)",".",".",".",".","0.47 ( 0.32 to  0.63)","."
"0.37 (-0.33 to  1.08)","0.57 (-0.15 to  1.28)","0.39 (-0.28 to  1.05)","0.40 (-0.22 to  1.03)","0.34 (-0.32 to  0.99)","0.47 (-0.18 to  1.11)","0.88 ( 0.24 to  1.51)","melatonin","0.06 (-0.56 to  0.68)",".",".",".",".",".","."
"0.44 ( 0.11 to  0.77)","0.63 ( 0.28 to  0.99)","0.45 ( 0.21 to  0.69)","0.47 ( 0.37 to  0.57)","0.40 ( 0.19 to  0.61)","0.53 ( 0.36 to  0.70)","0.94 ( 0.81 to  1.08)","0.06 (-0.56 to  0.68)","placebo","-0.13 (-0.28 to  0.02)","-0.25 (-0.52 to  0.01)","-0.35 (-1.00 to  0.30)","-0.13 (-0.42 to  0.16)","-0.33 (-0.44 to -0.23)","0.00 (-0.77 to  0.77)"
"0.31 (-0.05 to  0.67)","0.50 ( 0.12 to  0.89)","0.32 ( 0.04 to  0.60)","0.34 ( 0.16 to  0.51)","0.27 ( 0.02 to  0.52)","0.40 ( 0.18 to  0.62)","0.81 ( 0.61 to  1.02)","-0.07 (-0.70 to  0.57)","-0.13 (-0.28 to  0.02)","ramelteon",".",".",".",".","."
"0.01 (-0.39 to  0.40)","0.20 (-0.22 to  0.62)","0.02 (-0.30 to  0.34)","0.04 (-0.20 to  0.27)","-0.03 (-0.33 to  0.27)","0.10 (-0.18 to  0.37)","0.51 ( 0.27 to  0.76)","-0.37 (-1.03 to  0.29)","-0.43 (-0.65 to -0.22)","-0.30 (-0.56 to -0.04)","seltorexant",".",".","0.24 (-0.02 to  0.51)","."
"0.06 (-0.52 to  0.64)","0.25 (-0.41 to  0.92)","0.07 (-0.54 to  0.69)","0.09 (-0.50 to  0.68)","0.02 (-0.59 to  0.64)","0.15 (-0.45 to  0.76)","0.57 (-0.03 to  1.16)","-0.31 (-1.16 to  0.54)","-0.38 (-0.96 to  0.20)","-0.25 (-0.85 to  0.35)","0.06 (-0.56 to  0.67)","trimipramine",".",".","."
"0.27 (-0.14 to  0.68)","0.47 ( 0.04 to  0.89)","0.29 (-0.03 to  0.60)","0.30 ( 0.02 to  0.59)","0.23 (-0.11 to  0.57)","0.36 ( 0.05 to  0.68)","0.78 ( 0.48 to  1.08)","-0.10 (-0.78 to  0.57)","-0.17 (-0.44 to  0.10)","-0.04 (-0.34 to  0.27)","0.27 (-0.08 to  0.61)","0.21 (-0.42 to  0.85)","zaleplon",".","."
"0.06 (-0.28 to  0.40)","0.26 (-0.11 to  0.62)","0.08 (-0.18 to  0.33)","0.09 (-0.04 to  0.23)","0.02 (-0.21 to  0.25)","0.15 (-0.04 to  0.35)","0.57 ( 0.43 to  0.70)","-0.31 (-0.94 to  0.32)","-0.38 (-0.48 to -0.27)","-0.25 (-0.43 to -0.07)","0.06 (-0.16 to  0.27)","0.00 (-0.59 to  0.59)","-0.21 (-0.50 to  0.08)","zolpidem","."
"0.09 (-0.35 to  0.53)","0.28 (-0.17 to  0.73)","0.10 (-0.28 to  0.48)","0.12 (-0.19 to  0.43)","0.05 (-0.31 to  0.41)","0.18 (-0.08 to  0.44)","0.59 ( 0.27 to  0.92)","-0.29 (-0.97 to  0.40)","-0.35 (-0.65 to -0.06)","-0.22 (-0.55 to  0.11)","0.08 (-0.28 to  0.45)","0.03 (-0.63 to  0.68)","-0.19 (-0.58 to  0.21)","0.02 (-0.29 to  0.34)","zopiclone"
