"BZD-intermediate","-0.57 (-1.96 to  0.81)","-0.46 (-1.30 to  0.37)",".",".",".",".",".","0.72 ( 0.14 to  1.30)",".",".","0.03 (-0.97 to  1.04)",".",".","."
"-0.20 (-0.86 to  0.46)","BZD-long","0.37 (-0.30 to  1.04)",".",".",".",".",".","0.44 (-0.46 to  1.35)",".",".",".",".",".","-0.62 (-2.10 to  0.87)"
"-0.04 (-0.56 to  0.48)","0.16 (-0.40 to  0.72)","BZD-short",".",".",".",".",".","0.34 (-0.15 to  0.83)",".",".",".","0.25 (-0.62 to  1.13)","0.16 (-0.57 to  0.90)","."
"-0.02 (-0.66 to  0.62)","0.18 (-0.54 to  0.91)","0.02 (-0.57 to  0.61)","daridorexant",".",".",".",".","0.45 (-0.01 to  0.91)",".",".",".",".","0.08 (-0.75 to  0.91)","."
"0.06 (-0.69 to  0.81)","0.26 (-0.56 to  1.08)","0.10 (-0.61 to  0.80)","0.08 (-0.65 to  0.81)","doxepin",".",".",".","0.39 (-0.19 to  0.97)",".",".",".",".",".","."
"-0.14 (-0.81 to  0.52)","0.06 (-0.66 to  0.78)","-0.10 (-0.72 to  0.51)","-0.12 (-0.77 to  0.52)","-0.20 (-0.95 to  0.55)","eszopiclone",".",".","0.59 ( 0.08 to  1.11)",".",".",".",".",".","0.17 (-0.64 to  0.99)"
"-1.54 (-2.28 to -0.80)","-1.33 (-2.14 to -0.52)","-1.50 (-2.19 to -0.80)","-1.52 (-2.23 to -0.80)","-1.60 (-2.41 to -0.78)","-1.39 (-2.14 to -0.65)","lemborexant",".","2.17 ( 1.55 to  2.79)",".",".",".",".","0.47 (-0.31 to  1.26)","."
"0.39 (-0.70 to  1.48)","0.59 (-0.55 to  1.74)","0.43 (-0.64 to  1.49)","0.41 (-0.67 to  1.49)","0.33 (-0.81 to  1.47)","0.53 (-0.56 to  1.63)","1.92 ( 0.79 to  3.06)","melatonin","0.06 (-0.92 to  1.05)",".",".",".",".",".","."
"0.45 (-0.02 to  0.93)","0.66 ( 0.08 to  1.24)","0.49 ( 0.09 to  0.89)","0.47 ( 0.03 to  0.91)","0.39 (-0.19 to  0.97)","0.60 ( 0.12 to  1.07)","1.99 ( 1.42 to  2.56)","0.06 (-0.92 to  1.05)","placebo","-0.13 (-0.69 to  0.44)","-0.25 (-1.06 to  0.56)","-0.35 (-1.35 to  0.65)","-0.12 (-0.74 to  0.49)","-0.41 (-0.67 to -0.15)","0.00 (-1.08 to  1.09)"
"0.33 (-0.41 to  1.06)","0.53 (-0.28 to  1.34)","0.36 (-0.33 to  1.06)","0.35 (-0.37 to  1.06)","0.27 (-0.54 to  1.07)","0.47 (-0.27 to  1.21)","1.86 ( 1.06 to  2.66)","-0.06 (-1.20 to  1.07)","-0.13 (-0.69 to  0.44)","ramelteon",".",".",".",".","."
"-0.03 (-0.88 to  0.81)","0.17 (-0.74 to  1.08)","0.00 (-0.80 to  0.81)","-0.01 (-0.84 to  0.81)","-0.09 (-1.01 to  0.82)","0.11 (-0.74 to  0.96)","1.50 ( 0.60 to  2.40)","-0.42 (-1.64 to  0.79)","-0.49 (-1.20 to  0.22)","-0.36 (-1.26 to  0.54)","seltorexant",".",".","0.24 (-0.57 to  1.05)","."
"0.07 (-0.83 to  0.97)","0.27 (-0.77 to  1.31)","0.11 (-0.85 to  1.06)","0.09 (-0.91 to  1.09)","0.01 (-1.06 to  1.08)","0.21 (-0.80 to  1.23)","1.60 ( 0.54 to  2.67)","-0.32 (-1.65 to  1.01)","-0.38 (-1.28 to  0.51)","-0.26 (-1.32 to  0.80)","0.10 (-1.04 to  1.25)","trimipramine",".",".","."
"0.27 (-0.45 to  0.99)","0.47 (-0.31 to  1.26)","0.31 (-0.33 to  0.94)","0.29 (-0.43 to  1.01)","0.21 (-0.61 to  1.03)","0.41 (-0.33 to  1.16)","1.81 ( 1.00 to  2.62)","-0.12 (-1.26 to  1.02)","-0.18 (-0.76 to  0.39)","-0.06 (-0.86 to  0.75)","0.31 (-0.61 to  1.22)","0.20 (-0.86 to  1.26)","zaleplon",".","."
"-0.03 (-0.56 to  0.50)","0.17 (-0.45 to  0.80)","0.01 (-0.44 to  0.46)","-0.01 (-0.49 to  0.47)","-0.09 (-0.72 to  0.55)","0.11 (-0.43 to  0.65)","1.51 ( 0.92 to  2.09)","-0.42 (-1.44 to  0.60)","-0.48 (-0.74 to -0.23)","-0.36 (-0.97 to  0.26)","0.01 (-0.70 to  0.71)","-0.10 (-1.03 to  0.83)","-0.30 (-0.93 to  0.33)","zolpidem","."
"0.02 (-0.77 to  0.82)","0.22 (-0.58 to  1.02)","0.06 (-0.69 to  0.81)","0.04 (-0.75 to  0.83)","-0.04 (-0.92 to  0.84)","0.16 (-0.48 to  0.81)","1.56 ( 0.69 to  2.43)","-0.37 (-1.55 to  0.82)","-0.43 (-1.09 to  0.23)","-0.30 (-1.17 to  0.56)","0.06 (-0.91 to  1.02)","-0.05 (-1.16 to  1.06)","-0.25 (-1.12 to  0.62)","0.05 (-0.65 to  0.76)","zopiclone"
