"BZD-intermediate",".","0.49 (-0.11 to  1.10)",".",".",".","-0.25 (-0.90 to  0.41)",".","0.14 (-0.50 to  0.79)","."
"0.34 (-0.25 to  0.93)","BZD-long","-0.04 (-0.52 to  0.44)",".",".",".","-0.35 (-0.84 to  0.13)",".",".","."
"0.28 (-0.19 to  0.75)","-0.06 (-0.49 to  0.36)","BZD-short",".",".",".","-0.23 (-0.60 to  0.13)",".",".","-0.17 (-0.67 to  0.32)"
"-0.20 (-0.69 to  0.29)","-0.54 (-0.98 to -0.10)","-0.48 (-0.82 to -0.14)","daridorexant",".",".","0.21 ( 0.10 to  0.31)",".",".","."
"-0.13 (-0.70 to  0.44)","-0.47 (-1.00 to  0.06)","-0.41 (-0.85 to  0.04)","0.07 (-0.26 to  0.39)","doxepin",".","0.14 (-0.17 to  0.44)",".",".","."
"0.02 (-0.49 to  0.53)","-0.32 (-0.78 to  0.14)","-0.26 (-0.62 to  0.11)","0.22 ( 0.02 to  0.42)","0.15 (-0.20 to  0.50)","eszopiclone","-0.01 (-0.19 to  0.16)",".",".","."
"0.01 (-0.47 to  0.49)","-0.33 (-0.76 to  0.10)","-0.27 (-0.59 to  0.05)","0.21 ( 0.10 to  0.31)","0.14 (-0.17 to  0.44)","-0.01 (-0.19 to  0.16)","placebo","-0.19 (-0.46 to  0.07)","0.39 (-0.26 to  1.04)","-0.10 (-0.34 to  0.14)"
"-0.13 (-0.66 to  0.40)","-0.47 (-0.95 to  0.01)","-0.41 (-0.79 to -0.02)","0.07 (-0.19 to  0.33)","-0.00 (-0.39 to  0.39)","-0.15 (-0.45 to  0.15)","-0.14 (-0.38 to  0.10)","seltorexant",".","0.00 (-0.26 to  0.27)"
"0.27 (-0.34 to  0.87)","-0.07 (-0.80 to  0.65)","-0.01 (-0.66 to  0.64)","0.47 (-0.15 to  1.08)","0.40 (-0.28 to  1.08)","0.25 (-0.39 to  0.88)","0.26 (-0.35 to  0.87)","0.40 (-0.25 to  1.05)","trimipramine","."
"-0.07 (-0.59 to  0.45)","-0.41 (-0.88 to  0.06)","-0.35 (-0.71 to  0.01)","0.13 (-0.13 to  0.38)","0.06 (-0.33 to  0.44)","-0.09 (-0.38 to  0.20)","-0.08 (-0.31 to  0.16)","0.06 (-0.18 to  0.30)","-0.34 (-0.98 to  0.31)","zolpidem"
