"BZD-intermediate","0.01 (-0.23 to  0.24)","-0.04 (-0.26 to  0.18)",".",".",".",".",".",".","0.20 (-0.25 to  0.64)","-1.09 (-1.23 to -0.95)",".",".",".","0.03 (-0.33 to  0.39)",".","-0.04 (-0.26 to  0.19)","0.24 (-0.06 to  0.54)"
"-0.18 (-0.34 to -0.02)","BZD-long","0.14 (-0.14 to  0.42)",".",".",".",".",".",".",".","-0.54 (-0.77 to -0.32)",".",".",".",".",".","-0.39 (-0.73 to -0.04)","-0.13 (-1.11 to  0.85)"
"-0.17 (-0.34 to  0.00)","0.01 (-0.19 to  0.20)","BZD-short",".",".",".",".",".",".",".","-0.26 (-0.53 to  0.00)",".",".",".",".",".","0.21 (-0.11 to  0.53)","."
"-0.77 (-1.01 to -0.52)","-0.59 (-0.86 to -0.32)","-0.60 (-0.88 to -0.31)","daridorexant",".",".",".",".",".",".","-0.01 (-0.29 to  0.27)",".",".",".",".",".","0.26 (-0.03 to  0.54)","."
"-0.70 (-1.06 to -0.33)","-0.52 (-0.90 to -0.13)","-0.52 (-0.92 to -0.13)","0.07 (-0.34 to  0.49)","diphenydramine",".",".",".",".",".","-0.12 (-0.47 to  0.23)",".",".",".",".",".",".","."
"-0.83 (-1.03 to -0.63)","-0.65 (-0.88 to -0.42)","-0.65 (-0.90 to -0.41)","-0.06 (-0.34 to  0.22)","-0.13 (-0.52 to  0.26)","doxepin",".",".",".",".","0.01 (-0.16 to  0.17)",".",".",".",".",".",".","."
"-0.39 (-0.53 to -0.26)","-0.22 (-0.39 to -0.04)","-0.22 (-0.42 to -0.03)","0.37 ( 0.14 to  0.61)","0.30 (-0.06 to  0.66)","0.43 ( 0.25 to  0.61)","eszopiclone",".",".",".","-0.42 (-0.50 to -0.34)",".",".",".",".",".",".","."
"-0.41 (-0.55 to -0.27)","-0.23 (-0.41 to -0.05)","-0.24 (-0.43 to -0.04)","0.36 ( 0.12 to  0.59)","0.29 (-0.08 to  0.65)","0.42 ( 0.23 to  0.60)","-0.02 (-0.14 to  0.11)","lemborexant",".",".","-0.35 (-0.45 to -0.25)",".",".",".",".",".","-0.20 (-0.35 to -0.04)","."
"-0.89 (-1.05 to -0.72)","-0.71 (-0.91 to -0.51)","-0.72 (-0.93 to -0.50)","-0.12 (-0.37 to  0.13)","-0.19 (-0.56 to  0.18)","-0.06 (-0.27 to  0.14)","-0.49 (-0.64 to -0.35)","-0.48 (-0.63 to -0.33)","melatonin",".","0.07 (-0.05 to  0.19)",".",".",".",".",".",".","."
"0.20 (-0.25 to  0.64)","0.37 (-0.10 to  0.84)","0.37 (-0.11 to  0.84)","0.96 ( 0.46 to  1.47)","0.89 ( 0.32 to  1.47)","1.02 ( 0.54 to  1.51)","0.59 ( 0.13 to  1.05)","0.61 ( 0.14 to  1.07)","1.08 ( 0.61 to  1.56)","mirtazapine",".",".",".",".",".",".",".","."
"-0.82 (-0.93 to -0.70)","-0.64 (-0.80 to -0.48)","-0.64 (-0.82 to -0.47)","-0.05 (-0.27 to  0.17)","-0.12 (-0.47 to  0.23)","0.01 (-0.16 to  0.17)","-0.42 (-0.50 to -0.34)","-0.41 (-0.50 to -0.31)","0.07 (-0.05 to  0.19)","-1.01 (-1.47 to -0.56)","placebo","-0.44 (-1.55 to  0.66)","0.10 ( 0.04 to  0.16)","0.14 ( 0.02 to  0.25)","0.31 ( 0.06 to  0.56)","0.35 ( 0.25 to  0.44)","0.31 ( 0.25 to  0.37)","0.85 (-0.16 to  1.86)"
"-1.26 (-2.37 to -0.15)","-1.08 (-2.20 to  0.03)","-1.09 (-2.21 to  0.03)","-0.49 (-1.62 to  0.63)","-0.56 (-1.72 to  0.59)","-0.43 (-1.55 to  0.68)","-0.86 (-1.97 to  0.24)","-0.85 (-1.96 to  0.26)","-0.37 (-1.48 to  0.74)","-1.46 (-2.65 to -0.26)","-0.44 (-1.55 to  0.66)","quetiapine",".",".",".",".",".","."
"-0.72 (-0.85 to -0.59)","-0.54 (-0.71 to -0.37)","-0.55 (-0.73 to -0.36)","0.05 (-0.18 to  0.28)","-0.02 (-0.38 to  0.33)","0.11 (-0.07 to  0.28)","-0.32 (-0.42 to -0.22)","-0.31 (-0.42 to -0.20)","0.17 ( 0.03 to  0.30)","-0.92 (-1.38 to -0.45)","0.10 ( 0.04 to  0.16)","0.54 (-0.56 to  1.65)","ramelteon",".",".",".",".","."
"-0.68 (-0.84 to -0.52)","-0.50 (-0.70 to -0.31)","-0.51 (-0.72 to -0.30)","0.09 (-0.16 to  0.34)","0.02 (-0.35 to  0.39)","0.15 (-0.06 to  0.35)","-0.29 (-0.43 to -0.14)","-0.27 (-0.42 to -0.12)","0.21 ( 0.04 to  0.38)","-0.88 (-1.35 to -0.41)","0.14 ( 0.02 to  0.25)","0.58 (-0.53 to  1.69)","0.04 (-0.09 to  0.17)","suvorexant",".",".",".","."
"-0.36 (-0.57 to -0.15)","-0.18 (-0.43 to  0.06)","-0.19 (-0.44 to  0.06)","0.41 ( 0.11 to  0.70)","0.34 (-0.07 to  0.74)","0.47 ( 0.21 to  0.72)","0.03 (-0.18 to  0.25)","0.05 (-0.16 to  0.26)","0.53 ( 0.30 to  0.76)","-0.56 (-1.05 to -0.07)","0.46 ( 0.26 to  0.65)","0.90 (-0.22 to  2.02)","0.36 ( 0.15 to  0.56)","0.32 ( 0.09 to  0.55)","trazodone",".","0.09 (-0.20 to  0.38)","."
"-0.45 (-0.59 to -0.31)","-0.27 (-0.45 to -0.10)","-0.28 (-0.47 to -0.09)","0.32 ( 0.08 to  0.55)","0.25 (-0.11 to  0.61)","0.38 ( 0.19 to  0.56)","-0.05 (-0.17 to  0.06)","-0.04 (-0.16 to  0.08)","0.44 ( 0.29 to  0.58)","-0.65 (-1.11 to -0.18)","0.37 ( 0.28 to  0.45)","0.81 (-0.30 to  1.92)","0.27 ( 0.17 to  0.37)","0.23 ( 0.09 to  0.37)","-0.09 (-0.30 to  0.12)","zaleplon","-0.06 (-0.17 to  0.06)","."
"-0.47 (-0.59 to -0.35)","-0.29 (-0.45 to -0.13)","-0.30 (-0.48 to -0.12)","0.30 ( 0.07 to  0.52)","0.23 (-0.13 to  0.58)","0.36 ( 0.18 to  0.53)","-0.08 (-0.17 to  0.02)","-0.06 (-0.16 to  0.04)","0.42 ( 0.28 to  0.55)","-0.67 (-1.13 to -0.21)","0.35 ( 0.29 to  0.40)","0.79 (-0.32 to  1.89)","0.25 ( 0.16 to  0.33)","0.21 ( 0.08 to  0.34)","-0.11 (-0.31 to  0.09)","-0.02 (-0.11 to  0.06)","zolpidem","."
"0.20 (-0.08 to  0.48)","0.38 ( 0.06 to  0.70)","0.37 ( 0.04 to  0.70)","0.97 ( 0.60 to  1.34)","0.90 ( 0.43 to  1.36)","1.03 ( 0.68 to  1.37)","0.59 ( 0.28 to  0.90)","0.61 ( 0.30 to  0.92)","1.09 ( 0.76 to  1.41)","0.00 (-0.52 to  0.53)","1.02 ( 0.72 to  1.32)","1.46 ( 0.32 to  2.60)","0.92 ( 0.61 to  1.22)","0.88 ( 0.56 to  1.20)","0.56 ( 0.21 to  0.91)","0.65 ( 0.34 to  0.96)","0.67 ( 0.37 to  0.97)","zopiclone"
