"BZD-intermediate","-0.01 (-0.35 to  0.33)","-0.05 (-0.41 to  0.31)",".",".",".",".",".","-0.93 (-1.15 to -0.72)",".",".",".",".",".",".","-0.04 (-0.40 to  0.33)","0.06 (-0.39 to  0.51)"
"-0.20 (-0.44 to  0.04)","BZD-long","0.07 (-0.27 to  0.41)",".",".",".",".",".","-0.51 (-0.80 to -0.22)",".",".",".",".",".",".",".","-0.13 (-1.19 to  0.93)"
"-0.18 (-0.45 to  0.08)","0.01 (-0.25 to  0.28)","BZD-short",".",".",".",".",".","-0.26 (-0.63 to  0.12)",".",".",".",".",".",".","0.21 (-0.30 to  0.73)","."
"-0.55 (-0.85 to -0.24)","-0.35 (-0.69 to -0.01)","-0.36 (-0.72 to  0.00)","daridorexant",".",".",".",".","-0.21 (-0.47 to  0.05)",".",".",".",".",".",".","0.18 (-0.33 to  0.69)","."
"-0.77 (-1.11 to -0.42)","-0.57 (-0.95 to -0.20)","-0.58 (-0.97 to -0.19)","-0.22 (-0.60 to  0.16)","doxepin",".",".",".","0.00 (-0.29 to  0.29)",".",".",".",".",".",".",".","."
"-0.41 (-0.66 to -0.15)","-0.21 (-0.51 to  0.09)","-0.22 (-0.54 to  0.10)","0.14 (-0.17 to  0.45)","0.36 ( 0.02 to  0.70)","eszopiclone",".",".","-0.36 (-0.54 to -0.17)",".",".",".",".",".",".",".","."
"-0.33 (-0.64 to -0.02)","-0.13 (-0.48 to  0.21)","-0.14 (-0.50 to  0.22)","0.22 (-0.14 to  0.57)","0.44 ( 0.05 to  0.82)","0.08 (-0.23 to  0.39)","lemborexant",".","-0.38 (-0.65 to -0.11)",".",".",".",".",".",".","-0.19 (-0.63 to  0.24)","."
"-0.84 (-1.20 to -0.48)","-0.65 (-1.04 to -0.25)","-0.66 (-1.07 to -0.25)","-0.30 (-0.70 to  0.10)","-0.08 (-0.50 to  0.35)","-0.44 (-0.80 to -0.07)","-0.51 (-0.92 to -0.11)","melatonin","0.08 (-0.23 to  0.39)",".",".",".",".",".",".",".","."
"-0.76 (-0.94 to -0.58)","-0.57 (-0.80 to -0.33)","-0.58 (-0.84 to -0.32)","-0.22 (-0.47 to  0.03)","0.00 (-0.29 to  0.29)","-0.36 (-0.54 to -0.17)","-0.43 (-0.68 to -0.18)","0.08 (-0.23 to  0.39)","placebo","-0.44 (-1.62 to  0.73)","0.16 ( 0.01 to  0.32)","0.71 ( 0.22 to  1.20)","0.13 (-0.18 to  0.44)","0.46 ( 0.06 to  0.86)","0.30 ( 0.11 to  0.50)","0.36 ( 0.24 to  0.47)","0.85 (-0.24 to  1.94)"
"-1.21 (-2.39 to -0.02)","-1.01 (-2.21 to  0.19)","-1.02 (-2.22 to  0.18)","-0.66 (-1.86 to  0.54)","-0.44 (-1.65 to  0.77)","-0.80 (-1.99 to  0.39)","-0.88 (-2.08 to  0.33)","-0.36 (-1.58 to  0.85)","-0.44 (-1.62 to  0.73)","quetiapine",".",".",".",".",".",".","."
"-0.60 (-0.84 to -0.36)","-0.40 (-0.69 to -0.12)","-0.41 (-0.72 to -0.11)","-0.05 (-0.35 to  0.24)","0.17 (-0.16 to  0.50)","-0.19 (-0.43 to  0.05)","-0.27 (-0.56 to  0.03)","0.25 (-0.10 to  0.60)","0.16 ( 0.01 to  0.32)","0.61 (-0.58 to  1.79)","ramelteon",".",".",".",".",".","."
"-0.11 (-0.56 to  0.34)","0.09 (-0.39 to  0.56)","0.08 (-0.41 to  0.56)","0.44 (-0.05 to  0.92)","0.66 ( 0.15 to  1.16)","0.30 (-0.16 to  0.75)","0.22 (-0.26 to  0.70)","0.73 ( 0.21 to  1.26)","0.65 ( 0.24 to  1.07)","1.10 (-0.15 to  2.34)","0.49 ( 0.04 to  0.93)","seltorexant",".",".",".","-0.20 (-0.69 to  0.28)","."
"-0.63 (-0.99 to -0.27)","-0.44 (-0.82 to -0.05)","-0.45 (-0.85 to -0.04)","-0.08 (-0.48 to  0.31)","0.14 (-0.29 to  0.56)","-0.22 (-0.58 to  0.14)","-0.30 (-0.70 to  0.10)","0.21 (-0.23 to  0.65)","0.13 (-0.18 to  0.44)","0.58 (-0.64 to  1.79)","-0.03 (-0.38 to  0.31)","-0.52 (-1.04 to  0.00)","suvorexant",".",".",".","."
"-0.35 (-0.75 to  0.06)","-0.15 (-0.59 to  0.28)","-0.16 (-0.61 to  0.28)","0.20 (-0.24 to  0.64)","0.42 (-0.05 to  0.88)","0.06 (-0.35 to  0.47)","-0.02 (-0.46 to  0.42)","0.50 ( 0.02 to  0.98)","0.41 ( 0.05 to  0.78)","0.86 (-0.37 to  2.09)","0.25 (-0.15 to  0.65)","-0.24 (-0.79 to  0.31)","0.28 (-0.19 to  0.76)","trazodone",".","0.17 (-0.33 to  0.66)","."
"-0.42 (-0.66 to -0.17)","-0.22 (-0.51 to  0.07)","-0.23 (-0.54 to  0.07)","0.13 (-0.17 to  0.43)","0.35 ( 0.01 to  0.68)","-0.01 (-0.26 to  0.24)","-0.09 (-0.39 to  0.21)","0.43 ( 0.07 to  0.78)","0.35 ( 0.18 to  0.51)","0.79 (-0.40 to  1.98)","0.18 (-0.05 to  0.41)","-0.31 (-0.75 to  0.14)","0.21 (-0.14 to  0.57)","-0.07 (-0.47 to  0.33)","zaleplon","-0.02 (-0.24 to  0.21)","."
"-0.37 (-0.57 to -0.17)","-0.17 (-0.43 to  0.08)","-0.18 (-0.46 to  0.09)","0.18 (-0.09 to  0.44)","0.40 ( 0.09 to  0.71)","0.04 (-0.17 to  0.25)","-0.04 (-0.30 to  0.22)","0.47 ( 0.14 to  0.81)","0.39 ( 0.29 to  0.50)","0.84 (-0.34 to  2.02)","0.23 ( 0.04 to  0.42)","-0.26 (-0.68 to  0.16)","0.26 (-0.06 to  0.59)","-0.02 (-0.39 to  0.35)","0.05 (-0.13 to  0.22)","zolpidem","."
