"BZD-intermediate",".",".",".",".","-1.05 (-1.77 to -0.32)",".",".",".","-0.03 (-0.34 to  0.28)","."
"-0.33 (-0.69 to  0.03)","daridorexant",".",".",".","-0.08 (-0.37 to  0.20)",".",".",".","0.09 (-0.19 to  0.38)","."
"-0.33 (-0.67 to  0.00)","-0.00 (-0.28 to  0.28)","doxepin",".",".","-0.20 (-0.36 to -0.03)",".",".",".",".","."
"-0.29 (-0.60 to  0.01)","0.04 (-0.20 to  0.27)","0.04 (-0.14 to  0.22)","eszopiclone",".","-0.24 (-0.31 to -0.16)",".",".",".",".","."
"-0.39 (-0.69 to -0.09)","-0.06 (-0.30 to  0.18)","-0.06 (-0.25 to  0.13)","-0.10 (-0.22 to  0.02)","lemborexant","-0.09 (-0.19 to  0.01)",".",".",".","0.11 (-0.04 to  0.26)","."
"-0.53 (-0.82 to -0.24)","-0.20 (-0.42 to  0.02)","-0.20 (-0.36 to -0.03)","-0.24 (-0.31 to -0.16)","-0.14 (-0.23 to -0.04)","placebo","-0.06 (-0.21 to  0.09)","0.16 ( 0.05 to  0.28)","0.19 (-0.09 to  0.48)","0.42 ( 0.35 to  0.49)","-0.08 (-0.83 to  0.67)"
"-0.59 (-0.91 to -0.26)","-0.26 (-0.52 to  0.01)","-0.26 (-0.48 to -0.04)","-0.30 (-0.46 to -0.13)","-0.20 (-0.37 to -0.02)","-0.06 (-0.21 to  0.09)","ramelteon",".",".",".","."
"-0.37 (-0.68 to -0.05)","-0.03 (-0.29 to  0.22)","-0.03 (-0.24 to  0.17)","-0.07 (-0.21 to  0.07)","0.03 (-0.12 to  0.18)","0.16 ( 0.05 to  0.28)","0.22 ( 0.04 to  0.41)","suvorexant",".",".","."
"-0.26 (-0.64 to  0.12)","0.07 (-0.27 to  0.40)","0.07 (-0.23 to  0.37)","0.03 (-0.24 to  0.29)","0.13 (-0.14 to  0.40)","0.26 ( 0.01 to  0.52)","0.32 ( 0.03 to  0.62)","0.10 (-0.18 to  0.38)","trazodone","0.07 (-0.23 to  0.36)","."
"-0.12 (-0.41 to  0.16)","0.21 (-0.01 to  0.43)","0.21 ( 0.03 to  0.39)","0.17 ( 0.07 to  0.27)","0.27 ( 0.17 to  0.37)","0.41 ( 0.34 to  0.47)","0.47 ( 0.30 to  0.63)","0.24 ( 0.11 to  0.38)","0.14 (-0.11 to  0.39)","zolpidem","."
"-0.61 (-1.41 to  0.20)","-0.28 (-1.06 to  0.50)","-0.28 (-1.04 to  0.49)","-0.32 (-1.07 to  0.44)","-0.22 (-0.97 to  0.54)","-0.08 (-0.83 to  0.67)","-0.02 (-0.78 to  0.74)","-0.24 (-1.00 to  0.52)","-0.34 (-1.14 to  0.45)","-0.49 (-1.24 to  0.27)","zopiclone"
