"BZD-intermediate",".",".",".",".","-1.05 (-1.87 to -0.22)",".",".",".","-0.03 (-0.52 to  0.47)","."
"-0.39 (-0.98 to  0.19)","daridorexant",".",".",".","-0.08 (-0.56 to  0.40)",".",".",".","0.09 (-0.38 to  0.57)","."
"-0.38 (-0.90 to  0.14)","0.01 (-0.48 to  0.51)","doxepin",".",".","-0.20 (-0.48 to  0.08)",".",".",".",".","."
"-0.36 (-0.83 to  0.11)","0.03 (-0.41 to  0.48)","0.02 (-0.31 to  0.35)","eszopiclone",".","-0.22 (-0.40 to -0.04)",".",".",".",".","."
"-0.50 (-1.00 to -0.01)","-0.11 (-0.58 to  0.36)","-0.13 (-0.49 to  0.24)","-0.15 (-0.45 to  0.15)","lemborexant","-0.04 (-0.30 to  0.22)",".",".",".","0.11 (-0.31 to  0.52)","."
"-0.58 (-1.02 to -0.14)","-0.19 (-0.59 to  0.22)","-0.20 (-0.48 to  0.08)","-0.22 (-0.40 to -0.04)","-0.07 (-0.32 to  0.17)","placebo","-0.05 (-0.36 to  0.26)","0.16 (-0.14 to  0.46)","0.19 (-0.29 to  0.68)","0.38 ( 0.24 to  0.52)","-0.08 (-0.92 to  0.76)"
"-0.63 (-1.16 to -0.09)","-0.23 (-0.75 to  0.28)","-0.25 (-0.67 to  0.17)","-0.27 (-0.63 to  0.09)","-0.12 (-0.52 to  0.27)","-0.05 (-0.36 to  0.26)","ramelteon",".",".",".","."
"-0.42 (-0.95 to  0.11)","-0.02 (-0.53 to  0.48)","-0.04 (-0.45 to  0.37)","-0.06 (-0.40 to  0.29)","0.09 (-0.30 to  0.47)","0.16 (-0.14 to  0.46)","0.21 (-0.22 to  0.64)","suvorexant",".",".","."
"-0.32 (-0.92 to  0.27)","0.07 (-0.51 to  0.65)","0.05 (-0.45 to  0.56)","0.03 (-0.43 to  0.49)","0.18 (-0.30 to  0.66)","0.25 (-0.17 to  0.68)","0.30 (-0.22 to  0.83)","0.09 (-0.43 to  0.61)","trazodone","0.07 (-0.42 to  0.55)","."
"-0.20 (-0.62 to  0.23)","0.20 (-0.21 to  0.60)","0.18 (-0.13 to  0.49)","0.16 (-0.06 to  0.39)","0.31 ( 0.05 to  0.57)","0.38 ( 0.24 to  0.52)","0.43 ( 0.09 to  0.77)","0.22 (-0.11 to  0.55)","0.13 (-0.30 to  0.55)","zolpidem","."
"-0.66 (-1.61 to  0.29)","-0.27 (-1.20 to  0.67)","-0.28 (-1.17 to  0.61)","-0.30 (-1.16 to  0.56)","-0.15 (-1.03 to  0.72)","-0.08 (-0.92 to  0.76)","-0.03 (-0.93 to  0.87)","-0.24 (-1.14 to  0.65)","-0.33 (-1.28 to  0.61)","-0.46 (-1.32 to  0.39)","zopiclone"
