"BZD-intermediate","-0.09 (-0.32 to  0.14)","0.13 ( 0.03 to  0.23)",".",".",".",".",".","-0.32 (-0.76 to  0.13)","0.84 ( 0.71 to  0.96)",".",".",".","-0.00 (-0.36 to  0.35)",".","-0.08 (-0.30 to  0.15)","-0.10 (-0.40 to  0.19)"
"-0.09 (-0.26 to  0.08)","BZD-long","0.14 (-0.12 to  0.41)",".",".",".",".",".",".","0.93 ( 0.68 to  1.18)",".",".",".",".",".",".","1.54 ( 0.47 to  2.61)"
"0.14 ( 0.05 to  0.23)","0.23 ( 0.05 to  0.40)","BZD-short",".",".",".",".",".",".","0.13 (-0.11 to  0.37)",".",".",".",".",".","0.09 (-0.12 to  0.30)","."
"0.30 ( 0.16 to  0.43)","0.39 ( 0.19 to  0.59)","0.16 ( 0.01 to  0.31)","daridorexant",".",".",".",".",".","0.36 ( 0.26 to  0.45)",".",".",".",".",".","0.04 (-0.24 to  0.32)","."
"0.42 ( 0.05 to  0.79)","0.51 ( 0.12 to  0.90)","0.28 (-0.09 to  0.65)","0.12 (-0.24 to  0.49)","diphenydramine",".",".",".",".","0.25 (-0.10 to  0.61)",".",".",".",".",".",".","."
"0.45 ( 0.25 to  0.64)","0.54 ( 0.29 to  0.78)","0.31 ( 0.11 to  0.51)","0.15 (-0.04 to  0.34)","0.03 (-0.36 to  0.42)","doxepin",".",".",".","0.23 ( 0.06 to  0.39)",".",".",".",".",".",".","."
"0.12 (-0.01 to  0.25)","0.21 ( 0.01 to  0.40)","-0.02 (-0.16 to  0.12)","-0.18 (-0.30 to -0.05)","-0.30 (-0.66 to  0.06)","-0.33 (-0.51 to -0.14)","eszopiclone",".",".","0.55 ( 0.47 to  0.63)",".",".",".",".",".",".","."
"0.35 ( 0.21 to  0.48)","0.44 ( 0.24 to  0.64)","0.21 ( 0.06 to  0.36)","0.05 (-0.08 to  0.18)","-0.07 (-0.44 to  0.29)","-0.10 (-0.29 to  0.09)","0.23 ( 0.10 to  0.35)","lemborexant",".","0.28 ( 0.17 to  0.39)",".",".",".",".",".","-0.02 (-0.18 to  0.13)","."
"-0.32 (-0.76 to  0.13)","-0.23 (-0.70 to  0.25)","-0.45 (-0.91 to  0.00)","-0.61 (-1.08 to -0.15)","-0.74 (-1.31 to -0.16)","-0.76 (-1.25 to -0.28)","-0.44 (-0.90 to  0.03)","-0.66 (-1.13 to -0.20)","mirtazapine",".",".",".",".",".",".",".","."
"0.67 ( 0.57 to  0.77)","0.76 ( 0.59 to  0.94)","0.54 ( 0.42 to  0.65)","0.38 ( 0.28 to  0.47)","0.25 (-0.10 to  0.61)","0.23 ( 0.06 to  0.39)","0.55 ( 0.47 to  0.63)","0.33 ( 0.23 to  0.42)","0.99 ( 0.53 to  1.44)","placebo","0.15 (-0.94 to  1.25)","-0.10 (-0.17 to -0.03)","0.01 (-0.11 to  0.13)","-0.17 (-0.42 to  0.08)","-0.11 (-0.21 to -0.02)","-0.46 (-0.53 to -0.40)","0.25 (-0.35 to  0.85)"
"0.83 (-0.27 to  1.92)","0.92 (-0.19 to  2.02)","0.69 (-0.41 to  1.79)","0.53 (-0.57 to  1.63)","0.41 (-0.74 to  1.55)","0.38 (-0.73 to  1.48)","0.71 (-0.39 to  1.80)","0.48 (-0.62 to  1.58)","1.14 (-0.04 to  2.33)","0.15 (-0.94 to  1.25)","quetiapine",".",".",".",".",".","."
"0.57 ( 0.45 to  0.70)","0.66 ( 0.47 to  0.85)","0.44 ( 0.30 to  0.57)","0.28 ( 0.16 to  0.39)","0.15 (-0.21 to  0.51)","0.13 (-0.06 to  0.31)","0.45 ( 0.35 to  0.56)","0.23 ( 0.11 to  0.34)","0.89 ( 0.43 to  1.35)","-0.10 (-0.17 to -0.03)","-0.25 (-1.35 to  0.84)","ramelteon",".",".",".",".","."
"0.69 ( 0.53 to  0.84)","0.77 ( 0.56 to  0.99)","0.55 ( 0.38 to  0.71)","0.39 ( 0.24 to  0.54)","0.27 (-0.11 to  0.64)","0.24 ( 0.03 to  0.44)","0.57 ( 0.42 to  0.71)","0.34 ( 0.19 to  0.49)","1.00 ( 0.53 to  1.47)","0.01 (-0.11 to  0.13)","-0.14 (-1.24 to  0.96)","0.11 (-0.03 to  0.25)","suvorexant",".",".",".","."
"0.28 ( 0.08 to  0.48)","0.37 ( 0.11 to  0.62)","0.14 (-0.07 to  0.36)","-0.02 (-0.23 to  0.20)","-0.14 (-0.54 to  0.26)","-0.17 (-0.42 to  0.09)","0.16 (-0.05 to  0.37)","-0.07 (-0.28 to  0.15)","0.60 ( 0.11 to  1.09)","-0.39 (-0.59 to -0.20)","-0.55 (-1.66 to  0.56)","-0.29 (-0.50 to -0.09)","-0.41 (-0.63 to -0.18)","trazodone",".","0.03 (-0.26 to  0.33)","."
"0.52 ( 0.39 to  0.65)","0.61 ( 0.42 to  0.80)","0.38 ( 0.24 to  0.52)","0.22 ( 0.10 to  0.35)","0.10 (-0.26 to  0.46)","0.07 (-0.11 to  0.26)","0.40 ( 0.29 to  0.52)","0.17 ( 0.05 to  0.30)","0.84 ( 0.38 to  1.30)","-0.15 (-0.24 to -0.07)","-0.31 (-1.40 to  0.79)","-0.05 (-0.16 to  0.06)","-0.16 (-0.31 to -0.02)","0.24 ( 0.03 to  0.45)","zaleplon","-0.28 (-0.40 to -0.16)","."
"0.20 ( 0.09 to  0.31)","0.29 ( 0.11 to  0.47)","0.06 (-0.06 to  0.19)","-0.10 (-0.20 to  0.01)","-0.22 (-0.58 to  0.14)","-0.25 (-0.42 to -0.07)","0.08 (-0.02 to  0.18)","-0.15 (-0.25 to -0.04)","0.52 ( 0.06 to  0.97)","-0.47 (-0.53 to -0.41)","-0.63 (-1.72 to  0.47)","-0.37 (-0.46 to -0.28)","-0.48 (-0.62 to -0.35)","-0.08 (-0.28 to  0.12)","-0.32 (-0.41 to -0.23)","zolpidem","."
"0.11 (-0.15 to  0.38)","0.20 (-0.10 to  0.51)","-0.02 (-0.30 to  0.25)","-0.18 (-0.47 to  0.11)","-0.31 (-0.75 to  0.14)","-0.33 (-0.65 to -0.01)","-0.00 (-0.29 to  0.28)","-0.23 (-0.52 to  0.06)","0.43 (-0.09 to  0.95)","-0.56 (-0.83 to -0.28)","-0.71 (-1.84 to  0.41)","-0.46 (-0.74 to -0.17)","-0.57 (-0.87 to -0.27)","-0.17 (-0.49 to  0.16)","-0.41 (-0.69 to -0.12)","-0.09 (-0.36 to  0.19)","zopiclone"
