"BZD-intermediate","-0.09 (-0.42 to  0.23)","0.16 (-0.11 to  0.43)",".",".",".",".",".","-0.32 (-0.92 to  0.28)","0.77 ( 0.58 to  0.97)",".",".",".","-0.00 (-0.54 to  0.53)",".","-0.07 (-0.44 to  0.29)","-0.13 (-0.57 to  0.31)"
"-0.13 (-0.36 to  0.10)","BZD-long","0.16 (-0.16 to  0.49)",".",".",".",".",".",".","0.90 ( 0.57 to  1.22)",".",".",".",".",".",".","1.54 ( 0.39 to  2.68)"
"0.14 (-0.07 to  0.34)","0.27 ( 0.03 to  0.51)","BZD-short",".",".",".",".",".",".","0.20 (-0.13 to  0.53)",".",".",".",".",".","0.08 (-0.27 to  0.44)","."
"0.26 (-0.03 to  0.55)","0.39 ( 0.06 to  0.73)","0.13 (-0.19 to  0.44)","daridorexant",".",".",".",".",".","0.30 ( 0.04 to  0.56)",".",".",".",".",".","0.04 (-0.45 to  0.53)","."
"0.36 (-0.20 to  0.91)","0.49 (-0.10 to  1.07)","0.22 (-0.35 to  0.79)","0.09 (-0.49 to  0.68)","diphenydramine",".",".",".",".","0.25 (-0.28 to  0.79)",".",".",".",".",".",".","."
"0.36 ( 0.04 to  0.69)","0.50 ( 0.12 to  0.87)","0.23 (-0.12 to  0.58)","0.10 (-0.28 to  0.48)","0.01 (-0.60 to  0.61)","doxepin",".",".",".","0.25 (-0.04 to  0.53)",".",".",".",".",".",".","."
"0.12 (-0.12 to  0.35)","0.25 (-0.04 to  0.54)","-0.02 (-0.29 to  0.25)","-0.14 (-0.45 to  0.16)","-0.24 (-0.80 to  0.32)","-0.25 (-0.58 to  0.09)","eszopiclone",".",".","0.49 ( 0.32 to  0.67)",".",".",".",".",".",".","."
"0.29 (-0.02 to  0.61)","0.43 ( 0.06 to  0.79)","0.16 (-0.19 to  0.50)","0.03 (-0.34 to  0.40)","-0.06 (-0.66 to  0.54)","-0.07 (-0.47 to  0.33)","0.18 (-0.15 to  0.51)","lemborexant",".","0.29 (-0.02 to  0.59)",".",".",".",".",".","-0.02 (-0.45 to  0.41)","."
"-0.32 (-0.92 to  0.28)","-0.18 (-0.83 to  0.46)","-0.45 (-1.08 to  0.18)","-0.58 (-1.24 to  0.09)","-0.67 (-1.49 to  0.14)","-0.68 (-1.36 to  0.00)","-0.43 (-1.08 to  0.21)","-0.61 (-1.29 to  0.07)","mirtazapine",".",".",".",".",".",".",".","."
"0.61 ( 0.45 to  0.77)","0.74 ( 0.51 to  0.98)","0.47 ( 0.27 to  0.68)","0.35 ( 0.10 to  0.59)","0.25 (-0.28 to  0.79)","0.25 (-0.04 to  0.53)","0.49 ( 0.32 to  0.67)","0.31 ( 0.03 to  0.60)","0.93 ( 0.31 to  1.54)","placebo","0.15 (-1.01 to  1.32)","-0.12 (-0.30 to  0.07)","0.03 (-0.28 to  0.33)","-0.11 (-0.51 to  0.28)","-0.13 (-0.32 to  0.07)","-0.40 (-0.52 to -0.28)","0.27 (-0.40 to  0.94)"
"0.76 (-0.41 to  1.94)","0.90 (-0.29 to  2.08)","0.63 (-0.55 to  1.81)","0.50 (-0.69 to  1.69)","0.41 (-0.87 to  1.69)","0.40 (-0.80 to  1.60)","0.64 (-0.53 to  1.82)","0.47 (-0.73 to  1.66)","1.08 (-0.24 to  2.40)","0.15 (-1.01 to  1.32)","quetiapine",".",".",".",".",".","."
"0.49 ( 0.25 to  0.74)","0.63 ( 0.33 to  0.93)","0.36 ( 0.08 to  0.64)","0.23 (-0.08 to  0.54)","0.14 (-0.43 to  0.70)","0.13 (-0.21 to  0.47)","0.38 ( 0.12 to  0.63)","0.20 (-0.14 to  0.54)","0.81 ( 0.16 to  1.46)","-0.12 (-0.30 to  0.07)","-0.27 (-1.45 to  0.91)","ramelteon",".",".",".",".","."
"0.64 ( 0.29 to  0.98)","0.77 ( 0.38 to  1.16)","0.50 ( 0.13 to  0.87)","0.37 (-0.02 to  0.77)","0.28 (-0.34 to  0.90)","0.27 (-0.15 to  0.69)","0.52 ( 0.16 to  0.87)","0.34 (-0.08 to  0.76)","0.95 ( 0.26 to  1.64)","0.03 (-0.28 to  0.33)","-0.13 (-1.33 to  1.08)","0.14 (-0.22 to  0.50)","suvorexant",".",".",".","."
"0.28 (-0.04 to  0.60)","0.41 ( 0.04 to  0.79)","0.14 (-0.21 to  0.50)","0.02 (-0.37 to  0.41)","-0.08 (-0.69 to  0.54)","-0.08 (-0.50 to  0.33)","0.16 (-0.19 to  0.51)","-0.02 (-0.43 to  0.40)","0.60 (-0.08 to  1.27)","-0.33 (-0.63 to -0.03)","-0.48 (-1.69 to  0.72)","-0.21 (-0.57 to  0.14)","-0.36 (-0.79 to  0.08)","trazodone",".","0.03 (-0.46 to  0.53)","."
"0.46 ( 0.23 to  0.68)","0.59 ( 0.30 to  0.88)","0.32 ( 0.06 to  0.58)","0.19 (-0.10 to  0.49)","0.10 (-0.46 to  0.66)","0.09 (-0.24 to  0.43)","0.34 ( 0.09 to  0.58)","0.16 (-0.16 to  0.49)","0.77 ( 0.13 to  1.41)","-0.15 (-0.32 to  0.02)","-0.31 (-1.48 to  0.87)","-0.04 (-0.29 to  0.21)","-0.18 (-0.53 to  0.17)","0.18 (-0.17 to  0.52)","zaleplon","-0.27 (-0.51 to -0.04)","."
"0.18 ( 0.01 to  0.36)","0.32 ( 0.06 to  0.57)","0.05 (-0.17 to  0.26)","-0.08 (-0.34 to  0.18)","-0.17 (-0.72 to  0.37)","-0.18 (-0.49 to  0.13)","0.07 (-0.14 to  0.27)","-0.11 (-0.40 to  0.18)","0.50 (-0.12 to  1.12)","-0.43 (-0.54 to -0.31)","-0.58 (-1.75 to  0.59)","-0.31 (-0.53 to -0.09)","-0.45 (-0.78 to -0.13)","-0.10 (-0.41 to  0.22)","-0.27 (-0.45 to -0.09)","zolpidem","."
"0.21 (-0.16 to  0.58)","0.34 (-0.08 to  0.76)","0.07 (-0.33 to  0.48)","-0.05 (-0.50 to  0.40)","-0.15 (-0.80 to  0.51)","-0.15 (-0.63 to  0.32)","0.09 (-0.33 to  0.51)","-0.09 (-0.56 to  0.39)","0.53 (-0.18 to  1.23)","-0.40 (-0.78 to -0.02)","-0.55 (-1.78 to  0.67)","-0.28 (-0.71 to  0.14)","-0.43 (-0.92 to  0.06)","-0.07 (-0.55 to  0.41)","-0.25 (-0.66 to  0.17)","0.03 (-0.37 to  0.42)","zopiclone"
