"BZD-intermediate","-0.09 (-0.39 to  0.21)","0.21 (-0.11 to  0.52)",".",".",".",".","0.78 ( 0.60 to  0.96)",".",".",".",".",".",".","-0.07 (-0.40 to  0.25)","-0.13 (-0.54 to  0.27)"
"-0.08 (-0.30 to  0.14)","BZD-long","0.18 (-0.13 to  0.49)",".",".",".",".","0.87 ( 0.57 to  1.17)",".",".",".",".",".",".",".","0.45 (-0.59 to  1.49)"
"0.17 (-0.04 to  0.38)","0.26 ( 0.02 to  0.49)","BZD-short",".",".",".",".","0.23 (-0.07 to  0.54)",".",".",".",".",".",".","0.08 (-0.23 to  0.40)","."
"0.35 ( 0.10 to  0.61)","0.44 ( 0.13 to  0.74)","0.18 (-0.11 to  0.47)","daridorexant",".",".",".","0.24 ( 0.02 to  0.46)",".",".",".",".",".",".","0.19 (-0.26 to  0.64)","."
"0.42 ( 0.12 to  0.72)","0.50 ( 0.16 to  0.84)","0.24 (-0.08 to  0.57)","0.06 (-0.27 to  0.40)","doxepin",".",".","0.23 (-0.02 to  0.49)",".",".",".",".",".",".",".","."
"0.18 (-0.03 to  0.40)","0.26 ( 0.00 to  0.53)","0.01 (-0.24 to  0.26)","-0.17 (-0.43 to  0.09)","-0.24 (-0.53 to  0.06)","eszopiclone",".","0.47 ( 0.32 to  0.62)",".",".",".",".",".",".",".","."
"0.24 (-0.02 to  0.50)","0.32 ( 0.02 to  0.63)","0.07 (-0.22 to  0.36)","-0.11 (-0.41 to  0.19)","-0.18 (-0.51 to  0.16)","0.06 (-0.20 to  0.32)","lemborexant","0.42 ( 0.19 to  0.64)",".",".",".",".",".",".","-0.03 (-0.39 to  0.33)","."
"0.65 ( 0.50 to  0.80)","0.73 ( 0.51 to  0.95)","0.48 ( 0.28 to  0.68)","0.30 ( 0.09 to  0.51)","0.23 (-0.02 to  0.49)","0.47 ( 0.32 to  0.62)","0.41 ( 0.20 to  0.62)","placebo","0.15 (-0.99 to  1.29)","-0.12 (-0.28 to  0.05)","-0.39 (-0.82 to  0.03)","-0.23 (-0.49 to  0.03)","0.08 (-0.27 to  0.44)","-0.15 (-0.32 to  0.01)","-0.38 (-0.48 to -0.27)","0.05 (-0.60 to  0.69)"
"0.81 (-0.34 to  1.95)","0.89 (-0.27 to  2.05)","0.63 (-0.53 to  1.79)","0.45 (-0.71 to  1.61)","0.39 (-0.78 to  1.55)","0.62 (-0.53 to  1.77)","0.56 (-0.60 to  1.72)","0.15 (-0.99 to  1.29)","quetiapine",".",".",".",".",".",".","."
"0.53 ( 0.31 to  0.76)","0.61 ( 0.34 to  0.89)","0.36 ( 0.10 to  0.62)","0.18 (-0.09 to  0.45)","0.11 (-0.19 to  0.42)","0.35 ( 0.13 to  0.58)","0.29 ( 0.02 to  0.56)","-0.12 (-0.28 to  0.05)","-0.27 (-1.42 to  0.88)","ramelteon",".",".",".",".",".","."
"0.20 (-0.19 to  0.59)","0.28 (-0.14 to  0.70)","0.03 (-0.38 to  0.43)","-0.15 (-0.57 to  0.26)","-0.22 (-0.66 to  0.22)","0.02 (-0.37 to  0.41)","-0.04 (-0.46 to  0.38)","-0.45 (-0.81 to -0.09)","-0.60 (-1.80 to  0.59)","-0.33 (-0.73 to  0.06)","seltorexant",".",".",".","0.11 (-0.32 to  0.54)","."
"0.42 ( 0.12 to  0.72)","0.50 ( 0.16 to  0.84)","0.25 (-0.08 to  0.57)","0.07 (-0.27 to  0.40)","0.00 (-0.36 to  0.37)","0.24 (-0.06 to  0.54)","0.18 (-0.16 to  0.51)","-0.23 (-0.49 to  0.03)","-0.39 (-1.55 to  0.78)","-0.11 (-0.42 to  0.19)","0.22 (-0.22 to  0.66)","suvorexant",".",".",".","."
"0.63 ( 0.28 to  0.99)","0.72 ( 0.32 to  1.11)","0.46 ( 0.08 to  0.84)","0.28 (-0.11 to  0.67)","0.22 (-0.20 to  0.63)","0.45 ( 0.09 to  0.81)","0.39 ( 0.01 to  0.78)","-0.02 (-0.34 to  0.31)","-0.17 (-1.36 to  1.01)","0.10 (-0.26 to  0.47)","0.43 (-0.05 to  0.92)","0.21 (-0.20 to  0.63)","trazodone",".","-0.03 (-0.47 to  0.40)","."
"0.47 ( 0.27 to  0.68)","0.55 ( 0.29 to  0.82)","0.30 ( 0.06 to  0.54)","0.12 (-0.13 to  0.37)","0.06 (-0.24 to  0.35)","0.29 ( 0.08 to  0.50)","0.23 (-0.02 to  0.49)","-0.18 (-0.32 to -0.03)","-0.33 (-1.48 to  0.82)","-0.06 (-0.28 to  0.16)","0.27 (-0.11 to  0.66)","0.05 (-0.24 to  0.35)","-0.16 (-0.51 to  0.19)","zaleplon","-0.23 (-0.43 to -0.04)","."
"0.25 ( 0.09 to  0.42)","0.33 ( 0.10 to  0.56)","0.08 (-0.13 to  0.28)","-0.10 (-0.33 to  0.12)","-0.17 (-0.44 to  0.11)","0.07 (-0.11 to  0.25)","0.01 (-0.21 to  0.23)","-0.40 (-0.50 to -0.31)","-0.55 (-1.70 to  0.59)","-0.28 (-0.47 to -0.09)","0.05 (-0.31 to  0.41)","-0.17 (-0.44 to  0.11)","-0.38 (-0.71 to -0.05)","-0.22 (-0.37 to -0.07)","zolpidem","."
"0.09 (-0.25 to  0.43)","0.17 (-0.22 to  0.56)","-0.08 (-0.47 to  0.30)","-0.27 (-0.67 to  0.14)","-0.33 (-0.76 to  0.11)","-0.09 (-0.48 to  0.29)","-0.15 (-0.56 to  0.26)","-0.56 (-0.91 to -0.21)","-0.72 (-1.91 to  0.48)","-0.44 (-0.83 to -0.06)","-0.11 (-0.61 to  0.39)","-0.33 (-0.77 to  0.11)","-0.55 (-1.02 to -0.07)","-0.38 (-0.76 to -0.01)","-0.16 (-0.52 to  0.20)","zopiclone"
