"BZD-intermediate","0.27 (-0.06 to  0.60)","-0.38 (-0.68 to -0.08)",".",".","-0.55 (-0.83 to -0.27)",".",".","-0.14 (-0.50 to  0.22)",".",".","0.48 ( 0.18 to  0.78)"
"0.08 (-0.15 to  0.30)","BZD-long","0.26 (-0.07 to  0.60)",".",".","-0.61 (-0.96 to -0.26)",".",".",".",".",".","-0.04 (-0.43 to  0.35)"
"-0.02 (-0.24 to  0.21)","-0.09 (-0.34 to  0.15)","BZD-short",".",".","-0.69 (-1.11 to -0.27)",".",".",".",".",".","."
"-0.59 (-0.82 to -0.36)","-0.67 (-0.95 to -0.38)","-0.57 (-0.85 to -0.29)","daridorexant",".","0.05 (-0.06 to  0.15)",".",".",".",".",".","."
"-0.25 (-0.49 to -0.02)","-0.33 (-0.62 to -0.05)","-0.24 (-0.52 to  0.04)","0.34 ( 0.19 to  0.48)","eszopiclone","-0.29 (-0.39 to -0.18)",".",".",".",".",".","."
"-0.54 (-0.75 to -0.33)","-0.62 (-0.88 to -0.35)","-0.52 (-0.78 to -0.27)","0.05 (-0.06 to  0.15)","-0.29 (-0.39 to -0.18)","placebo","-0.02 (-0.13 to  0.08)","0.00 (-0.12 to  0.12)","0.25 ( 0.00 to  0.50)","0.13 ( 0.03 to  0.23)","0.15 ( 0.08 to  0.22)","."
"-0.56 (-0.80 to -0.33)","-0.64 (-0.92 to -0.35)","-0.55 (-0.83 to -0.27)","0.03 (-0.12 to  0.17)","-0.31 (-0.46 to -0.16)","-0.02 (-0.13 to  0.08)","ramelteon",".",".",".",".","."
"-0.54 (-0.78 to -0.30)","-0.62 (-0.91 to -0.33)","-0.52 (-0.81 to -0.24)","0.05 (-0.11 to  0.20)","-0.29 (-0.45 to -0.13)","-0.00 (-0.12 to  0.12)","0.02 (-0.14 to  0.18)","suvorexant",".",".",".","."
"-0.26 (-0.50 to -0.02)","-0.34 (-0.64 to -0.03)","-0.24 (-0.54 to  0.06)","0.33 ( 0.10 to  0.56)","-0.01 (-0.23 to  0.22)","0.28 ( 0.08 to  0.48)","0.30 ( 0.08 to  0.53)","0.28 ( 0.05 to  0.51)","trazodone",".","-0.07 (-0.36 to  0.22)","."
"-0.41 (-0.64 to -0.18)","-0.49 (-0.77 to -0.21)","-0.39 (-0.67 to -0.12)","0.18 ( 0.04 to  0.32)","-0.16 (-0.30 to -0.02)","0.13 ( 0.04 to  0.22)","0.15 ( 0.01 to  0.29)","0.13 (-0.02 to  0.28)","-0.15 (-0.37 to  0.07)","zaleplon","0.06 (-0.07 to  0.20)","."
"-0.38 (-0.60 to -0.16)","-0.45 (-0.73 to -0.18)","-0.36 (-0.63 to -0.09)","0.21 ( 0.09 to  0.34)","-0.12 (-0.25 to  0.00)","0.17 ( 0.10 to  0.23)","0.19 ( 0.06 to  0.31)","0.17 ( 0.03 to  0.30)","-0.12 (-0.32 to  0.09)","0.04 (-0.06 to  0.13)","zolpidem","."
"0.31 ( 0.06 to  0.56)","0.24 (-0.04 to  0.51)","0.33 ( 0.02 to  0.64)","0.90 ( 0.57 to  1.23)","0.57 ( 0.24 to  0.90)","0.86 ( 0.54 to  1.17)","0.88 ( 0.55 to  1.21)","0.86 ( 0.52 to  1.19)","0.57 ( 0.23 to  0.91)","0.73 ( 0.40 to  1.05)","0.69 ( 0.37 to  1.01)","zopiclone"
