"BZD-intermediate","0.27 (-0.16 to  0.70)","-0.38 (-0.78 to  0.03)",".",".","-0.55 (-0.90 to -0.20)",".",".","-0.14 (-0.59 to  0.31)",".",".","0.50 ( 0.12 to  0.88)"
"0.05 (-0.23 to  0.34)","BZD-long","0.28 (-0.09 to  0.65)",".",".","-0.55 (-0.97 to -0.14)",".",".",".",".",".","-0.04 (-0.52 to  0.43)"
"0.04 (-0.24 to  0.32)","-0.01 (-0.30 to  0.28)","BZD-short",".",".","-0.66 (-1.13 to -0.19)",".",".",".",".",".","."
"-0.58 (-0.92 to -0.24)","-0.63 (-1.01 to -0.25)","-0.62 (-1.00 to -0.24)","daridorexant",".","0.05 (-0.17 to  0.27)",".",".",".",".",".","."
"-0.25 (-0.56 to  0.06)","-0.30 (-0.66 to  0.05)","-0.29 (-0.64 to  0.06)","0.33 ( 0.05 to  0.60)","eszopiclone","-0.28 (-0.45 to -0.12)",".",".",".",".",".","."
"-0.53 (-0.79 to -0.27)","-0.58 (-0.90 to -0.27)","-0.57 (-0.88 to -0.26)","0.05 (-0.17 to  0.27)","-0.28 (-0.45 to -0.12)","placebo","-0.05 (-0.27 to  0.17)","0.00 (-0.23 to  0.23)","0.24 (-0.09 to  0.56)","0.13 (-0.03 to  0.29)","0.17 ( 0.06 to  0.27)","."
"-0.58 (-0.92 to -0.24)","-0.63 (-1.02 to -0.25)","-0.62 (-1.00 to -0.24)","-0.00 (-0.31 to  0.31)","-0.33 (-0.61 to -0.05)","-0.05 (-0.27 to  0.17)","ramelteon",".",".",".",".","."
"-0.53 (-0.87 to -0.19)","-0.58 (-0.97 to -0.20)","-0.57 (-0.95 to -0.19)","0.05 (-0.27 to  0.36)","-0.28 (-0.56 to  0.00)","0.00 (-0.23 to  0.23)","0.05 (-0.27 to  0.37)","suvorexant",".",".",".","."
"-0.25 (-0.56 to  0.06)","-0.31 (-0.68 to  0.07)","-0.29 (-0.67 to  0.08)","0.32 (-0.02 to  0.67)","-0.00 (-0.31 to  0.31)","0.28 ( 0.02 to  0.54)","0.33 (-0.02 to  0.67)","0.28 (-0.07 to  0.62)","trazodone",".","-0.07 (-0.47 to  0.33)","."
"-0.40 (-0.69 to -0.10)","-0.45 (-0.80 to -0.10)","-0.44 (-0.78 to -0.10)","0.18 (-0.08 to  0.44)","-0.15 (-0.37 to  0.07)","0.13 (-0.01 to  0.28)","0.18 (-0.08 to  0.45)","0.13 (-0.13 to  0.40)","-0.14 (-0.44 to  0.15)","zaleplon","0.06 (-0.15 to  0.27)","."
"-0.35 (-0.63 to -0.08)","-0.41 (-0.74 to -0.08)","-0.39 (-0.72 to -0.07)","0.22 (-0.02 to  0.47)","-0.10 (-0.30 to  0.09)","0.18 ( 0.07 to  0.28)","0.23 (-0.02 to  0.47)","0.18 (-0.07 to  0.43)","-0.10 (-0.37 to  0.17)","0.04 (-0.12 to  0.20)","zolpidem","."
"0.31 ( 0.00 to  0.63)","0.26 (-0.08 to  0.60)","0.27 (-0.12 to  0.66)","0.89 ( 0.45 to  1.33)","0.56 ( 0.14 to  0.98)","0.84 ( 0.46 to  1.23)","0.89 ( 0.45 to  1.34)","0.84 ( 0.40 to  1.29)","0.56 ( 0.14 to  0.99)","0.71 ( 0.30 to  1.12)","0.67 ( 0.27 to  1.06)","zopiclone"
