"BZD-intermediate","0.21 (-0.12 to  0.54)","-0.38 (-0.68 to -0.08)",".",".","-0.47 (-0.75 to -0.19)",".",".",".",".",".",".","0.42 ( 0.12 to  0.72)"
"0.05 (-0.16 to  0.27)","BZD-long","-0.05 (-0.33 to  0.23)",".",".","-0.45 (-0.74 to -0.17)",".",".",".",".",".",".","-0.04 (-0.43 to  0.35)"
"-0.12 (-0.34 to  0.10)","-0.18 (-0.40 to  0.04)","BZD-short",".",".","-0.35 (-0.68 to -0.01)",".",".",".",".",".",".","."
"-0.53 (-0.78 to -0.28)","-0.58 (-0.85 to -0.32)","-0.41 (-0.67 to -0.14)","daridorexant",".","0.05 (-0.06 to  0.15)",".",".",".",".",".",".","."
"-0.20 (-0.45 to  0.05)","-0.25 (-0.52 to  0.01)","-0.08 (-0.34 to  0.19)","0.33 ( 0.18 to  0.48)","eszopiclone","-0.29 (-0.39 to -0.18)",".",".",".",".",".",".","."
"-0.48 (-0.71 to -0.26)","-0.54 (-0.78 to -0.30)","-0.36 (-0.61 to -0.12)","0.05 (-0.06 to  0.15)","-0.29 (-0.39 to -0.18)","placebo","-0.16 (-0.35 to  0.02)","0.06 (-0.21 to  0.33)","0.00 (-0.12 to  0.12)","0.27 ( 0.02 to  0.52)","0.12 ( 0.02 to  0.22)","0.17 ( 0.10 to  0.24)","."
"-0.65 (-0.94 to -0.35)","-0.70 (-1.00 to -0.40)","-0.52 (-0.83 to -0.22)","-0.12 (-0.33 to  0.10)","-0.45 (-0.66 to -0.23)","-0.16 (-0.35 to  0.02)","ramelteon",".",".",".",".",".","."
"-0.46 (-0.77 to -0.14)","-0.51 (-0.83 to -0.18)","-0.33 (-0.66 to -0.01)","0.08 (-0.17 to  0.32)","-0.26 (-0.50 to -0.01)","0.03 (-0.19 to  0.25)","0.19 (-0.10 to  0.48)","seltorexant",".",".",".","0.18 (-0.09 to  0.46)","."
"-0.48 (-0.74 to -0.23)","-0.54 (-0.81 to -0.27)","-0.36 (-0.63 to -0.09)","0.05 (-0.11 to  0.20)","-0.29 (-0.44 to -0.13)","-0.00 (-0.12 to  0.12)","0.16 (-0.06 to  0.38)","-0.03 (-0.28 to  0.22)","suvorexant",".",".",".","."
"-0.23 (-0.55 to  0.10)","-0.28 (-0.61 to  0.05)","-0.10 (-0.44 to  0.23)","0.31 ( 0.06 to  0.56)","-0.03 (-0.28 to  0.22)","0.26 ( 0.03 to  0.49)","0.42 ( 0.13 to  0.71)","0.23 (-0.08 to  0.54)","0.26 ( 0.00 to  0.51)","trazodone",".","-0.07 (-0.37 to  0.22)","."
"-0.35 (-0.59 to -0.10)","-0.40 (-0.66 to -0.15)","-0.23 (-0.49 to  0.03)","0.18 ( 0.05 to  0.32)","-0.15 (-0.29 to -0.01)","0.14 ( 0.05 to  0.23)","0.30 ( 0.09 to  0.50)","0.11 (-0.13 to  0.34)","0.14 (-0.01 to  0.28)","-0.12 (-0.36 to  0.12)","zaleplon","0.04 (-0.09 to  0.17)","."
"-0.30 (-0.54 to -0.07)","-0.36 (-0.61 to -0.11)","-0.18 (-0.43 to  0.07)","0.23 ( 0.10 to  0.35)","-0.11 (-0.23 to  0.02)","0.18 ( 0.11 to  0.25)","0.34 ( 0.15 to  0.54)","0.15 (-0.07 to  0.37)","0.18 ( 0.04 to  0.31)","-0.08 (-0.31 to  0.15)","0.04 (-0.05 to  0.14)","zolpidem","."
"0.27 ( 0.02 to  0.52)","0.22 (-0.06 to  0.49)","0.39 ( 0.09 to  0.70)","0.80 ( 0.47 to  1.13)","0.47 ( 0.14 to  0.80)","0.75 ( 0.44 to  1.07)","0.92 ( 0.55 to  1.28)","0.72 ( 0.34 to  1.11)","0.75 ( 0.42 to  1.09)","0.50 ( 0.11 to  0.88)","0.62 ( 0.29 to  0.94)","0.57 ( 0.25 to  0.89)","zopiclone"
