"BZD-intermediate","0.21 (-0.30 to  0.72)","-0.38 (-0.86 to  0.11)",".",".","-0.48 (-0.88 to -0.08)",".",".",".",".",".",".","0.42 (-0.01 to  0.85)"
"0.02 (-0.30 to  0.33)","BZD-long","-0.01 (-0.34 to  0.33)",".",".","-0.41 (-0.78 to -0.04)",".",".",".",".",".",".","-0.04 (-0.59 to  0.50)"
"-0.07 (-0.39 to  0.25)","-0.09 (-0.38 to  0.19)","BZD-short",".",".","-0.32 (-0.72 to  0.09)",".",".",".",".",".",".","."
"-0.51 (-0.94 to -0.08)","-0.53 (-0.96 to -0.10)","-0.44 (-0.86 to -0.01)","daridorexant",".","0.05 (-0.24 to  0.34)",".",".",".",".",".",".","."
"-0.18 (-0.56 to  0.20)","-0.20 (-0.57 to  0.18)","-0.10 (-0.48 to  0.27)","0.33 (-0.02 to  0.69)","eszopiclone","-0.28 (-0.49 to -0.08)",".",".",".",".",".",".","."
"-0.46 (-0.78 to -0.14)","-0.48 (-0.80 to -0.17)","-0.39 (-0.70 to -0.07)","0.05 (-0.24 to  0.34)","-0.28 (-0.49 to -0.08)","placebo","-0.16 (-0.59 to  0.26)","0.06 (-0.41 to  0.53)","0.00 (-0.29 to  0.29)","0.26 (-0.13 to  0.64)","0.11 (-0.08 to  0.31)","0.15 ( 0.03 to  0.28)","."
"-0.62 (-1.16 to -0.09)","-0.64 (-1.17 to -0.12)","-0.55 (-1.08 to -0.02)","-0.12 (-0.63 to  0.40)","-0.45 (-0.92 to  0.03)","-0.16 (-0.59 to  0.26)","ramelteon",".",".",".",".",".","."
"-0.45 (-0.96 to  0.07)","-0.47 (-0.97 to  0.04)","-0.37 (-0.88 to  0.14)","0.06 (-0.43 to  0.56)","-0.27 (-0.72 to  0.18)","0.02 (-0.38 to  0.42)","0.18 (-0.40 to  0.76)","seltorexant",".",".",".","0.18 (-0.29 to  0.65)","."
"-0.46 (-0.90 to -0.03)","-0.48 (-0.91 to -0.05)","-0.39 (-0.82 to  0.04)","0.05 (-0.37 to  0.46)","-0.28 (-0.64 to  0.08)","0.00 (-0.29 to  0.29)","0.16 (-0.35 to  0.68)","-0.02 (-0.51 to  0.48)","suvorexant",".",".",".","."
"-0.22 (-0.70 to  0.25)","-0.24 (-0.71 to  0.23)","-0.15 (-0.62 to  0.33)","0.29 (-0.17 to  0.74)","-0.04 (-0.45 to  0.36)","0.24 (-0.11 to  0.59)","0.40 (-0.15 to  0.95)","0.22 (-0.30 to  0.75)","0.24 (-0.22 to  0.70)","trazodone",".","-0.07 (-0.56 to  0.41)","."
"-0.33 (-0.70 to  0.04)","-0.35 (-0.71 to  0.01)","-0.25 (-0.62 to  0.11)","0.18 (-0.16 to  0.52)","-0.15 (-0.42 to  0.12)","0.13 (-0.05 to  0.31)","0.30 (-0.17 to  0.76)","0.12 (-0.32 to  0.55)","0.13 (-0.21 to  0.48)","-0.11 (-0.50 to  0.28)","zaleplon","0.02 (-0.22 to  0.27)","."
"-0.31 (-0.65 to  0.04)","-0.32 (-0.66 to  0.01)","-0.23 (-0.57 to  0.11)","0.20 (-0.11 to  0.52)","-0.13 (-0.37 to  0.11)","0.16 ( 0.03 to  0.28)","0.32 (-0.12 to  0.76)","0.14 (-0.26 to  0.54)","0.16 (-0.16 to  0.48)","-0.08 (-0.44 to  0.27)","0.02 (-0.17 to  0.21)","zolpidem","."
"0.25 (-0.11 to  0.61)","0.23 (-0.16 to  0.62)","0.32 (-0.11 to  0.75)","0.76 ( 0.23 to  1.28)","0.43 (-0.06 to  0.91)","0.71 ( 0.27 to  1.15)","0.87 ( 0.26 to  1.48)","0.69 ( 0.10 to  1.29)","0.71 ( 0.18 to  1.24)","0.47 (-0.09 to  1.03)","0.58 ( 0.10 to  1.05)","0.55 ( 0.10 to  1.01)","zopiclone"
