"BZD-intermediate","1.16 (-0.07 to  2.38)","-0.13 (-0.74 to  0.49)",".",".",".",".",".",".",".","."
"0.40 (-0.30 to  1.10)","BZD-long","-1.13 (-2.14 to -0.13)",".",".",".","0.51 (-0.14 to  1.16)",".",".",".","0.63 (-0.64 to  1.90)"
"0.06 (-0.50 to  0.62)","-0.34 (-0.88 to  0.20)","BZD-short",".",".",".","0.32 (-0.03 to  0.67)",".","-0.32 (-0.75 to  0.11)","-0.10 (-0.60 to  0.39)","."
"0.24 (-0.39 to  0.87)","-0.16 (-0.70 to  0.37)","0.18 (-0.15 to  0.50)","daridorexant",".",".","0.13 ( 0.02 to  0.23)",".",".",".","."
"0.08 (-0.59 to  0.75)","-0.32 (-0.90 to  0.25)","0.02 (-0.37 to  0.41)","-0.16 (-0.43 to  0.11)","eszopiclone",".","0.28 ( 0.03 to  0.53)",".",".",".","."
"0.12 (-0.76 to  1.00)","-0.28 (-1.09 to  0.53)","0.06 (-0.63 to  0.75)","-0.12 (-0.75 to  0.51)","0.04 (-0.63 to  0.71)","melatonin","0.24 (-0.38 to  0.86)",".",".",".","."
"0.36 (-0.25 to  0.98)","-0.04 (-0.56 to  0.48)","0.30 ( 0.00 to  0.60)","0.13 ( 0.02 to  0.23)","0.28 ( 0.03 to  0.53)","0.24 (-0.38 to  0.86)","placebo","0.04 (-0.05 to  0.14)","-0.29 (-0.59 to  0.01)","-0.22 (-0.42 to -0.01)","."
"0.41 (-0.22 to  1.03)","0.00 (-0.53 to  0.53)","0.34 ( 0.03 to  0.66)","0.17 ( 0.02 to  0.31)","0.33 ( 0.06 to  0.59)","0.28 (-0.34 to  0.91)","0.04 (-0.05 to  0.14)","ramelteon",".",".","."
"-0.01 (-0.65 to  0.64)","-0.41 (-0.99 to  0.16)","-0.07 (-0.41 to  0.27)","-0.25 (-0.55 to  0.05)","-0.09 (-0.46 to  0.28)","-0.13 (-0.81 to  0.55)","-0.37 (-0.65 to -0.09)","-0.41 (-0.71 to -0.12)","zaleplon",".","."
"0.15 (-0.49 to  0.79)","-0.25 (-0.81 to  0.30)","0.09 (-0.25 to  0.42)","-0.09 (-0.32 to  0.14)","0.07 (-0.25 to  0.39)","0.03 (-0.63 to  0.68)","-0.22 (-0.42 to -0.01)","-0.26 (-0.48 to -0.03)","0.16 (-0.18 to  0.49)","zolpidem","."
"1.03 (-0.42 to  2.48)","0.63 (-0.64 to  1.90)","0.97 (-0.41 to  2.35)","0.79 (-0.58 to  2.17)","0.95 (-0.45 to  2.34)","0.91 (-0.60 to  2.42)","0.67 (-0.71 to  2.04)","0.62 (-0.75 to  2.00)","1.04 (-0.35 to  2.43)","0.88 (-0.50 to  2.27)","zopiclone"
