"BZD-intermediate","1.16 (-0.13 to  2.44)","-0.07 (-0.76 to  0.61)",".",".",".",".",".",".",".","."
"0.55 (-0.22 to  1.32)","BZD-long","-1.19 (-2.24 to -0.14)",".",".",".","0.51 (-0.25 to  1.26)",".",".",".","0.63 (-0.70 to  1.95)"
"0.10 (-0.52 to  0.72)","-0.45 (-1.05 to  0.16)","BZD-short",".",".",".","0.32 (-0.13 to  0.76)",".","-0.32 (-0.90 to  0.26)","-0.10 (-0.73 to  0.52)","."
"0.34 (-0.42 to  1.10)","-0.21 (-0.86 to  0.45)","0.24 (-0.24 to  0.72)","daridorexant",".",".","0.12 (-0.18 to  0.41)",".",".",".","."
"0.18 (-0.66 to  1.02)","-0.37 (-1.12 to  0.38)","0.08 (-0.52 to  0.67)","-0.17 (-0.71 to  0.38)","eszopiclone",".","0.28 (-0.18 to  0.74)",".",".",".","."
"0.22 (-0.80 to  1.23)","-0.33 (-1.27 to  0.61)","0.12 (-0.71 to  0.94)","-0.13 (-0.91 to  0.66)","0.04 (-0.82 to  0.90)","melatonin","0.24 (-0.49 to  0.97)",".",".",".","."
"0.46 (-0.24 to  1.16)","-0.09 (-0.68 to  0.50)","0.36 (-0.02 to  0.74)","0.12 (-0.18 to  0.41)","0.28 (-0.18 to  0.74)","0.24 (-0.49 to  0.97)","placebo","0.05 (-0.18 to  0.28)","-0.29 (-0.70 to  0.11)","-0.26 (-0.56 to  0.03)","."
"0.51 (-0.23 to  1.25)","-0.04 (-0.67 to  0.59)","0.41 (-0.03 to  0.85)","0.17 (-0.20 to  0.54)","0.33 (-0.18 to  0.85)","0.29 (-0.47 to  1.06)","0.05 (-0.18 to  0.28)","ramelteon",".",".","."
"0.07 (-0.68 to  0.82)","-0.48 (-1.16 to  0.20)","-0.03 (-0.49 to  0.43)","-0.27 (-0.76 to  0.21)","-0.11 (-0.70 to  0.49)","-0.15 (-0.97 to  0.68)","-0.39 (-0.77 to -0.01)","-0.44 (-0.89 to  0.00)","zaleplon",".","."
"0.20 (-0.54 to  0.93)","-0.35 (-0.99 to  0.29)","0.10 (-0.34 to  0.53)","-0.15 (-0.56 to  0.27)","0.02 (-0.52 to  0.56)","-0.02 (-0.81 to  0.77)","-0.26 (-0.55 to  0.02)","-0.31 (-0.68 to  0.05)","0.13 (-0.34 to  0.59)","zolpidem","."
"1.18 (-0.35 to  2.71)","0.63 (-0.70 to  1.95)","1.08 (-0.38 to  2.53)","0.83 (-0.65 to  2.32)","1.00 (-0.52 to  2.52)","0.96 (-0.67 to  2.58)","0.72 (-0.74 to  2.17)","0.67 (-0.80 to  2.13)","1.11 (-0.38 to  2.60)","0.98 (-0.50 to  2.45)","zopiclone"
