"BZD-intermediate","0.16 (-0.97 to  1.29)","-0.17 (-1.31 to  0.96)",".",".",".",".",".",".","."
"-0.02 (-0.90 to  0.86)","BZD-long","0.12 (-0.68 to  0.93)",".",".",".",".",".",".","0.25 (-0.99 to  1.50)"
"0.01 (-0.87 to  0.89)","0.03 (-0.68 to  0.75)","BZD-short",".",".",".","0.26 (-0.23 to  0.75)",".","0.03 (-0.46 to  0.52)","."
"-0.05 (-1.04 to  0.94)","-0.03 (-0.88 to  0.82)","-0.06 (-0.52 to  0.40)","daridorexant",".",".","0.22 ( 0.11 to  0.33)",".",".","."
"0.12 (-0.89 to  1.13)","0.14 (-0.74 to  1.02)","0.11 (-0.40 to  0.62)","0.17 (-0.10 to  0.44)","eszopiclone",".","0.05 (-0.20 to  0.30)",".",".","."
"0.06 (-1.10 to  1.22)","0.08 (-0.97 to  1.13)","0.05 (-0.71 to  0.81)","0.11 (-0.52 to  0.74)","-0.06 (-0.73 to  0.61)","melatonin","0.11 (-0.51 to  0.73)",".",".","."
"0.17 (-0.81 to  1.15)","0.19 (-0.65 to  1.03)","0.16 (-0.28 to  0.60)","0.22 ( 0.11 to  0.33)","0.05 (-0.20 to  0.30)","0.11 (-0.51 to  0.73)","placebo","-0.12 (-0.36 to  0.12)","-0.03 (-0.25 to  0.19)","."
"0.05 (-0.97 to  1.06)","0.07 (-0.81 to  0.94)","0.03 (-0.47 to  0.54)","0.10 (-0.17 to  0.36)","-0.07 (-0.42 to  0.27)","-0.01 (-0.68 to  0.65)","-0.12 (-0.36 to  0.12)","ramelteon",".","."
"0.14 (-0.84 to  1.13)","0.16 (-0.68 to  1.01)","0.13 (-0.31 to  0.57)","0.19 (-0.05 to  0.44)","0.02 (-0.31 to  0.35)","0.08 (-0.57 to  0.74)","-0.03 (-0.25 to  0.19)","0.10 (-0.23 to  0.42)","zolpidem","."
"0.23 (-1.29 to  1.75)","0.25 (-0.99 to  1.50)","0.22 (-1.22 to  1.65)","0.28 (-1.23 to  1.79)","0.11 (-1.41 to  1.63)","0.17 (-1.45 to  1.80)","0.06 (-1.44 to  1.56)","0.18 (-1.34 to  1.70)","0.09 (-1.42 to  1.59)","zopiclone"
