"BZD-intermediate","0.16 (-1.01 to 1.34)","-0.17 (-1.35 to 1.01)",".",".",".",".",".",".","."
"-0.02 (-0.93 to 0.89)","BZD-long","0.12 (-0.71 to 0.96)",".",".",".",".",".",".","0.25 (-1.03 to 1.53)"
"0.01 (-0.90 to 0.92)","0.03 (-0.71 to 0.78)","BZD-short",".",".",".","0.26 (-0.32 to 0.84)",".","0.03 (-0.55 to 0.61)","."
"-0.10 (-1.18 to 0.98)","-0.08 (-1.02 to 0.87)","-0.11 (-0.70 to 0.47)","daridorexant",".",".","0.23 (-0.02 to 0.48)",".",".","."
"0.08 (-1.05 to 1.21)","0.10 (-0.90 to 1.10)","0.07 (-0.60 to 0.73)","0.18 (-0.29 to 0.65)","eszopiclone",".","0.05 (-0.35 to 0.45)",".",".","."
"0.02 (-1.25 to 1.28)","0.04 (-1.11 to 1.19)","0.01 (-0.87 to 0.88)","0.12 (-0.62 to 0.86)","-0.06 (-0.86 to 0.74)","melatonin","0.11 (-0.58 to 0.81)",".",".","."
"0.13 (-0.93 to 1.18)","0.15 (-0.76 to 1.06)","0.12 (-0.41 to 0.65)","0.23 (-0.02 to 0.48)","0.05 (-0.35 to 0.45)","0.11 (-0.58 to 0.81)","placebo","-0.12 (-0.52 to 0.27)","0.06 (-0.24 to 0.35)","."
"0.00 (-1.12 to 1.13)","0.03 (-0.97 to 1.02)","-0.01 (-0.67 to 0.65)","0.10 (-0.36 to 0.57)","-0.07 (-0.64 to 0.49)","-0.01 (-0.81 to 0.79)","-0.12 (-0.52 to 0.27)","ramelteon",".","."
"0.18 (-0.87 to 1.24)","0.21 (-0.71 to 1.12)","0.17 (-0.36 to 0.70)","0.28 (-0.10 to 0.67)","0.11 (-0.39 to 0.60)","0.17 (-0.59 to 0.92)","0.06 (-0.24 to 0.35)","0.18 (-0.31 to 0.67)","zolpidem","."
"0.23 (-1.34 to 1.80)","0.25 (-1.03 to 1.53)","0.22 (-1.27 to 1.70)","0.33 (-1.26 to 1.92)","0.15 (-1.47 to 1.78)","0.21 (-1.51 to 1.93)","0.10 (-1.47 to 1.68)","0.23 (-1.40 to 1.85)","0.05 (-1.53 to 1.62)","zopiclone"
