"BZD-intermediate","-0.46 (-1.61 to  0.69)","0.00 (-0.58 to  0.59)",".",".","-0.24 (-0.98 to  0.50)",".","-0.11 (-0.83 to  0.60)",".","."
"-0.36 (-1.09 to  0.37)","BZD-long","0.22 (-0.60 to  1.05)",".",".",".",".",".",".","."
"-0.09 (-0.54 to  0.36)","0.27 (-0.42 to  0.96)","BZD-short",".",".","-0.05 (-0.39 to  0.30)",".",".","-0.03 (-0.46 to  0.39)","0.03 (-0.46 to  0.52)"
"0.14 (-0.40 to  0.68)","0.50 (-0.27 to  1.28)","0.23 (-0.15 to  0.62)","eszopiclone",".","-0.27 (-0.52 to -0.02)",".",".",".","."
"-0.08 (-0.86 to  0.70)","0.28 (-0.68 to  1.24)","0.01 (-0.67 to  0.70)","-0.22 (-0.89 to  0.45)","melatonin","-0.05 (-0.67 to  0.57)",".",".",".","."
"-0.13 (-0.60 to  0.35)","0.24 (-0.50 to  0.97)","-0.03 (-0.33 to  0.26)","-0.27 (-0.52 to -0.02)","-0.05 (-0.67 to  0.57)","placebo","0.09 (-0.06 to  0.23)","0.13 (-0.59 to  0.84)","-0.05 (-0.34 to  0.24)","0.02 (-0.19 to  0.22)"
"-0.04 (-0.54 to  0.46)","0.32 (-0.43 to  1.07)","0.05 (-0.28 to  0.38)","-0.18 (-0.47 to  0.11)","0.04 (-0.60 to  0.68)","0.09 (-0.06 to  0.23)","ramelteon",".",".","."
"-0.06 (-0.72 to  0.60)","0.31 (-0.62 to  1.23)","0.03 (-0.65 to  0.72)","-0.20 (-0.90 to  0.51)","0.02 (-0.88 to  0.93)","0.07 (-0.59 to  0.73)","-0.02 (-0.69 to  0.66)","trimipramine",".","."
"-0.16 (-0.68 to  0.36)","0.20 (-0.56 to  0.95)","-0.07 (-0.41 to  0.26)","-0.31 (-0.68 to  0.06)","-0.09 (-0.76 to  0.59)","-0.04 (-0.31 to  0.23)","-0.13 (-0.44 to  0.18)","-0.11 (-0.81 to  0.59)","zaleplon","."
"-0.11 (-0.61 to  0.40)","0.26 (-0.50 to  1.01)","-0.02 (-0.35 to  0.32)","-0.25 (-0.57 to  0.07)","-0.03 (-0.68 to  0.62)","0.02 (-0.18 to  0.22)","-0.07 (-0.32 to  0.18)","-0.05 (-0.74 to  0.63)","0.06 (-0.27 to  0.39)","zolpidem"
