"BZD-intermediate","-0.46 (-1.63 to 0.71)","-0.01 (-0.62 to 0.61)",".",".","-0.24 (-1.02 to 0.54)",".","-0.11 (-0.87 to 0.64)",".","."
"-0.37 (-1.12 to 0.38)","BZD-long","0.22 (-0.62 to 1.07)",".",".",".",".",".",".","."
"-0.10 (-0.58 to 0.37)","0.27 (-0.44 to 0.97)","BZD-short",".",".","-0.05 (-0.43 to 0.34)",".",".","-0.03 (-0.52 to 0.46)","0.03 (-0.52 to 0.58)"
"0.14 (-0.47 to 0.76)","0.51 (-0.32 to 1.35)","0.24 (-0.23 to 0.72)","eszopiclone",".","-0.27 (-0.61 to 0.08)",".",".",".","."
"-0.08 (-0.92 to 0.76)","0.29 (-0.72 to 1.30)","0.02 (-0.72 to 0.77)","-0.22 (-0.97 to 0.53)","melatonin","-0.05 (-0.71 to 0.62)",".",".",".","."
"-0.13 (-0.63 to 0.38)","0.24 (-0.52 to 1.00)","-0.02 (-0.35 to 0.31)","-0.27 (-0.61 to 0.08)","-0.05 (-0.71 to 0.62)","placebo","0.07 (-0.16 to 0.30)","0.13 (-0.63 to 0.88)","-0.05 (-0.38 to 0.29)","-0.04 (-0.29 to 0.21)"
"-0.05 (-0.61 to 0.50)","0.32 (-0.48 to 1.11)","0.05 (-0.35 to 0.45)","-0.20 (-0.61 to 0.22)","0.03 (-0.68 to 0.73)","0.07 (-0.16 to 0.30)","ramelteon",".",".","."
"-0.06 (-0.75 to 0.64)","0.31 (-0.65 to 1.28)","0.05 (-0.68 to 0.77)","-0.20 (-0.98 to 0.58)","0.02 (-0.94 to 0.99)","0.07 (-0.63 to 0.77)","-0.00 (-0.74 to 0.73)","trimipramine",".","."
"-0.17 (-0.73 to 0.40)","0.20 (-0.59 to 0.99)","-0.07 (-0.45 to 0.32)","-0.31 (-0.78 to 0.16)","-0.09 (-0.83 to 0.65)","-0.04 (-0.36 to 0.28)","-0.11 (-0.51 to 0.28)","-0.11 (-0.86 to 0.64)","zaleplon","."
"-0.16 (-0.71 to 0.38)","0.21 (-0.58 to 0.99)","-0.06 (-0.44 to 0.32)","-0.31 (-0.73 to 0.12)","-0.08 (-0.79 to 0.63)","-0.04 (-0.28 to 0.21)","-0.11 (-0.44 to 0.22)","-0.11 (-0.84 to 0.63)","0.00 (-0.39 to 0.40)","zolpidem"
