"BZD-intermediate","-0.46 (-1.61 to  0.69)","0.00 (-0.58 to  0.59)",".",".","-0.32 (-1.06 to  0.43)",".","-0.15 (-0.87 to  0.57)",".",".","."
"-0.37 (-1.10 to  0.36)","BZD-long","0.22 (-0.60 to  1.05)",".",".",".",".",".",".",".","-0.19 (-1.44 to  1.05)"
"-0.11 (-0.55 to  0.34)","0.27 (-0.42 to  0.95)","BZD-short",".",".","-0.07 (-0.40 to  0.26)",".",".","-0.03 (-0.46 to  0.40)","-0.03 (-0.47 to  0.41)","."
"0.11 (-0.43 to  0.65)","0.48 (-0.29 to  1.25)","0.22 (-0.16 to  0.59)","eszopiclone",".","-0.28 (-0.53 to -0.04)",".",".",".",".","."
"-0.13 (-0.91 to  0.65)","0.24 (-0.71 to  1.20)","-0.02 (-0.70 to  0.66)","-0.24 (-0.91 to  0.43)","melatonin","-0.05 (-0.67 to  0.57)",".",".",".",".","."
"-0.17 (-0.65 to  0.30)","0.20 (-0.53 to  0.93)","-0.07 (-0.35 to  0.22)","-0.28 (-0.53 to -0.04)","-0.05 (-0.67 to  0.57)","placebo","0.09 (-0.06 to  0.23)","0.17 (-0.55 to  0.88)","-0.03 (-0.33 to  0.26)","0.02 (-0.18 to  0.22)","."
"-0.09 (-0.58 to  0.41)","0.29 (-0.46 to  1.03)","0.02 (-0.30 to  0.34)","-0.20 (-0.49 to  0.09)","0.04 (-0.60 to  0.68)","0.09 (-0.06 to  0.23)","ramelteon",".",".",".","."
"-0.08 (-0.74 to  0.58)","0.29 (-0.63 to  1.22)","0.03 (-0.65 to  0.71)","-0.19 (-0.89 to  0.51)","0.05 (-0.86 to  0.95)","0.09 (-0.56 to  0.75)","0.01 (-0.67 to  0.68)","trimipramine",".",".","."
"-0.19 (-0.71 to  0.33)","0.18 (-0.57 to  0.94)","-0.08 (-0.42 to  0.25)","-0.30 (-0.67 to  0.07)","-0.06 (-0.74 to  0.62)","-0.02 (-0.30 to  0.26)","-0.10 (-0.42 to  0.21)","-0.11 (-0.82 to  0.59)","zaleplon",".","."
"-0.16 (-0.66 to  0.35)","0.22 (-0.53 to  0.96)","-0.05 (-0.36 to  0.26)","-0.27 (-0.58 to  0.05)","-0.03 (-0.68 to  0.62)","0.02 (-0.18 to  0.22)","-0.07 (-0.31 to  0.18)","-0.08 (-0.76 to  0.61)","0.03 (-0.30 to  0.37)","zolpidem","."
"-0.57 (-2.01 to  0.88)","-0.19 (-1.44 to  1.05)","-0.46 (-1.88 to  0.96)","-0.68 (-2.14 to  0.79)","-0.44 (-2.01 to  1.13)","-0.39 (-1.83 to  1.05)","-0.48 (-1.93 to  0.97)","-0.49 (-2.04 to  1.06)","-0.38 (-1.83 to  1.08)","-0.41 (-1.86 to  1.04)","zopiclone"
