"BZD-intermediate",".","-0.24 (-0.59 to  0.10)",".","-0.33 (-0.84 to  0.18)",".",".",".","0.25 (-0.06 to  0.56)","."
"0.06 (-0.32 to  0.43)","BZD-long","-0.09 (-0.48 to  0.31)",".","0.09 (-0.33 to  0.52)",".",".",".",".","0.10 (-0.88 to  1.08)"
"-0.08 (-0.35 to  0.19)","-0.14 (-0.47 to  0.19)","BZD-short",".","0.21 (-0.21 to  0.62)",".",".",".","-0.32 (-0.81 to  0.18)","."
"0.36 ( 0.06 to  0.66)","0.30 (-0.08 to  0.69)","0.44 ( 0.12 to  0.77)","eszopiclone","-0.19 (-0.37 to -0.01)",".",".",".",".","."
"0.17 (-0.07 to  0.41)","0.11 (-0.22 to  0.45)","0.25 (-0.02 to  0.52)","-0.19 (-0.37 to -0.01)","placebo","-0.01 (-0.16 to  0.14)","0.16 (-0.13 to  0.45)","0.03 (-0.08 to  0.14)","-0.28 (-0.41 to -0.16)","0.44 (-0.55 to  1.42)"
"0.16 (-0.12 to  0.44)","0.10 (-0.26 to  0.47)","0.24 (-0.07 to  0.55)","-0.20 (-0.43 to  0.03)","-0.01 (-0.16 to  0.14)","ramelteon",".",".",".","."
"0.25 (-0.08 to  0.58)","0.19 (-0.22 to  0.60)","0.33 (-0.02 to  0.68)","-0.11 (-0.41 to  0.19)","0.08 (-0.16 to  0.32)","0.09 (-0.19 to  0.37)","seltorexant",".","-0.24 (-0.54 to  0.06)","."
"0.25 (-0.01 to  0.50)","0.19 (-0.16 to  0.54)","0.33 ( 0.05 to  0.61)","-0.11 (-0.32 to  0.10)","0.08 (-0.03 to  0.18)","0.09 (-0.09 to  0.27)","-0.00 (-0.26 to  0.25)","zaleplon","-0.39 (-0.53 to -0.25)","."
"-0.07 (-0.31 to  0.17)","-0.13 (-0.47 to  0.22)","0.01 (-0.26 to  0.28)","-0.43 (-0.65 to -0.21)","-0.24 (-0.36 to -0.12)","-0.23 (-0.42 to -0.04)","-0.32 (-0.56 to -0.08)","-0.32 (-0.44 to -0.20)","zolpidem","."
"0.38 (-0.52 to  1.27)","0.32 (-0.55 to  1.19)","0.46 (-0.43 to  1.34)","0.02 (-0.87 to  0.90)","0.21 (-0.66 to  1.07)","0.22 (-0.67 to  1.10)","0.13 (-0.77 to  1.03)","0.13 (-0.75 to  1.00)","0.45 (-0.43 to  1.32)","zopiclone"
