"BZD-intermediate",".","-0.24 (-0.71 to  0.22)",".","-0.33 (-0.93 to  0.27)",".",".",".","0.25 (-0.19 to  0.69)","."
"0.02 (-0.43 to  0.47)","BZD-long","-0.09 (-0.54 to  0.36)",".","0.09 (-0.38 to  0.56)",".",".",".",".","0.10 (-0.93 to  1.12)"
"-0.10 (-0.45 to  0.25)","-0.12 (-0.49 to  0.25)","BZD-short",".","0.23 (-0.25 to  0.71)",".",".",".","-0.32 (-0.90 to  0.26)","."
"0.38 (-0.06 to  0.82)","0.36 (-0.13 to  0.85)","0.48 ( 0.04 to  0.92)","eszopiclone","-0.27 (-0.58 to  0.03)",".",".",".",".","."
"0.11 (-0.21 to  0.43)","0.09 (-0.29 to  0.47)","0.21 (-0.12 to  0.53)","-0.27 (-0.58 to  0.03)","placebo","-0.01 (-0.27 to  0.26)","0.16 (-0.27 to  0.58)","-0.01 (-0.19 to  0.17)","-0.26 (-0.43 to -0.09)","0.44 (-0.60 to  1.47)"
"0.10 (-0.31 to  0.52)","0.08 (-0.38 to  0.54)","0.20 (-0.22 to  0.62)","-0.28 (-0.68 to  0.13)","-0.01 (-0.27 to  0.26)","ramelteon",".",".",".","."
"0.19 (-0.27 to  0.66)","0.17 (-0.35 to  0.69)","0.29 (-0.18 to  0.77)","-0.19 (-0.66 to  0.29)","0.08 (-0.28 to  0.45)","0.09 (-0.36 to  0.54)","seltorexant",".","-0.24 (-0.67 to  0.19)","."
"0.16 (-0.18 to  0.51)","0.14 (-0.27 to  0.55)","0.26 (-0.10 to  0.62)","-0.22 (-0.57 to  0.13)","0.05 (-0.12 to  0.22)","0.06 (-0.26 to  0.37)","-0.03 (-0.42 to  0.36)","zaleplon","-0.39 (-0.62 to -0.16)","."
"-0.12 (-0.43 to  0.19)","-0.14 (-0.54 to  0.26)","-0.02 (-0.35 to  0.31)","-0.50 (-0.85 to -0.16)","-0.23 (-0.39 to -0.07)","-0.22 (-0.53 to  0.09)","-0.31 (-0.68 to  0.05)","-0.28 (-0.47 to -0.09)","zolpidem","."
"0.33 (-0.63 to  1.28)","0.31 (-0.61 to  1.22)","0.43 (-0.51 to  1.37)","-0.05 (-1.01 to  0.91)","0.22 (-0.69 to  1.13)","0.23 (-0.73 to  1.18)","0.14 (-0.85 to  1.12)","0.17 (-0.76 to  1.10)","0.45 (-0.48 to  1.37)","zopiclone"
