"BZD-intermediate",".","0.20 (-0.14 to  0.55)",".",".","-0.06 (-0.57 to  0.45)",".",".",".","-0.21 (-0.52 to  0.10)","."
"0.04 (-0.38 to  0.45)","BZD-long","0.22 (-0.16 to  0.61)",".",".","-0.64 (-1.27 to -0.01)",".",".",".",".","-0.56 (-1.55 to  0.43)"
"0.17 (-0.09 to  0.44)","0.13 (-0.22 to  0.48)","BZD-short",".",".","-0.39 (-0.75 to -0.04)",".",".",".","0.02 (-0.47 to  0.52)","."
"-0.27 (-0.53 to -0.01)","-0.31 (-0.72 to  0.10)","-0.44 (-0.72 to -0.16)","daridorexant",".","-0.01 (-0.12 to  0.10)",".",".",".",".","."
"-0.28 (-0.59 to  0.03)","-0.31 (-0.76 to  0.13)","-0.45 (-0.78 to -0.12)","-0.01 (-0.23 to  0.22)","eszopiclone","0.00 (-0.20 to  0.20)",".",".",".",".","."
"-0.28 (-0.52 to -0.04)","-0.31 (-0.71 to  0.08)","-0.45 (-0.71 to -0.19)","-0.01 (-0.12 to  0.10)","-0.00 (-0.20 to  0.20)","placebo","0.04 (-0.11 to  0.18)","-0.20 (-0.49 to  0.08)","0.05 (-0.06 to  0.16)","0.16 ( 0.06 to  0.26)","0.20 (-0.79 to  1.18)"
"-0.24 (-0.52 to  0.04)","-0.28 (-0.70 to  0.15)","-0.41 (-0.71 to -0.11)","0.03 (-0.15 to  0.21)","0.04 (-0.21 to  0.29)","0.04 (-0.11 to  0.18)","ramelteon",".",".",".","."
"-0.48 (-0.81 to -0.16)","-0.52 (-0.98 to -0.06)","-0.66 (-1.00 to -0.31)","-0.21 (-0.48 to  0.05)","-0.21 (-0.52 to  0.10)","-0.21 (-0.44 to  0.03)","-0.24 (-0.52 to  0.03)","seltorexant",".","0.39 ( 0.09 to  0.69)","."
"-0.28 (-0.53 to -0.03)","-0.32 (-0.72 to  0.09)","-0.45 (-0.72 to -0.18)","-0.01 (-0.16 to  0.14)","-0.00 (-0.22 to  0.22)","-0.00 (-0.10 to  0.10)","-0.04 (-0.22 to  0.14)","0.21 (-0.05 to  0.46)","zaleplon","0.29 ( 0.15 to  0.43)","."
"-0.10 (-0.33 to  0.14)","-0.13 (-0.54 to  0.27)","-0.27 (-0.53 to -0.01)","0.17 ( 0.03 to  0.32)","0.18 (-0.04 to  0.40)","0.18 ( 0.08 to  0.28)","0.14 (-0.03 to  0.32)","0.39 ( 0.15 to  0.63)","0.18 ( 0.07 to  0.29)","zolpidem","."
"-0.30 (-1.19 to  0.60)","-0.34 (-1.21 to  0.54)","-0.47 (-1.35 to  0.41)","-0.03 (-0.91 to  0.85)","-0.02 (-0.91 to  0.87)","-0.02 (-0.89 to  0.85)","-0.06 (-0.94 to  0.83)","0.19 (-0.72 to  1.09)","-0.02 (-0.90 to  0.86)","-0.20 (-1.08 to  0.67)","zopiclone"
