"BZD-intermediate",".","0.20 (-0.17 to  0.57)",".",".","-0.06 (-0.58 to  0.46)",".",".",".","-0.21 (-0.55 to  0.13)","."
"0.04 (-0.39 to  0.47)","BZD-long","0.22 (-0.16 to  0.61)",".",".","-0.64 (-1.28 to  0.00)",".",".",".",".","-0.56 (-1.56 to  0.44)"
"0.17 (-0.11 to  0.46)","0.13 (-0.23 to  0.49)","BZD-short",".",".","-0.40 (-0.76 to -0.03)",".",".",".","0.02 (-0.48 to  0.53)","."
"-0.27 (-0.56 to  0.02)","-0.31 (-0.74 to  0.12)","-0.45 (-0.75 to -0.14)","daridorexant",".","-0.00 (-0.15 to  0.14)",".",".",".",".","."
"-0.28 (-0.62 to  0.07)","-0.32 (-0.79 to  0.15)","-0.45 (-0.81 to -0.09)","-0.00 (-0.28 to  0.27)","eszopiclone","0.00 (-0.24 to  0.24)",".",".",".",".","."
"-0.28 (-0.53 to -0.02)","-0.32 (-0.72 to  0.09)","-0.45 (-0.72 to -0.18)","-0.00 (-0.15 to  0.14)","-0.00 (-0.24 to  0.24)","placebo","0.03 (-0.14 to  0.21)","-0.20 (-0.52 to  0.11)","0.05 (-0.08 to  0.17)","0.17 ( 0.06 to  0.28)","0.20 (-0.79 to  1.19)"
"-0.24 (-0.55 to  0.07)","-0.28 (-0.73 to  0.16)","-0.42 (-0.74 to -0.10)","0.03 (-0.19 to  0.25)","0.03 (-0.26 to  0.33)","0.03 (-0.14 to  0.21)","ramelteon",".",".",".","."
"-0.48 (-0.84 to -0.12)","-0.52 (-1.00 to -0.04)","-0.65 (-1.03 to -0.28)","-0.21 (-0.51 to  0.09)","-0.21 (-0.56 to  0.15)","-0.21 (-0.47 to  0.06)","-0.24 (-0.56 to  0.08)","seltorexant",".","0.39 ( 0.06 to  0.72)","."
"-0.28 (-0.55 to -0.01)","-0.32 (-0.74 to  0.10)","-0.45 (-0.74 to -0.16)","-0.00 (-0.19 to  0.18)","-0.00 (-0.27 to  0.26)","-0.00 (-0.12 to  0.12)","-0.03 (-0.24 to  0.17)","0.20 (-0.08 to  0.49)","zaleplon","0.29 ( 0.13 to  0.45)","."
"-0.09 (-0.34 to  0.16)","-0.13 (-0.55 to  0.28)","-0.27 (-0.54 to  0.01)","0.18 ( 0.00 to  0.36)","0.18 (-0.08 to  0.44)","0.18 ( 0.08 to  0.29)","0.15 (-0.05 to  0.35)","0.39 ( 0.12 to  0.65)","0.18 ( 0.05 to  0.31)","zolpidem","."
"-0.29 (-1.20 to  0.61)","-0.34 (-1.22 to  0.55)","-0.47 (-1.36 to  0.42)","-0.02 (-0.91 to  0.87)","-0.02 (-0.93 to  0.89)","-0.02 (-0.90 to  0.86)","-0.05 (-0.95 to  0.84)","0.19 (-0.73 to  1.10)","-0.02 (-0.91 to  0.87)","-0.20 (-1.09 to  0.68)","zopiclone"
