"BZD-intermediate",".",".",".",".","0.29 (-0.14 to 0.72)",".","0.11 (-0.64 to 0.85)","-0.12 (-0.75 to 0.50)","."
"0.30 (-0.18 to 0.79)","BZD-long","0.21 (-0.19 to 0.62)",".",".","-0.22 (-0.57 to 0.13)",".",".",".","-0.02 (-0.53 to 0.48)"
"0.47 (-0.05 to 0.98)","0.17 (-0.16 to 0.50)","BZD-short",".",".","-0.41 (-0.93 to 0.11)",".",".",".","0.29 (-0.27 to 0.84)"
"0.19 (-0.25 to 0.62)","-0.11 (-0.51 to 0.28)","-0.28 (-0.71 to 0.15)","eszopiclone",".","-0.04 (-0.27 to 0.19)",".",".",".","."
"0.49 (-0.07 to 1.05)","0.19 (-0.34 to 0.72)","0.02 (-0.54 to 0.58)","0.30 (-0.18 to 0.78)","melatonin","-0.34 (-0.76 to 0.08)",".",".",".","."
"0.15 (-0.22 to 0.51)","-0.15 (-0.47 to 0.17)","-0.32 (-0.68 to 0.04)","-0.04 (-0.27 to 0.19)","-0.34 (-0.76 to 0.08)","placebo","-0.05 (-0.15 to 0.04)","-0.60 (-1.38 to 0.19)","0.11 (-0.19 to 0.41)","-0.09 (-0.60 to 0.41)"
"0.09 (-0.29 to 0.47)","-0.21 (-0.54 to 0.13)","-0.38 (-0.75 to 0.00)","-0.09 (-0.35 to 0.16)","-0.39 (-0.83 to 0.04)","-0.05 (-0.15 to 0.04)","ramelteon",".",".","."
"-0.14 (-0.81 to 0.52)","-0.44 (-1.19 to 0.31)","-0.61 (-1.38 to 0.16)","-0.33 (-1.05 to 0.39)","-0.63 (-1.43 to 0.17)","-0.29 (-0.97 to 0.39)","-0.23 (-0.92 to 0.45)","trimipramine",".","."
"0.18 (-0.22 to 0.58)","-0.12 (-0.54 to 0.31)","-0.29 (-0.74 to 0.17)","-0.00 (-0.37 to 0.36)","-0.30 (-0.81 to 0.20)","0.04 (-0.25 to 0.32)","0.09 (-0.21 to 0.39)","0.33 (-0.39 to 1.04)","zolpidem","."
"0.39 (-0.15 to 0.93)","0.09 (-0.30 to 0.48)","-0.08 (-0.47 to 0.31)","0.20 (-0.26 to 0.66)","-0.10 (-0.68 to 0.48)","0.24 (-0.16 to 0.64)","0.30 (-0.12 to 0.71)","0.53 (-0.26 to 1.32)","0.21 (-0.28 to 0.70)","zopiclone"
