"BZD-intermediate",".",".",".",".","0.31 (-0.17 to 0.79)",".","0.11 (-0.69 to 0.90)","-0.12 (-0.81 to 0.56)","."
"0.33 (-0.21 to 0.87)","BZD-long","0.17 (-0.28 to 0.62)",".",".","-0.24 (-0.63 to 0.15)",".",".",".","-0.02 (-0.60 to 0.55)"
"0.48 (-0.09 to 1.05)","0.14 (-0.22 to 0.51)","BZD-short",".",".","-0.41 (-0.97 to 0.15)",".",".",".","0.29 (-0.34 to 0.91)"
"0.20 (-0.35 to 0.74)","-0.14 (-0.65 to 0.37)","-0.28 (-0.82 to 0.26)","eszopiclone",".","-0.04 (-0.40 to 0.32)",".",".",".","."
"0.50 (-0.16 to 1.15)","0.16 (-0.46 to 0.78)","0.02 (-0.63 to 0.67)","0.30 (-0.32 to 0.93)","melatonin","-0.34 (-0.85 to 0.17)",".",".",".","."
"0.16 (-0.25 to 0.56)","-0.18 (-0.53 to 0.18)","-0.32 (-0.72 to 0.08)","-0.04 (-0.40 to 0.32)","-0.34 (-0.85 to 0.17)","placebo","-0.04 (-0.23 to 0.15)","-0.60 (-1.43 to 0.24)","0.12 (-0.24 to 0.47)","-0.09 (-0.67 to 0.48)"
"0.12 (-0.34 to 0.57)","-0.22 (-0.62 to 0.19)","-0.36 (-0.80 to 0.08)","-0.08 (-0.49 to 0.33)","-0.38 (-0.92 to 0.16)","-0.04 (-0.23 to 0.15)","ramelteon",".",".","."
"-0.14 (-0.86 to 0.57)","-0.48 (-1.28 to 0.33)","-0.62 (-1.45 to 0.21)","-0.34 (-1.15 to 0.48)","-0.64 (-1.52 to 0.25)","-0.30 (-1.02 to 0.43)","-0.26 (-1.01 to 0.49)","trimipramine",".","."
"0.19 (-0.26 to 0.64)","-0.14 (-0.63 to 0.34)","-0.29 (-0.80 to 0.23)","-0.01 (-0.50 to 0.48)","-0.31 (-0.91 to 0.30)","0.03 (-0.29 to 0.36)","0.07 (-0.31 to 0.45)","0.33 (-0.44 to 1.10)","zolpidem","."
"0.41 (-0.20 to 1.02)","0.08 (-0.36 to 0.52)","-0.07 (-0.51 to 0.37)","0.22 (-0.37 to 0.80)","-0.09 (-0.77 to 0.60)","0.26 (-0.20 to 0.71)","0.29 (-0.20 to 0.79)","0.55 (-0.30 to 1.41)","0.22 (-0.34 to 0.78)","zopiclone"
