"BZD-intermediate",".",".",".",".","0.73 (0.11 to  4.76)",".",".",".","."
"1.29 (0.14 to 11.70)","daridorexant",".",".",".","0.92 (0.25 to  3.42)",".",".","0.24 (0.04 to  1.32)","."
"1.39 (0.12 to 16.38)","1.08 (0.15 to  7.62)","doxylamine",".",".","0.38 (0.07 to  2.01)",".",".","1.06 (0.15 to  7.69)","."
"0.49 (0.07 to  3.63)","0.38 (0.10 to  1.47)","0.36 (0.06 to  2.02)","eszopiclone",".","1.48 (0.75 to  2.90)",".",".",".","1.50 (0.25 to  9.14)"
"0.92 (0.03 to 26.50)","0.71 (0.03 to 14.67)","0.66 (0.03 to 16.49)","1.85 (0.10 to 32.82)","lemborexant","0.80 (0.05 to 13.03)",".",".",".","."
"0.73 (0.11 to  4.76)","0.57 (0.18 to  1.81)","0.52 (0.11 to  2.60)","1.48 (0.75 to  2.90)","0.80 (0.05 to 13.03)","placebo","0.67 (0.11 to  4.02)","0.62 (0.27 to  1.39)","1.01 (0.53 to  1.92)","."
"0.49 (0.04 to  6.55)","0.38 (0.04 to  3.22)","0.35 (0.03 to  3.89)","0.99 (0.15 to  6.72)","0.53 (0.02 to 14.77)","0.67 (0.11 to  4.02)","ramelteon",".",".","."
"0.53 (0.07 to  3.97)","0.41 (0.11 to  1.51)","0.38 (0.07 to  2.12)","1.07 (0.40 to  2.89)","0.58 (0.03 to 10.41)","0.73 (0.35 to  1.50)","1.09 (0.16 to  7.53)","zaleplon","1.14 (0.55 to  2.35)","."
"0.68 (0.09 to  5.01)","0.53 (0.16 to  1.78)","0.49 (0.09 to  2.58)","1.38 (0.53 to  3.59)","0.75 (0.04 to 13.22)","0.94 (0.48 to  1.84)","1.40 (0.21 to  9.50)","1.29 (0.65 to  2.52)","zolpidem","."
"0.74 (0.05 to 10.94)","0.58 (0.06 to  5.48)","0.53 (0.04 to  6.55)","1.50 (0.25 to  9.14)","0.81 (0.03 to 24.18)","1.02 (0.15 to  7.00)","1.52 (0.11 to 21.16)","1.40 (0.18 to 10.96)","1.09 (0.14 to  8.39)","zopiclone"
