"BZD-intermediate","0.76 (0.16 to  3.51)","0.41 (0.10 to  1.65)",".",".",".","0.75 (0.42 to  1.34)",".","1.48 (0.24 to  9.10)","."
"1.36 (0.46 to  4.03)","BZD-long",".",".",".",".","0.51 (0.18 to  1.41)",".",".","0.28 (0.04 to  1.88)"
"0.39 (0.14 to  1.07)","0.29 (0.08 to  1.10)","BZD-short",".",".",".","1.57 (0.54 to  4.56)","2.24 (0.30 to 16.70)","3.59 (0.72 to 17.82)","."
"0.37 (0.03 to  4.70)","0.27 (0.02 to  3.92)","0.93 (0.07 to 12.86)","daridorexant",".",".",".",".","0.99 (0.09 to 11.16)","."
"0.44 (0.14 to  1.37)","0.33 (0.08 to  1.30)","1.13 (0.30 to  4.29)","1.21 (0.08 to 17.53)","eszopiclone",".","1.80 (0.69 to  4.74)",".",".","."
"0.66 (0.10 to  4.49)","0.49 (0.06 to  3.88)","1.69 (0.22 to 13.00)","1.81 (0.08 to 39.61)","1.49 (0.19 to 11.76)","lemborexant","1.21 (0.19 to  7.50)",".",".","."
"0.80 (0.45 to  1.43)","0.59 (0.22 to  1.58)","2.04 (0.81 to  5.10)","2.18 (0.18 to 26.36)","1.80 (0.69 to  4.74)","1.21 (0.19 to  7.50)","placebo","2.55 (0.67 to  9.68)","0.45 (0.25 to  0.79)","0.60 (0.08 to  4.45)"
"1.87 (0.51 to  6.89)","1.37 (0.29 to  6.44)","4.75 (1.23 to 18.40)","5.09 (0.34 to 76.21)","4.20 (0.91 to 19.51)","2.82 (0.32 to 24.93)","2.33 (0.71 to  7.68)","zaleplon","0.13 (0.03 to  0.65)","."
"0.36 (0.16 to  0.81)","0.27 (0.08 to  0.84)","0.93 (0.34 to  2.54)","0.99 (0.09 to 11.16)","0.82 (0.26 to  2.54)","0.55 (0.08 to  3.73)","0.45 (0.25 to  0.82)","0.19 (0.06 to  0.65)","zolpidem","."
"0.42 (0.06 to  2.83)","0.31 (0.05 to  1.87)","1.07 (0.14 to  8.30)","1.15 (0.05 to 25.34)","0.95 (0.12 to  7.54)","0.64 (0.05 to  8.46)","0.53 (0.08 to  3.30)","0.23 (0.03 to  2.01)","1.16 (0.17 to  7.95)","zopiclone"
