"BZD-intermediate",".",".",".",".",".","1.00 (0.21 to   4.71)",".",".",".",".","."
"1.02 (0.11 to   9.88)","daridorexant",".",".",".",".","0.74 (0.12 to   4.53)",".",".",".",".","1.50 (0.15 to  14.73)"
"6.99 (0.53 to  92.06)","6.84 (0.49 to  96.08)","doxepin",".",".",".","0.14 (0.02 to   1.12)",".",".",".",".","."
"0.50 (0.03 to   8.90)","0.49 (0.03 to   9.22)","0.07 (0.00 to   1.73)","doxylamine",".",".","1.98 (0.18 to  22.18)",".",".",".",".","."
"0.94 (0.18 to   4.99)","0.92 (0.16 to   5.39)","0.13 (0.02 to   1.16)","1.86 (0.15 to  22.56)","eszopiclone",".","1.06 (0.57 to   1.98)",".",".",".",".","."
"1.00 (0.04 to  24.25)","0.98 (0.04 to  25.00)","0.14 (0.00 to   4.58)","1.98 (0.05 to  79.17)","1.06 (0.06 to  18.49)","melatonin","1.00 (0.06 to  16.23)",".",".",".",".","."
"1.00 (0.21 to   4.71)","0.98 (0.19 to   5.12)","0.14 (0.02 to   1.12)","1.98 (0.18 to  22.18)","1.06 (0.57 to   1.98)","1.00 (0.06 to  16.23)","placebo","0.73 (0.38 to   1.40)","9.00 (0.92 to  87.89)","0.58 (0.25 to   1.32)",".","0.89 (0.34 to   2.36)"
"0.73 (0.14 to   3.93)","0.72 (0.12 to   4.24)","0.10 (0.01 to   0.91)","1.45 (0.12 to  17.71)","0.78 (0.32 to   1.92)","0.73 (0.04 to  12.81)","0.73 (0.38 to   1.40)","ramelteon",".",".",".","."
"10.10 (0.70 to 146.59)","9.88 (0.69 to 142.34)","1.44 (0.07 to  29.01)","20.02 (0.77 to 518.27)","10.75 (1.11 to 103.76)","10.10 (0.29 to 347.61)","10.10 (1.14 to  89.41)","13.79 (1.42 to 134.15)","seltorexant",".",".","0.08 (0.01 to   0.73)"
"0.58 (0.10 to   3.34)","0.56 (0.09 to   3.59)","0.08 (0.01 to   0.76)","1.14 (0.09 to  14.67)","0.61 (0.22 to   1.73)","0.58 (0.03 to  10.55)","0.58 (0.25 to   1.32)","0.79 (0.28 to   2.25)","0.06 (0.01 to   0.59)","suvorexant",".","."
"1.78 (0.09 to  37.03)","1.74 (0.09 to  34.31)","0.25 (0.01 to   7.08)","3.52 (0.10 to 123.51)","1.89 (0.13 to  27.71)","1.78 (0.04 to  80.99)","1.78 (0.13 to  24.21)","2.43 (0.16 to  35.78)","0.18 (0.01 to   4.46)","3.08 (0.20 to  47.67)","zaleplon","0.50 (0.04 to   5.54)"
"0.88 (0.14 to   5.55)","0.86 (0.15 to   4.96)","0.13 (0.01 to   1.24)","1.75 (0.13 to  23.78)","0.94 (0.29 to   3.03)","0.88 (0.05 to  16.98)","0.88 (0.33 to   2.38)","1.20 (0.37 to   3.94)","0.09 (0.01 to   0.75)","1.53 (0.42 to   5.56)","0.50 (0.04 to   5.54)","zolpidem"
