"BZD-intermediate","0.42 (0.11 to   1.68)","0.94 (0.23 to   3.89)",".",".",".",".",".","1.10 (0.41 to   2.94)","0.85 (0.23 to   3.13)",".",".",".","1.81 (0.16 to  20.46)",".",".","."
"0.63 (0.27 to    1.44)","BZD-long","0.94 (0.68 to   1.32)",".",".",".",".",".",".","1.09 (0.77 to   1.56)",".",".",".",".",".",".","1.04 (0.76 to   1.42)"
"0.60 (0.26 to    1.38)","0.96 (0.69 to    1.32)","BZD-short",".",".",".",".",".",".","1.14 (0.80 to   1.62)",".",".",".",".","2.26 (0.48 to  10.62)",".","1.10 (0.82 to   1.49)"
"0.46 (0.14 to    1.47)","0.73 (0.30 to    1.77)","0.77 (0.32 to    1.84)","daridorexant",".",".",".",".",".","1.99 (0.81 to   4.86)",".",".",".",".",".","0.36 (0.08 to   1.64)","."
"0.15 (0.01 to    3.46)","0.23 (0.01 to    5.03)","0.25 (0.01 to    5.26)","0.32 (0.01 to    7.48)","doxepin",".",".",".",".","4.84 (0.23 to 101.92)",".",".",".",".",".",".","."
"1.04 (0.18 to    6.18)","1.66 (0.33 to    8.32)","1.74 (0.35 to    8.69)","2.27 (0.39 to   13.23)","7.08 (0.23 to  218.69)","doxylamine",".",".",".","0.48 (0.09 to   2.69)",".",".",".",".",".","0.52 (0.09 to   2.91)","."
"0.33 (0.13 to    0.83)","0.53 (0.31 to    0.88)","0.55 (0.33 to    0.91)","0.72 (0.28 to    1.81)","2.24 (0.10 to   48.64)","0.32 (0.06 to    1.62)","eszopiclone",".",".","2.56 (1.44 to   4.56)",".",".",".",".",".",".","1.63 (0.87 to   3.05)"
"1.35 (0.39 to    4.69)","2.15 (0.80 to    5.77)","2.25 (0.84 to    6.01)","2.93 (0.87 to    9.94)","9.18 (0.38 to  221.58)","1.30 (0.21 to    7.93)","4.10 (1.47 to   11.45)","lemborexant",".","0.49 (0.17 to   1.44)",".",".",".",".",".","0.30 (0.10 to   0.93)","."
"1.10 (0.41 to    2.94)","1.75 (0.48 to    6.37)","1.84 (0.51 to    6.66)","2.39 (0.52 to   10.97)","7.48 (0.27 to  204.38)","1.06 (0.14 to    8.08)","3.34 (0.86 to   12.92)","0.81 (0.17 to    3.99)","mirtazapine",".",".",".",".",".",".",".","."
"0.71 (0.31 to    1.64)","1.14 (0.81 to    1.59)","1.19 (0.86 to    1.65)","1.55 (0.69 to    3.49)","4.84 (0.23 to  101.92)","0.68 (0.14 to    3.31)","2.16 (1.39 to    3.38)","0.53 (0.21 to    1.33)","0.65 (0.18 to    2.35)","placebo","0.77 (0.44 to   1.35)","8.72 (0.35 to 216.33)","0.81 (0.41 to   1.61)",".","1.21 (0.54 to   2.70)","0.55 (0.38 to   0.78)","1.00 (0.73 to   1.36)"
"0.55 (0.20 to    1.50)","0.88 (0.45 to    1.69)","0.92 (0.48 to    1.76)","1.19 (0.44 to    3.20)","3.73 (0.17 to   82.67)","0.53 (0.10 to    2.81)","1.67 (0.81 to    3.41)","0.41 (0.14 to    1.20)","0.50 (0.12 to    2.04)","0.77 (0.44 to    1.35)","ramelteon",".",".",".",".",".","."
