"BZD-intermediate",".",".",".",".",".",".","0.81 (0.17 to  3.79)",".",".",".","."
"1.15 (0.14 to   9.10)","BZD-long",".",".",".",".",".","0.70 (0.13 to  3.68)",".",".",".","0.25 (0.05 to  1.31)"
"0.29 (0.02 to   3.82)","0.25 (0.02 to   2.53)","BZD-short",".",".",".",".",".",".",".",".","1.27 (0.20 to  7.98)"
"0.42 (0.02 to   7.39)","0.37 (0.02 to   5.92)","1.47 (0.06 to  35.37)","doxepin",".",".",".","1.92 (0.17 to 21.47)",".",".",".","."
"0.45 (0.07 to   3.04)","0.39 (0.07 to   2.33)","1.56 (0.15 to  16.61)","1.07 (0.07 to  15.31)","doxylamine",".",".","2.04 (0.60 to  6.98)",".",".","1.23 (0.43 to  3.52)","."
"0.19 (0.03 to   1.07)","0.16 (0.03 to   0.81)","0.65 (0.07 to   6.03)","0.45 (0.04 to   5.65)","0.42 (0.10 to   1.66)","eszopiclone",".","4.32 (1.94 to  9.58)",".",".",".","."
"2.07 (0.12 to  36.72)","1.80 (0.11 to  29.42)","7.20 (0.30 to 175.51)","4.91 (0.16 to 150.49)","4.60 (0.32 to  66.85)","11.03 (0.86 to 141.91)","lemborexant","0.39 (0.03 to  4.43)",".",".",".","."
"0.81 (0.17 to   3.79)","0.71 (0.18 to   2.81)","2.82 (0.35 to  22.46)","1.92 (0.17 to  21.47)","1.80 (0.58 to   5.56)","4.32 (1.94 to   9.58)","0.39 (0.03 to   4.43)","placebo","0.70 (0.28 to  1.74)",".","0.73 (0.28 to  1.95)","0.41 (0.15 to  1.10)"
"0.57 (0.09 to   3.40)","0.49 (0.09 to   2.58)","1.98 (0.21 to  19.04)","1.35 (0.10 to  17.75)","1.26 (0.30 to   5.37)","3.03 (0.90 to  10.13)","0.27 (0.02 to   3.66)","0.70 (0.28 to   1.74)","suvorexant",".",".","."
"0.77 (0.11 to   5.53)","0.68 (0.11 to   4.25)","2.70 (0.24 to  29.89)","1.84 (0.12 to  27.42)","1.72 (0.50 to   5.93)","4.13 (0.96 to  17.68)","0.37 (0.02 to   5.65)","0.96 (0.28 to   3.23)","1.36 (0.30 to   6.22)","zaleplon","0.77 (0.38 to  1.57)","."
"0.60 (0.10 to   3.72)","0.52 (0.10 to   2.83)","2.07 (0.21 to  20.61)","1.41 (0.10 to  19.15)","1.32 (0.48 to   3.63)","3.17 (0.89 to  11.27)","0.29 (0.02 to   3.95)","0.74 (0.27 to   1.97)","1.05 (0.27 to   4.00)","0.77 (0.38 to   1.57)","zolpidem","."
"0.36 (0.06 to   2.24)","0.32 (0.08 to   1.29)","1.27 (0.20 to   7.98)","0.86 (0.06 to  11.59)","0.81 (0.18 to   3.56)","1.94 (0.56 to   6.76)","0.18 (0.01 to   2.39)","0.45 (0.17 to   1.17)","0.64 (0.17 to   2.40)","0.47 (0.10 to   2.21)","0.61 (0.15 to   2.42)","zopiclone"
