"BZD-intermediate","0.34 (0.13 to  0.92)","2.63 (0.47 to 14.55)",".",".",".",".","0.55 (0.18 to  1.67)","1.26 (0.72 to  2.19)",".",".",".",".","1.17 (0.05 to 30.02)","0.48 (0.04 to  5.84)",".","5.13 (0.57 to 46.41)","."
"0.92 (0.50 to   1.69)","BZD-long","0.90 (0.55 to  1.50)",".",".",".",".",".","1.14 (0.70 to  1.84)",".",".",".",".",".",".",".",".","1.04 (0.64 to  1.70)"
"0.99 (0.52 to   1.88)","1.07 (0.67 to   1.71)","BZD-short",".",".",".",".",".","1.13 (0.67 to  1.90)",".",".",".",".",".",".",".","1.95 (0.17 to 22.62)","1.08 (0.67 to  1.72)"
"0.51 (0.19 to   1.35)","0.55 (0.21 to   1.43)","0.51 (0.20 to   1.35)","daridorexant",".",".",".",".","3.09 (1.23 to  7.77)",".",".",".",".",".",".",".","0.60 (0.15 to  2.46)","."
"1.19 (0.20 to   7.08)","1.29 (0.22 to   7.57)","1.20 (0.20 to   7.09)","2.33 (0.35 to  15.39)","doxylamine",".",".",".","0.98 (0.13 to  7.36)",".",".",".",".",".",".",".","0.70 (0.11 to  4.47)","."
"1.55 (0.59 to   4.06)","1.68 (0.66 to   4.28)","1.56 (0.61 to   4.03)","3.04 (0.94 to   9.82)","1.30 (0.20 to   8.72)","eszopiclone",".",".","0.77 (0.34 to  1.74)",".",".",".",".",".",".",".",".","."
"0.49 (0.02 to  13.00)","0.53 (0.02 to  13.98)","0.49 (0.02 to  13.06)","0.96 (0.03 to  27.28)","0.41 (0.01 to  16.09)","0.32 (0.01 to   8.93)","lemborexant",".","2.44 (0.10 to 62.44)",".",".",".",".",".",".",".",".","."
"0.55 (0.18 to   1.67)","0.60 (0.17 to   2.11)","0.56 (0.15 to   2.00)","1.08 (0.25 to   4.74)","0.46 (0.06 to   3.79)","0.36 (0.08 to   1.54)","1.13 (0.04 to  36.02)","mirtazapine",".",".",".",".",".",".",".",".",".","."
"1.19 (0.72 to   1.98)","1.29 (0.83 to   2.02)","1.20 (0.75 to   1.93)","2.34 (1.01 to   5.40)","1.00 (0.18 to   5.56)","0.77 (0.34 to   1.74)","2.44 (0.10 to  62.44)","2.16 (0.64 to   7.34)","placebo",".","0.37 (0.16 to  0.84)","2.75 (0.95 to  7.95)","0.79 (0.32 to  1.94)",".","1.05 (0.13 to  8.54)","0.47 (0.14 to  1.52)","0.71 (0.43 to  1.17)","1.02 (0.61 to  1.71)"
"0.63 (0.19 to   2.08)","0.69 (0.23 to   2.05)","0.64 (0.22 to   1.91)","1.24 (0.31 to   4.96)","0.53 (0.07 to   4.09)","0.41 (0.10 to   1.61)","1.30 (0.04 to  39.87)","1.15 (0.23 to   5.86)","0.53 (0.18 to   1.60)","propiomazine",".",".",".",".",".",".",".","1.67 (0.62 to  4.51)"
"0.44 (0.17 to   1.16)","0.48 (0.19 to   1.22)","0.45 (0.17 to   1.15)","0.87 (0.27 to   2.80)","0.37 (0.06 to   2.49)","0.29 (0.09 to   0.91)","0.91 (0.03 to  25.73)","0.81 (0.19 to   3.50)","0.37 (0.16 to   0.84)","0.70 (0.18 to   2.75)","ramelteon",".",".",".",".",".",".","."
"2.16 (0.70 to   6.61)","2.34 (0.78 to   7.00)","2.18 (0.72 to   6.58)","4.23 (1.16 to  15.43)","1.81 (0.25 to  12.99)","1.39 (0.38 to   5.08)","4.42 (0.15 to 131.50)","3.92 (0.81 to  18.98)","1.81 (0.67 to   4.93)","3.40 (0.77 to  15.02)","4.86 (1.34 to  17.68)","seltorexant",".",".",".",".","1.54 (0.31 to  7.66)","."
"0.94 (0.34 to   2.64)","1.02 (0.38 to   2.78)","0.95 (0.35 to   2.62)","1.85 (0.54 to   6.31)","0.79 (0.11 to   5.49)","0.61 (0.18 to   2.05)","1.93 (0.07 to  55.86)","1.72 (0.38 to   7.79)","0.79 (0.32 to   1.94)","1.49 (0.36 to   6.13)","2.13 (0.63 to   7.13)","0.44 (0.11 to   1.68)","suvorexant",".",".",".",".","."
"1.17 (0.05 to  30.02)","1.27 (0.05 to  34.42)","1.18 (0.04 to  32.26)","2.30 (0.08 to  68.01)","0.99 (0.02 to  39.96)","0.76 (0.03 to  22.29)","2.40 (0.02 to 242.21)","2.13 (0.07 to  65.65)","0.98 (0.04 to  26.22)","1.85 (0.06 to  58.37)","2.64 (0.09 to  77.77)","0.54 (0.02 to  16.80)","1.24 (0.04 to  37.28)","trazodone",".",".",".","."
"0.89 (0.13 to   6.16)","0.97 (0.14 to   6.84)","0.90 (0.13 to   6.42)","1.75 (0.22 to  14.12)","0.75 (0.06 to   9.79)","0.58 (0.07 to   4.61)","1.83 (0.04 to  78.92)","1.63 (0.18 to  15.07)","0.75 (0.11 to   5.07)","1.41 (0.16 to  12.70)","2.02 (0.25 to  16.08)","0.41 (0.05 to   3.58)","0.95 (0.11 to   7.80)","0.76 (0.02 to  33.19)","trimipramine",".",".","."
"0.58 (0.20 to   1.66)","0.63 (0.23 to   1.76)","0.59 (0.21 to   1.66)","1.14 (0.34 to   3.86)","0.49 (0.07 to   3.29)","0.38 (0.11 to   1.29)","1.19 (0.04 to  34.79)","1.06 (0.23 to   4.88)","0.49 (0.19 to   1.23)","0.92 (0.22 to   3.86)","1.31 (0.38 to   4.51)","0.27 (0.07 to   1.03)","0.62 (0.17 to   2.23)","0.50 (0.02 to  15.02)","0.65 (0.08 to   5.44)","zaleplon","1.36 (0.48 to  3.85)","."
