"BZD-long","0.47 (0.09 to  2.51)",".",".",".",".","1.96 (0.39 to  9.93)",".",".","0.47 (0.08 to  2.66)"
"0.47 (0.09 to   2.51)","BZD-short",".",".",".",".",".",".",".","."
"2.30 (0.17 to  30.50)","4.89 (0.22 to 106.19)","daridorexant",".",".",".","0.99 (0.09 to 11.16)",".","0.99 (0.09 to 11.16)","."
"1.97 (0.18 to  21.60)","4.19 (0.23 to  77.71)","0.86 (0.06 to  12.42)","eszopiclone",".",".","0.99 (0.17 to  5.76)",".",".","."
"5.41 (0.20 to 146.91)","11.49 (0.28 to 465.39)","2.35 (0.08 to  72.47)","2.74 (0.09 to  79.70)","lemborexant",".",".",".","0.49 (0.03 to  7.88)","."
"11.93 (2.11 to  67.53)","25.35 (2.28 to 281.88)","5.19 (0.63 to  42.45)","6.04 (0.94 to  38.85)","2.21 (0.12 to  41.70)","melatonin","0.16 (0.09 to  0.30)",".",".","."
"1.96 (0.39 to   9.93)","4.16 (0.41 to  42.82)","0.85 (0.11 to   6.37)","0.99 (0.17 to   5.76)","0.36 (0.02 to   6.43)","0.16 (0.09 to   0.30)","placebo","0.67 (0.11 to  4.02)","1.35 (0.64 to  2.87)","0.24 (0.04 to  1.36)"
"1.31 (0.12 to  14.74)","2.79 (0.15 to  52.77)","0.57 (0.04 to   8.45)","0.66 (0.05 to   8.19)","0.24 (0.01 to   7.19)","0.11 (0.02 to   0.73)","0.67 (0.11 to   4.02)","ramelteon",".","."
"2.65 (0.44 to  15.87)","5.64 (0.49 to  65.23)","1.15 (0.15 to   8.63)","1.34 (0.20 to   9.09)","0.49 (0.03 to   7.88)","0.22 (0.08 to   0.58)","1.35 (0.64 to   2.87)","2.02 (0.29 to  14.14)","zolpidem","."
"0.47 (0.08 to   2.66)","0.99 (0.09 to  11.07)","0.20 (0.01 to   2.90)","0.24 (0.02 to   2.80)","0.09 (0.00 to   2.49)","0.04 (0.01 to   0.25)","0.24 (0.04 to   1.36)","0.36 (0.03 to   4.33)","0.18 (0.03 to   1.17)","zopiclone"
