"BZD-intermediate","0.74 (0.30 to  1.85)","0.94 (0.51 to  1.75)",".",".",".",".",".",".","0.59 (0.41 to  0.87)",".",".",".",".",".","0.21 (0.02 to  2.09)",".","1.22 (0.57 to  2.62)","."
"0.84 (0.55 to  1.29)","BZD-long","0.73 (0.51 to  1.03)",".",".",".",".",".",".","0.78 (0.55 to  1.11)",".",".",".",".",".",".",".",".","0.83 (0.60 to  1.15)"
"0.63 (0.42 to  0.94)","0.75 (0.55 to  1.04)","BZD-short",".",".",".",".",".",".","1.07 (0.78 to  1.46)",".",".",".",".",".",".","1.48 (0.51 to  4.29)","1.56 (0.74 to  3.27)","0.97 (0.71 to  1.33)"
"0.54 (0.18 to  1.58)","0.64 (0.22 to  1.86)","0.85 (0.30 to  2.45)","daridorexant",".",".",".",".",".","5.32 (0.66 to 42.54)",".",".",".",".",".",".",".","0.81 (0.28 to  2.35)","."
"2.19 (0.92 to  5.22)","2.60 (1.10 to  6.14)","3.46 (1.48 to  8.06)","4.05 (1.11 to 14.84)","doxepin",".",".",".",".","0.31 (0.14 to  0.69)",".",".",".",".",".",".",".",".","."
"0.39 (0.15 to  1.02)","0.46 (0.18 to  1.21)","0.62 (0.24 to  1.59)","0.72 (0.19 to  2.80)","0.18 (0.05 to  0.60)","doxylamine",".",".",".","1.84 (0.59 to  5.66)",".",".",".",".",".",".",".","1.40 (0.50 to  3.89)","."
"0.66 (0.44 to  0.98)","0.78 (0.54 to  1.12)","1.04 (0.74 to  1.45)","1.22 (0.43 to  3.45)","0.30 (0.13 to  0.69)","1.68 (0.66 to  4.24)","eszopiclone",".",".","1.08 (0.85 to  1.36)",".",".",".",".",".",".",".",".","0.85 (0.52 to  1.40)"
"0.46 (0.28 to  0.76)","0.55 (0.34 to  0.89)","0.74 (0.47 to  1.15)","0.86 (0.29 to  2.53)","0.21 (0.09 to  0.51)","1.19 (0.45 to  3.13)","0.71 (0.47 to  1.08)","lemborexant",".","1.46 (0.99 to  2.15)",".",".",".",".",".",".",".","1.06 (0.55 to  2.03)","."
"0.48 (0.09 to  2.58)","0.57 (0.11 to  3.05)","0.76 (0.14 to  4.03)","0.89 (0.13 to  6.18)","0.22 (0.04 to  1.37)","1.23 (0.19 to  8.03)","0.73 (0.14 to  3.85)","1.03 (0.19 to  5.56)","melatonin","1.42 (0.27 to  7.34)",".",".",".",".",".",".",".",".","."
"0.68 (0.48 to  0.96)","0.81 (0.59 to  1.11)","1.08 (0.82 to  1.42)","1.26 (0.45 to  3.51)","0.31 (0.14 to  0.69)","1.74 (0.71 to  4.29)","1.04 (0.84 to  1.29)","1.46 (1.02 to  2.09)","1.42 (0.27 to  7.34)","placebo",".","0.88 (0.68 to  1.15)","1.40 (0.58 to  3.40)","0.79 (0.50 to  1.24)","0.56 (0.29 to  1.06)","0.47 (0.08 to  2.91)","1.22 (0.90 to  1.65)","0.84 (0.69 to  1.01)","1.03 (0.75 to  1.41)"
"0.50 (0.16 to  1.54)","0.59 (0.20 to  1.77)","0.79 (0.27 to  2.34)","0.93 (0.21 to  4.09)","0.23 (0.06 to  0.88)","1.28 (0.31 to  5.22)","0.76 (0.26 to  2.27)","1.07 (0.34 to  3.35)","1.04 (0.14 to  7.44)","0.73 (0.25 to  2.16)","propiomazine",".",".",".",".",".",".",".","1.31 (0.46 to  3.74)"
"0.60 (0.39 to  0.92)","0.71 (0.47 to  1.07)","0.95 (0.65 to  1.39)","1.11 (0.39 to  3.19)","0.27 (0.12 to  0.64)","1.53 (0.60 to  3.92)","0.91 (0.65 to  1.29)","1.29 (0.83 to  2.01)","1.25 (0.24 to  6.60)","0.88 (0.68 to  1.15)","1.20 (0.39 to  3.66)","ramelteon",".",".",".",".",".",".","."
