"BZD-intermediate","0.74 (0.30 to  1.86)","0.94 (0.51 to  1.76)",".",".",".",".",".",".","0.59 (0.41 to  0.87)",".",".",".",".",".","0.21 (0.02 to  2.10)",".","1.22 (0.56 to  2.63)","."
"0.84 (0.55 to  1.30)","BZD-long","0.73 (0.51 to  1.03)",".",".",".",".",".",".","0.78 (0.55 to  1.12)",".",".",".",".",".",".",".",".","0.83 (0.60 to  1.17)"
"0.63 (0.42 to  0.94)","0.75 (0.54 to  1.04)","BZD-short",".",".",".",".",".",".","1.07 (0.78 to  1.47)",".",".",".",".",".",".","1.48 (0.51 to  4.30)","1.56 (0.74 to  3.28)","0.97 (0.70 to  1.34)"
"0.54 (0.18 to  1.59)","0.64 (0.22 to  1.87)","0.85 (0.30 to  2.46)","daridorexant",".",".",".",".",".","5.32 (0.66 to 42.59)",".",".",".",".",".",".",".","0.81 (0.28 to  2.35)","."
"2.19 (0.92 to  5.25)","2.60 (1.10 to  6.16)","3.47 (1.48 to  8.11)","4.06 (1.11 to 14.90)","doxepin",".",".",".",".","0.31 (0.14 to  0.69)",".",".",".",".",".",".",".",".","."
"0.39 (0.15 to  1.03)","0.47 (0.18 to  1.21)","0.62 (0.24 to  1.59)","0.73 (0.19 to  2.81)","0.18 (0.05 to  0.60)","doxylamine",".",".",".","1.84 (0.59 to  5.68)",".",".",".",".",".",".",".","1.40 (0.50 to  3.91)","."
"0.66 (0.44 to  0.98)","0.78 (0.54 to  1.13)","1.04 (0.74 to  1.46)","1.22 (0.43 to  3.46)","0.30 (0.13 to  0.69)","1.68 (0.66 to  4.25)","eszopiclone",".",".","1.08 (0.85 to  1.37)",".",".",".",".",".",".",".",".","0.85 (0.51 to  1.41)"
"0.47 (0.28 to  0.77)","0.55 (0.34 to  0.90)","0.74 (0.47 to  1.16)","0.86 (0.29 to  2.54)","0.21 (0.09 to  0.51)","1.19 (0.45 to  3.14)","0.71 (0.47 to  1.08)","lemborexant",".","1.46 (0.99 to  2.16)",".",".",".",".",".",".",".","1.06 (0.55 to  2.04)","."
"0.48 (0.09 to  2.59)","0.57 (0.11 to  3.06)","0.76 (0.14 to  4.05)","0.89 (0.13 to  6.20)","0.22 (0.04 to  1.37)","1.23 (0.19 to  8.05)","0.73 (0.14 to  3.87)","1.03 (0.19 to  5.57)","melatonin","1.42 (0.27 to  7.35)",".",".",".",".",".",".",".",".","."
"0.68 (0.48 to  0.96)","0.81 (0.59 to  1.11)","1.08 (0.81 to  1.43)","1.26 (0.45 to  3.52)","0.31 (0.14 to  0.69)","1.74 (0.71 to  4.30)","1.04 (0.83 to  1.30)","1.46 (1.02 to  2.10)","1.42 (0.27 to  7.35)","placebo",".","0.88 (0.68 to  1.15)","1.40 (0.58 to  3.41)","0.79 (0.50 to  1.24)","0.56 (0.29 to  1.07)","0.47 (0.08 to  2.92)","1.22 (0.90 to  1.66)","0.84 (0.69 to  1.01)","1.03 (0.74 to  1.42)"
"0.50 (0.16 to  1.55)","0.59 (0.20 to  1.78)","0.79 (0.27 to  2.36)","0.93 (0.21 to  4.11)","0.23 (0.06 to  0.88)","1.28 (0.31 to  5.24)","0.76 (0.25 to  2.28)","1.07 (0.34 to  3.36)","1.04 (0.14 to  7.46)","0.73 (0.25 to  2.17)","propiomazine",".",".",".",".",".",".",".","1.31 (0.46 to  3.75)"
"0.60 (0.39 to  0.93)","0.71 (0.47 to  1.08)","0.95 (0.65 to  1.40)","1.11 (0.39 to  3.21)","0.27 (0.12 to  0.64)","1.53 (0.60 to  3.94)","0.92 (0.65 to  1.29)","1.29 (0.82 to  2.02)","1.25 (0.24 to  6.62)","0.88 (0.68 to  1.15)","1.20 (0.39 to  3.68)","ramelteon",".",".",".",".",".",".","."
"0.89 (0.40 to  1.98)","1.06 (0.48 to  2.33)","1.41 (0.65 to  3.06)","1.65 (0.47 to  5.71)","0.41 (0.14 to  1.20)","2.27 (0.72 to  7.18)","1.35 (0.63 to  2.89)","1.91 (0.85 to  4.26)","1.85 (0.31 to 11.16)","1.30 (0.63 to  2.69)","1.78 (0.48 to  6.56)","1.48 (0.68 to  3.20)","seltorexant",".",".",".",".","0.69 (0.28 to  1.68)","."
"0.54 (0.30 to  0.95)","0.64 (0.37 to  1.11)","0.85 (0.50 to  1.45)","0.99 (0.32 to  3.05)","0.24 (0.10 to  0.62)","1.37 (0.50 to  3.77)","0.82 (0.49 to  1.36)","1.15 (0.64 to  2.06)","1.11 (0.20 to  6.15)","0.79 (0.50 to  1.24)","1.07 (0.33 to  3.49)","0.89 (0.53 to  1.52)","0.60 (0.26 to  1.42)","suvorexant",".",".",".",".","."
"0.41 (0.21 to  0.78)","0.48 (0.26 to  0.91)","0.64 (0.35 to  1.19)","0.75 (0.24 to  2.38)","0.19 (0.07 to  0.49)","1.04 (0.36 to  2.97)","0.62 (0.34 to  1.12)","0.87 (0.45 to  1.68)","0.84 (0.15 to  4.79)","0.60 (0.34 to  1.04)","0.81 (0.24 to  2.75)","0.68 (0.37 to  1.25)","0.46 (0.19 to  1.13)","0.76 (0.37 to  1.55)","trazodone",".",".","1.32 (0.71 to  2.47)","."
"0.28 (0.06 to  1.41)","0.33 (0.06 to  1.71)","0.44 (0.09 to  2.26)","0.52 (0.08 to  3.49)","0.13 (0.02 to  0.77)","0.72 (0.11 to  4.52)","0.43 (0.08 to  2.16)","0.60 (0.12 to  3.12)","0.58 (0.06 to  5.81)","0.41 (0.08 to  2.05)","0.56 (0.08 to  3.89)","0.47 (0.09 to  2.38)","0.32 (0.05 to  1.84)","0.52 (0.10 to  2.78)","0.69 (0.13 to  3.77)","trimipramine",".",".","."
"0.85 (0.56 to  1.30)","1.01 (0.68 to  1.51)","1.35 (0.93 to  1.95)","1.58 (0.56 to  4.48)","0.39 (0.17 to  0.90)","2.17 (0.86 to  5.52)","1.30 (0.92 to  1.82)","1.83 (1.18 to  2.82)","1.77 (0.33 to  9.37)","1.25 (0.96 to  1.62)","1.70 (0.56 to  5.19)","1.42 (0.98 to  2.05)","0.96 (0.45 to  2.05)","1.59 (0.94 to  2.68)","2.10 (1.15 to  3.81)","3.04 (0.60 to 15.46)","zaleplon","0.67 (0.48 to  0.92)","."
"0.57 (0.39 to  0.83)","0.68 (0.47 to  0.97)","0.90 (0.65 to  1.24)","1.05 (0.38 to  2.90)","0.26 (0.11 to  0.59)","1.45 (0.59 to  3.58)","0.87 (0.65 to  1.15)","1.22 (0.83 to  1.79)","1.18 (0.23 to  6.20)","0.83 (0.70 to  1.00)","1.14 (0.38 to  3.42)","0.95 (0.69 to  1.31)","0.64 (0.31 to  1.32)","1.06 (0.65 to  1.73)","1.40 (0.81 to  2.43)","2.03 (0.40 to 10.22)","0.67 (0.51 to  0.87)","zolpidem","."
"0.65 (0.43 to  0.99)","0.78 (0.57 to  1.06)","1.03 (0.78 to  1.38)","1.21 (0.42 to  3.48)","0.30 (0.13 to  0.69)","1.67 (0.65 to  4.27)","1.00 (0.73 to  1.35)","1.40 (0.90 to  2.19)","1.36 (0.26 to  7.19)","0.96 (0.74 to  1.24)","1.31 (0.46 to  3.75)","1.09 (0.75 to  1.58)","0.74 (0.34 to  1.59)","1.22 (0.72 to  2.06)","1.61 (0.87 to  2.96)","2.33 (0.46 to 11.85)","0.77 (0.53 to  1.10)","1.15 (0.84 to  1.57)","zopiclone"
