Separate indirect from direct evidence (SIDE) using back-calculation method

Fixed effects model: 

                    comparison  k prop  nma direct indir.  RoR     z p-value
     BZD-intermediate:BZD-long  2 0.22 0.84   0.74   0.87 0.85 -0.30  0.7657
    BZD-intermediate:BZD-short  2 0.41 0.63   0.94   0.48 1.97  1.65  0.0999
 BZD-intermediate:daridorexant  0    0 0.54      .   0.54    .     .       .
      BZD-intermediate:doxepin  0    0 2.19      .   2.19    .     .       .
   BZD-intermediate:doxylamine  0    0 0.39      .   0.39    .     .       .
  BZD-intermediate:eszopiclone  0    0 0.66      .   0.66    .     .       .
  BZD-intermediate:lemborexant  0    0 0.46      .   0.46    .     .       .
    BZD-intermediate:melatonin  0    0 0.48      .   0.48    .     .       .
      BZD-intermediate:placebo  6 0.81 0.68   0.59   1.22 0.49 -1.61  0.1075
 BZD-intermediate:propiomazine  0    0 0.50      .   0.50    .     .       .
    BZD-intermediate:ramelteon  0    0 0.60      .   0.60    .     .       .
  BZD-intermediate:seltorexant  0    0 0.89      .   0.89    .     .       .
   BZD-intermediate:suvorexant  0    0 0.54      .   0.54    .     .       .
    BZD-intermediate:trazodone  0    0 0.41      .   0.41    .     .       .
 BZD-intermediate:trimipramine  1 0.50 0.28   0.21   0.37 0.58 -0.33  0.7446
     BZD-intermediate:zaleplon  0    0 0.85      .   0.85    .     .       .
     BZD-intermediate:zolpidem  1 0.24 0.57   1.22   0.44 2.74  2.25  0.0245
    BZD-intermediate:zopiclone  0    0 0.65      .   0.65    .     .       .
            BZD-long:BZD-short  2 0.85 0.75   0.73   0.90 0.81 -0.46  0.6427
         BZD-long:daridorexant  0    0 0.64      .   0.64    .     .       .
              BZD-long:doxepin  0    0 2.60      .   2.60    .     .       .
           BZD-long:doxylamine  0    0 0.46      .   0.46    .     .       .
          BZD-long:eszopiclone  0    0 0.78      .   0.78    .     .       .
          BZD-long:lemborexant  0    0 0.55      .   0.55    .     .       .
            BZD-long:melatonin  0    0 0.57      .   0.57    .     .       .
              BZD-long:placebo  2 0.80 0.81   0.78   0.93 0.84 -0.44  0.6628
         BZD-long:propiomazine  0    0 0.59      .   0.59    .     .       .
            BZD-long:ramelteon  0    0 0.71      .   0.71    .     .       .
          BZD-long:seltorexant  0    0 1.06      .   1.06    .     .       .
           BZD-long:suvorexant  0    0 0.64      .   0.64    .     .       .
            BZD-long:trazodone  0    0 0.48      .   0.48    .     .       .
         BZD-long:trimipramine  0    0 0.33      .   0.33    .     .       .
             BZD-long:zaleplon  0    0 1.01      .   1.01    .     .       .
             BZD-long:zolpidem  0    0 0.68      .   0.68    .     .       .
            BZD-long:zopiclone  2 0.85 0.78   0.83   0.53 1.57  1.06  0.2898
        BZD-short:daridorexant  0    0 0.85      .   0.85    .     .       .
             BZD-short:doxepin  0    0 3.46      .   3.46    .     .       .
          BZD-short:doxylamine  0    0 0.62      .   0.62    .     .       .
         BZD-short:eszopiclone  0    0 1.04      .   1.04    .     .       .
         BZD-short:lemborexant  0    0 0.74      .   0.74    .     .       .
           BZD-short:melatonin  0    0 0.76      .   0.76    .     .       .
             BZD-short:placebo  3 0.77 1.08   1.07   1.11 0.96 -0.13  0.8941
        BZD-short:propiomazine  0    0 0.79      .   0.79    .     .       .
           BZD-short:ramelteon  0    0 0.95      .   0.95    .     .       .
         BZD-short:seltorexant  0    0 1.40      .   1.40    .     .       .
          BZD-short:suvorexant  0    0 0.85      .   0.85    .     .       .
           BZD-short:trazodone  0    0 0.64      .   0.64    .     .       .
        BZD-short:trimipramine  0    0 0.44      .   0.44    .     .       .
            BZD-short:zaleplon  1 0.12 1.34   1.48   1.33 1.12  0.20  0.8435
            BZD-short:zolpidem  1 0.19 0.90   1.56   0.79 1.97  1.62  0.1060
           BZD-short:zopiclone  1 0.79 1.03   0.97   1.31 0.74 -0.84  0.3987
          daridorexant:doxepin  0    0 4.05      .   4.05    .     .       .
       daridorexant:doxylamine  0    0 0.72      .   0.72    .     .       .
      daridorexant:eszopiclone  0    0 1.22      .   1.22    .     .       .
      daridorexant:lemborexant  0    0 0.86      .   0.86    .     .       .
        daridorexant:melatonin  0    0 0.89      .   0.89    .     .       .
          daridorexant:placebo  1 0.24 1.26   5.32   0.80 6.65  1.56  0.1199
     daridorexant:propiomazine  0    0 0.93      .   0.93    .     .       .
        daridorexant:ramelteon  0    0 1.11      .   1.11    .     .       .
      daridorexant:seltorexant  0    0 1.64      .   1.64    .     .       .
       daridorexant:suvorexant  0    0 0.99      .   0.99    .     .       .
        daridorexant:trazodone  0    0 0.75      .   0.75    .     .       .
     daridorexant:trimipramine  0    0 0.52      .   0.52    .     .       .
         daridorexant:zaleplon  0    0 1.57      .   1.57    .     .       .
         daridorexant:zolpidem  1 0.90 1.05   0.81  12.29 0.07 -1.56  0.1199
        daridorexant:zopiclone  0    0 1.21      .   1.21    .     .       .
            doxepin:doxylamine  0    0 0.18      .   0.18    .     .       .
           doxepin:eszopiclone  0    0 0.30      .   0.30    .     .       .
           doxepin:lemborexant  0    0 0.21      .   0.21    .     .       .
             doxepin:melatonin  0    0 0.22      .   0.22    .     .       .
               doxepin:placebo  3 1.00 0.31   0.31      .    .     .       .
          doxepin:propiomazine  0    0 0.23      .   0.23    .     .       .
             doxepin:ramelteon  0    0 0.27      .   0.27    .     .       .
           doxepin:seltorexant  0    0 0.41      .   0.41    .     .       .
            doxepin:suvorexant  0    0 0.24      .   0.24    .     .       .
             doxepin:trazodone  0    0 0.19      .   0.19    .     .       .
          doxepin:trimipramine  0    0 0.13      .   0.13    .     .       .
              doxepin:zaleplon  0    0 0.39      .   0.39    .     .       .
              doxepin:zolpidem  0    0 0.26      .   0.26    .     .       .
             doxepin:zopiclone  0    0 0.30      .   0.30    .     .       .
        doxylamine:eszopiclone  0    0 1.68      .   1.68    .     .       .
        doxylamine:lemborexant  0    0 1.19      .   1.19    .     .       .
          doxylamine:melatonin  0    0 1.23      .   1.23    .     .       .
            doxylamine:placebo  1 0.64 1.74   1.84   1.59 1.16  0.15  0.8792
       doxylamine:propiomazine  0    0 1.28      .   1.28    .     .       .
          doxylamine:ramelteon  0    0 1.53      .   1.53    .     .       .
        doxylamine:seltorexant  0    0 2.27      .   2.27    .     .       .
         doxylamine:suvorexant  0    0 1.37      .   1.37    .     .       .
          doxylamine:trazodone  0    0 1.04      .   1.04    .     .       .
       doxylamine:trimipramine  0    0 0.72      .   0.72    .     .       .
           doxylamine:zaleplon  0    0 2.17      .   2.17    .     .       .
           doxylamine:zolpidem  1 0.77 1.45   1.40   1.65 0.85 -0.15  0.8792
          doxylamine:zopiclone  0    0 1.67      .   1.67    .     .       .
       eszopiclone:lemborexant  0    0 0.71      .   0.71    .     .       .
         eszopiclone:melatonin  0    0 0.73      .   0.73    .     .       .
           eszopiclone:placebo  5 0.86 1.04   1.08   0.84 1.28  0.78  0.4363
      eszopiclone:propiomazine  0    0 0.76      .   0.76    .     .       .
         eszopiclone:ramelteon  0    0 0.91      .   0.91    .     .       .
       eszopiclone:seltorexant  0    0 1.35      .   1.35    .     .       .
        eszopiclone:suvorexant  0    0 0.82      .   0.82    .     .       .
         eszopiclone:trazodone  0    0 0.62      .   0.62    .     .       .
      eszopiclone:trimipramine  0    0 0.43      .   0.43    .     .       .
          eszopiclone:zaleplon  0    0 1.30      .   1.30    .     .       .
          eszopiclone:zolpidem  0    0 0.87      .   0.87    .     .       .
         eszopiclone:zopiclone  2 0.36 1.00   0.85   1.09 0.78 -0.78  0.4363
         lemborexant:melatonin  0    0 1.03      .   1.03    .     .       .
           lemborexant:placebo  3 0.85 1.46   1.46   1.47 0.99 -0.02  0.9872
      lemborexant:propiomazine  0    0 1.07      .   1.07    .     .       .
         lemborexant:ramelteon  0    0 1.29      .   1.29    .     .       .
       lemborexant:seltorexant  0    0 1.91      .   1.91    .     .       .
        lemborexant:suvorexant  0    0 1.15      .   1.15    .     .       .
