"BZD-intermediate","4.56 (0.76 to  27.43)","0.66 (0.18 to   2.42)",".",".",".",".",".","0.64 (0.28 to   1.46)",".",".",".","0.38 (0.02 to   7.26)",".","0.63 (0.17 to   2.33)","."
"0.89 (0.40 to    1.97)","BZD-long","0.83 (0.57 to   1.21)",".",".",".",".",".","0.98 (0.66 to   1.45)",".",".",".",".",".",".","0.80 (0.57 to   1.12)"
"0.68 (0.31 to    1.49)","0.76 (0.53 to    1.10)","BZD-short",".",".",".",".",".","1.27 (0.88 to   1.83)",".",".",".",".","7.25 (1.08 to  48.53)","0.96 (0.30 to   3.11)","0.99 (0.72 to   1.36)"
"0.80 (0.24 to    2.66)","0.90 (0.33 to    2.51)","1.18 (0.43 to    3.25)","daridorexant",".",".",".",".","1.65 (0.49 to   5.57)",".",".",".",".",".","0.48 (0.13 to   1.84)","."
"0.25 (0.03 to    2.32)","0.28 (0.03 to    2.38)","0.36 (0.04 to    3.10)","0.31 (0.03 to    3.13)","doxepin",".",".",".","3.60 (0.43 to  29.77)",".",".",".",".",".",".","."
"1.07 (0.23 to    5.00)","1.20 (0.29 to    4.95)","1.58 (0.39 to    6.44)","1.33 (0.26 to    6.80)","4.33 (0.35 to   53.72)","doxylamine",".",".","1.49 (0.24 to   9.07)",".",".",".",".",".","0.44 (0.11 to   1.75)","."
"0.52 (0.21 to    1.28)","0.58 (0.32 to    1.07)","0.77 (0.42 to    1.38)","0.65 (0.22 to    1.92)","2.10 (0.24 to   18.56)","0.48 (0.11 to    2.10)","eszopiclone",".","2.13 (1.10 to   4.13)",".",".",".",".",".",".","0.92 (0.41 to   2.08)"
"8.19 (0.38 to  177.30)","9.22 (0.46 to  186.57)","12.08 (0.60 to  243.78)","10.21 (0.45 to  234.18)","33.17 (0.86 to 1285.31)","7.65 (0.29 to  203.92)","15.79 (0.76 to  326.92)","lemborexant","0.11 (0.01 to   2.14)",".",".",".",".",".",".","."
"0.89 (0.42 to    1.86)","1.00 (0.69 to    1.45)","1.31 (0.93 to    1.85)","1.11 (0.43 to    2.87)","3.60 (0.43 to   29.77)","0.83 (0.21 to    3.26)","1.71 (1.01 to    2.90)","0.11 (0.01 to    2.14)","placebo","0.52 (0.19 to   1.39)","1.95 (0.32 to  11.87)","1.03 (0.39 to   2.74)",".","0.64 (0.03 to  16.19)","0.65 (0.42 to   1.01)","0.76 (0.54 to   1.07)"
"0.46 (0.13 to    1.58)","0.52 (0.18 to    1.49)","0.68 (0.24 to    1.93)","0.57 (0.14 to    2.26)","1.86 (0.18 to   19.17)","0.43 (0.08 to    2.32)","0.88 (0.29 to    2.71)","0.06 (0.00 to    1.30)","0.52 (0.19 to    1.39)","ramelteon",".",".",".",".",".","."
"2.51 (0.52 to   12.10)","2.82 (0.66 to   12.00)","3.70 (0.88 to   15.61)","3.12 (0.59 to   16.47)","10.15 (0.80 to  128.27)","2.34 (0.35 to   15.81)","4.83 (1.08 to   21.59)","0.31 (0.01 to    8.28)","2.82 (0.69 to   11.47)","5.47 (0.98 to   30.45)","seltorexant",".",".",".","0.19 (0.04 to   0.82)","."
"0.91 (0.27 to    3.12)","1.03 (0.36 to    2.93)","1.35 (0.48 to    3.81)","1.14 (0.29 to    4.46)","3.70 (0.36 to   37.99)","0.85 (0.16 to    4.59)","1.76 (0.58 to    5.35)","0.11 (0.00 to    2.58)","1.03 (0.39 to    2.74)","1.99 (0.49 to    8.03)","0.36 (0.07 to    2.02)","suvorexant",".",".",".","."
"0.38 (0.02 to    7.26)","0.43 (0.02 to    9.09)","0.56 (0.03 to   11.88)","0.48 (0.02 to   11.44)","1.55 (0.04 to   62.60)","0.36 (0.01 to    9.92)","0.74 (0.03 to   16.02)","0.05 (0.00 to    3.30)","0.43 (0.02 to    8.97)","0.84 (0.03 to   20.33)","0.15 (0.01 to    4.30)","0.42 (0.02 to   10.18)","trazodone",".",".","."
"3.85 (0.51 to   29.18)","4.34 (0.65 to   29.09)","5.69 (0.88 to   36.94)","4.80 (0.58 to   40.04)","15.61 (0.91 to  267.05)","3.60 (0.35 to   37.19)","7.43 (1.05 to   52.58)","0.47 (0.01 to   16.15)","4.34 (0.65 to   28.91)","8.41 (0.99 to   71.43)","1.54 (0.15 to   16.22)","4.22 (0.50 to   35.69)","10.07 (0.28 to  358.25)","zaleplon",".","."
"0.56 (0.25 to    1.27)","0.63 (0.36 to    1.09)","0.83 (0.49 to    1.40)","0.70 (0.27 to    1.83)","2.27 (0.26 to   19.59)","0.52 (0.14 to    1.99)","1.08 (0.55 to    2.11)","0.07 (0.00 to    1.39)","0.63 (0.42 to    0.96)","1.22 (0.42 to    3.59)","0.22 (0.06 to    0.89)","0.61 (0.21 to    1.78)","1.47 (0.07 to   31.07)","0.15 (0.02 to    1.01)","zolpidem","."
"0.67 (0.31 to    1.47)","0.75 (0.55 to    1.04)","0.99 (0.73 to    1.34)","0.84 (0.31 to    2.27)","2.71 (0.32 to   22.98)","0.63 (0.15 to    2.54)","1.29 (0.75 to    2.23)","0.08 (0.00 to    1.64)","0.75 (0.55 to    1.03)","1.46 (0.52 to    4.13)","0.27 (0.06 to    1.12)","0.73 (0.26 to    2.05)","1.75 (0.08 to   36.77)","0.17 (0.03 to    1.15)","1.19 (0.72 to    1.99)","zopiclone"
