"BZD-intermediate","3.77 (0.76 to 18.72)",".",".",".",".",".","1.00 (0.33 to  2.99)",".",".",".",".","1.15 (0.37 to  3.58)"
"2.02 (0.54 to  7.61)","BZD-short",".",".",".",".",".","0.52 (0.16 to  1.67)",".",".",".","7.07 (0.70 to 70.95)","0.31 (0.06 to  1.56)"
"3.69 (0.72 to 18.92)","1.83 (0.32 to 10.26)","daridorexant",".",".",".",".","0.36 (0.08 to  1.64)",".",".",".",".","0.28 (0.06 to  1.21)"
"1.02 (0.21 to  5.04)","0.50 (0.09 to  2.72)","0.28 (0.04 to  1.77)","doxepin",".",".",".","1.35 (0.38 to  4.83)",".",".",".",".","."
"0.94 (0.33 to  2.70)","0.47 (0.14 to  1.52)","0.26 (0.06 to  1.06)","0.92 (0.24 to  3.53)","eszopiclone",".",".","1.46 (0.96 to  2.22)",".",".",".",".","."
"1.07 (0.38 to  3.01)","0.53 (0.17 to  1.70)","0.29 (0.07 to  1.18)","1.05 (0.28 to  3.96)","1.14 (0.65 to  1.99)","lemborexant",".","1.24 (0.85 to  1.79)",".",".",".",".","1.98 (0.42 to  9.40)"
"1.10 (0.21 to  5.69)","0.54 (0.10 to  3.06)","0.30 (0.04 to  1.99)","1.08 (0.17 to  6.79)","1.16 (0.29 to  4.70)","1.02 (0.26 to  4.06)","melatonin","1.26 (0.33 to  4.76)",".",".",".",".","."
"1.38 (0.52 to  3.63)","0.68 (0.23 to  2.06)","0.37 (0.10 to  1.45)","1.35 (0.38 to  4.83)","1.46 (0.96 to  2.22)","1.28 (0.89 to  1.85)","1.26 (0.33 to  4.76)","placebo","0.84 (0.59 to  1.19)","0.57 (0.07 to  4.98)","1.18 (0.72 to  1.94)","1.65 (0.55 to  4.93)","0.71 (0.46 to  1.11)"
"1.16 (0.41 to  3.24)","0.57 (0.18 to  1.82)","0.31 (0.08 to  1.27)","1.13 (0.30 to  4.25)","1.23 (0.71 to  2.12)","1.08 (0.65 to  1.79)","1.05 (0.27 to  4.18)","0.84 (0.59 to  1.19)","ramelteon",".",".",".","."
"0.68 (0.10 to  4.56)","0.34 (0.05 to  2.44)","0.18 (0.02 to  1.54)","0.67 (0.08 to  5.42)","0.72 (0.13 to  4.02)","0.63 (0.11 to  3.48)","0.62 (0.07 to  5.23)","0.49 (0.09 to  2.61)","0.59 (0.11 to  3.23)","seltorexant",".",".","1.70 (0.20 to 14.78)"
"1.63 (0.55 to  4.84)","0.81 (0.24 to  2.71)","0.44 (0.10 to  1.87)","1.60 (0.41 to  6.27)","1.73 (0.91 to  3.31)","1.52 (0.82 to  2.81)","1.49 (0.36 to  6.16)","1.18 (0.72 to  1.94)","1.41 (0.77 to  2.59)","2.41 (0.42 to 13.70)","suvorexant",".","."
"2.89 (0.81 to 10.32)","1.43 (0.38 to  5.40)","0.78 (0.16 to  3.83)","2.83 (0.60 to 13.48)","3.06 (1.13 to  8.28)","2.69 (1.02 to  7.08)","2.63 (0.53 to 13.15)","2.09 (0.85 to  5.16)","2.50 (0.95 to  6.58)","4.25 (0.66 to 27.48)","1.77 (0.63 to  4.95)","zaleplon","0.37 (0.14 to  1.03)"
"0.99 (0.37 to  2.63)","0.49 (0.16 to  1.52)","0.27 (0.07 to  1.03)","0.97 (0.25 to  3.73)","1.05 (0.57 to  1.92)","0.92 (0.53 to  1.61)","0.90 (0.22 to  3.67)","0.72 (0.46 to  1.11)","0.86 (0.49 to  1.50)","1.46 (0.28 to  7.73)","0.61 (0.31 to  1.18)","0.34 (0.14 to  0.83)","zolpidem"
