"BZD-intermediate","0.68 (0.31 to  1.46)","1.14 (0.49 to  2.66)",".",".",".",".",".","1.93 (1.22 to  3.06)",".",".",".",".",".","2.64 (0.73 to  9.54)","."
"0.65 (0.38 to  1.10)","BZD-long","1.35 (0.62 to  2.91)",".",".",".",".",".","3.48 (1.97 to  6.17)",".",".",".",".",".",".","1.12 (0.26 to  4.77)"
"0.91 (0.51 to  1.62)","1.40 (0.81 to  2.43)","BZD-short",".",".",".",".",".","2.13 (0.81 to  5.60)",".",".",".",".","0.71 (0.07 to  7.45)","1.77 (0.53 to  5.99)","0.64 (0.10 to  4.17)"
"1.03 (0.30 to  3.56)","1.58 (0.45 to  5.59)","1.13 (0.31 to  4.10)","daridorexant",".",".",".",".","1.35 (0.32 to  5.67)",".",".",".",".",".","1.35 (0.32 to  5.67)","."
"1.29 (0.51 to  3.26)","1.98 (0.76 to  5.15)","1.42 (0.52 to  3.83)","1.25 (0.30 to  5.26)","doxepin",".",".",".","1.57 (0.69 to  3.58)",".",".",".",".",".",".","."
"0.45 (0.15 to  1.34)","0.70 (0.23 to  2.11)","0.50 (0.16 to  1.55)","0.44 (0.10 to  2.02)","0.35 (0.10 to  1.29)","doxylamine",".",".","3.18 (0.91 to 11.12)",".",".",".",".",".","2.74 (0.85 to  8.83)","."
"1.03 (0.54 to  1.94)","1.58 (0.81 to  3.11)","1.13 (0.54 to  2.34)","1.00 (0.28 to  3.54)","0.80 (0.31 to  2.07)","2.26 (0.75 to  6.82)","eszopiclone",".","1.97 (1.22 to  3.17)",".",".",".",".",".",".","."
"0.28 (0.13 to  0.60)","0.43 (0.19 to  0.96)","0.30 (0.13 to  0.71)","0.27 (0.07 to  1.02)","0.21 (0.07 to  0.62)","0.61 (0.19 to  1.98)","0.27 (0.12 to  0.61)","lemborexant","6.62 (3.17 to 13.86)",".",".",".",".",".","3.85 (1.22 to 12.14)","."
"2.02 (1.33 to  3.07)","3.11 (1.93 to  5.01)","2.22 (1.27 to  3.86)","1.96 (0.61 to  6.34)","1.57 (0.69 to  3.58)","4.44 (1.64 to 12.04)","1.97 (1.22 to  3.17)","7.29 (3.78 to 14.07)","placebo","0.52 (0.35 to  0.77)","0.57 (0.06 to  5.23)","0.47 (0.25 to  0.88)","0.28 (0.11 to  0.74)","0.61 (0.27 to  1.37)","0.46 (0.32 to  0.65)","0.35 (0.04 to  3.03)"
"1.04 (0.58 to  1.86)","1.61 (0.86 to  2.99)","1.15 (0.58 to  2.27)","1.01 (0.29 to  3.50)","0.81 (0.32 to  2.03)","2.29 (0.78 to  6.72)","1.01 (0.54 to  1.89)","3.77 (1.74 to  8.13)","0.52 (0.35 to  0.77)","ramelteon",".",".",".",".",".","."
"2.48 (0.63 to  9.75)","3.81 (0.95 to 15.31)","2.72 (0.66 to 11.17)","2.41 (0.43 to 13.61)","1.92 (0.41 to  9.05)","5.44 (1.08 to 27.41)","2.41 (0.60 to  9.72)","8.94 (2.10 to 38.11)","1.23 (0.33 to  4.55)","2.37 (0.60 to  9.35)","seltorexant",".",".",".","0.32 (0.08 to  1.24)","."
"0.95 (0.45 to  2.02)","1.46 (0.66 to  3.22)","1.04 (0.45 to  2.41)","0.92 (0.24 to  3.49)","0.74 (0.26 to  2.08)","2.09 (0.64 to  6.78)","0.92 (0.42 to  2.03)","3.43 (1.38 to  8.51)","0.47 (0.25 to  0.88)","0.91 (0.43 to  1.92)","0.38 (0.09 to  1.64)","suvorexant",".",".",".","."
"0.58 (0.24 to  1.39)","0.89 (0.36 to  2.21)","0.64 (0.25 to  1.63)","0.56 (0.14 to  2.24)","0.45 (0.14 to  1.40)","1.27 (0.37 to  4.38)","0.56 (0.23 to  1.40)","2.09 (0.77 to  5.69)","0.29 (0.13 to  0.62)","0.56 (0.23 to  1.33)","0.23 (0.05 to  1.04)","0.61 (0.22 to  1.66)","trazodone",".","1.61 (0.69 to  3.73)","."
"1.79 (0.91 to  3.55)","2.76 (1.34 to  5.68)","1.97 (0.93 to  4.20)","1.74 (0.49 to  6.18)","1.39 (0.51 to  3.77)","3.94 (1.31 to 11.87)","1.75 (0.84 to  3.64)","6.48 (2.81 to 14.94)","0.89 (0.51 to  1.55)","1.72 (0.87 to  3.42)","0.72 (0.18 to  2.87)","1.89 (0.82 to  4.37)","3.09 (1.26 to  7.62)","zaleplon","0.45 (0.26 to  0.78)","."
"0.95 (0.56 to  1.59)","1.46 (0.83 to  2.58)","1.04 (0.56 to  1.93)","0.92 (0.29 to  2.97)","0.73 (0.30 to  1.79)","2.08 (0.77 to  5.62)","0.92 (0.51 to  1.65)","3.42 (1.71 to  6.86)","0.47 (0.34 to  0.66)","0.91 (0.54 to  1.53)","0.38 (0.11 to  1.38)","1.00 (0.49 to  2.03)","1.63 (0.76 to  3.50)","0.53 (0.32 to  0.88)","zolpidem","."
"0.63 (0.20 to  1.98)","0.97 (0.33 to  2.87)","0.70 (0.23 to  2.11)","0.62 (0.12 to  3.08)","0.49 (0.12 to  1.96)","1.39 (0.31 to  6.16)","0.62 (0.18 to  2.06)","2.29 (0.63 to  8.28)","0.31 (0.10 to  0.95)","0.61 (0.19 to  1.97)","0.26 (0.05 to  1.42)","0.67 (0.19 to  2.38)","1.09 (0.28 to  4.21)","0.35 (0.10 to  1.21)","0.67 (0.21 to  2.11)","zopiclone"
