"BZD-intermediate",".",".",".",".",".","1.00 (0.21 to   4.71)",".",".",".",".","."
"1.53 (0.17 to  13.69)","daridorexant",".",".",".",".","0.49 (0.09 to   2.76)",".",".",".",".","1.00 (0.11 to   9.15)"
"6.99 (0.53 to  92.06)","4.58 (0.35 to  60.31)","doxepin",".",".",".","0.14 (0.02 to   1.12)",".",".",".",".","."
"0.50 (0.03 to   8.90)","0.33 (0.02 to   5.83)","0.07 (0.00 to   1.73)","doxylamine",".",".","1.98 (0.18 to  22.18)",".",".",".",".","."
"0.94 (0.18 to   4.99)","0.62 (0.12 to   3.27)","0.13 (0.02 to   1.16)","1.86 (0.15 to  22.56)","eszopiclone",".","1.06 (0.57 to   1.98)",".",".",".",".","."
"0.93 (0.04 to  22.61)","0.61 (0.03 to  14.81)","0.13 (0.00 to   4.27)","1.84 (0.05 to  73.80)","0.99 (0.06 to  17.24)","melatonin","1.07 (0.07 to  17.46)",".",".",".",".","."
"1.00 (0.21 to   4.71)","0.65 (0.14 to   3.09)","0.14 (0.02 to   1.12)","1.98 (0.18 to  22.18)","1.06 (0.57 to   1.98)","1.07 (0.07 to  17.46)","placebo","0.73 (0.38 to   1.40)","8.96 (0.92 to  87.48)","0.58 (0.25 to   1.32)",".","0.89 (0.34 to   2.36)"
"0.73 (0.14 to   3.93)","0.48 (0.09 to   2.58)","0.10 (0.01 to   0.91)","1.45 (0.12 to  17.71)","0.78 (0.32 to   1.92)","0.79 (0.04 to  13.78)","0.73 (0.38 to   1.40)","ramelteon",".",".",".","."
"10.06 (0.69 to 145.92)","6.58 (0.49 to  88.99)","1.44 (0.07 to  28.88)","19.93 (0.77 to 515.87)","10.70 (1.11 to 103.28)","10.80 (0.31 to 372.11)","10.06 (1.14 to  88.99)","13.72 (1.41 to 133.53)","seltorexant",".",".","0.08 (0.01 to   0.73)"
"0.58 (0.10 to   3.34)","0.38 (0.07 to   2.19)","0.08 (0.01 to   0.76)","1.14 (0.09 to  14.67)","0.61 (0.22 to   1.73)","0.62 (0.03 to  11.35)","0.58 (0.25 to   1.32)","0.79 (0.28 to   2.25)","0.06 (0.01 to   0.59)","suvorexant",".","."
"1.51 (0.07 to  31.35)","0.99 (0.05 to  18.37)","0.22 (0.01 to   5.99)","2.99 (0.09 to 104.57)","1.60 (0.11 to  23.45)","1.62 (0.04 to  73.75)","1.51 (0.11 to  20.49)","2.06 (0.14 to  30.29)","0.15 (0.01 to   3.80)","2.61 (0.17 to  40.35)","zaleplon","0.58 (0.05 to   6.54)"
"0.88 (0.14 to   5.55)","0.58 (0.11 to   3.01)","0.13 (0.01 to   1.24)","1.75 (0.13 to  23.78)","0.94 (0.29 to   3.03)","0.95 (0.05 to  18.26)","0.88 (0.33 to   2.38)","1.20 (0.37 to   3.94)","0.09 (0.01 to   0.75)","1.53 (0.42 to   5.56)","0.58 (0.05 to   6.54)","zolpidem"
